label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
overall survival,18,overall.survival.time,0.8108108108108109,Biospecimen Age,True,True,True
family code,16,family id,0.8,External_sample_id,True,True,True
phase description,15,age description,0.875,Biospecimen Age,True,True,True
surface markers,15,cell surface markers,0.8571428571428571,Biospecimen Type,True,True,True
polarization state,15,polarization treatment,0.85,Treatment,True,True,True
experimental run,14,experimental group,0.8823529411764706,Treatment,True,True,True
genotype/varation,14,mouse genotype/variation,0.8292682926829268,Biospecimen Organism,True,True,True
alternative name,14,alternative sample name,0.8205128205128205,External_sample_id,True,True,True
antibody vendor,12,antibody vendor id,0.9090909090909091,External_sample_id,True,True,True
immunization route,12,immunization dose,0.8571428571428571,Treatment Dosage Regimen,True,True,True
incubation period,12,infection period,0.8484848484848485,Biospecimen Disease Condition,True,True,True
biological source,12,biological sex,0.8387096774193549,Biospecimen Sex,True,True,True
long description,12,age description,0.8387096774193549,Biospecimen Age,True,True,True
fold enrichment,12,cell enrichment,0.8,Biospecimen Type,True,True,True
maternal state,10,maternal age,0.8461538461538461,Biospecimen Age,True,True,True
library backbone,10,library barcode,0.8387096774193549,External_sample_id,True,True,True
date of isolation,9,day of isolation,0.9090909090909091,Biospecimen Age,True,True,True
subpopulation,9,cell subpopulation,0.8387096774193549,Biospecimen Type,True,True,True
genotype background,9,cell type background,0.8205128205128205,Biospecimen Type,True,True,True
incubation,7,incubation time,0.8,Biospecimen Age,True,True,True
stain,6,strain,0.9090909090909091,Biospecimen Organism,True,True,True
replicate number,6,sample replicate number,0.8205128205128205,External_sample_id,True,True,True
round of selection,6,rounds of infection,0.8108108108108109,Biospecimen Disease Condition,True,True,True
culture variation,5,culture duration,0.8484848484848485,Treatment Dosage Regimen,True,True,True
number of_animals,4,number of_samples,0.8235294117647058,External_sample_id,True,True,True
developmental state,3,developmental stage,0.9473684210526315,Biospecimen Age,True,True,True
histopathological diagnostic,3,histological diagnosis,0.84,Biospecimen Disease Condition,True,True,True
Morphology,3,cell morphology,0.8,Biospecimen Type,True,True,True
cause of death,2,age of death,0.8461538461538461,Biospecimen Age,True,True,True
hot,1,host,0.8571428571428571,Biospecimen Organism,True,True,True
