label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
genotype,46776,host genotype,0.7619047619047619,Biospecimen Organism,True,True,False
batch,9770,batch id,0.7692307692307693,External_sample_id,True,True,False
genotype/variation,6816,mouse genotype/variation,0.8571428571428571,Biospecimen Organism,True,True,True
replicate,5824,replicate id,0.8571428571428571,External_sample_id,True,True,True
clinical info,3680,clinical diagnosis,0.7741935483870968,Biospecimen Disease Condition,True,True,False
histology,3618,histopathology,0.782608695652174,Biospecimen Disease Condition,True,True,False
plate,3492,plate id,0.7692307692307693,External_sample_id,True,True,False
region,2915,regimen,0.7692307692307693,Treatment Dosage Regimen,True,True,False
site,2620,side,0.75,External_sample_id,True,True,False
stimulation,2378,cell stimulation,0.8148148148148148,Biospecimen Type,True,True,True
location,2284,location/side,0.7619047619047619,External_sample_id,True,True,False
phenotype,1959,cell phenotype,0.782608695652174,Biospecimen Type,True,True,False
experiment,1725,experimental day,0.7692307692307693,Biospecimen Age,True,True,False
source,1670,source id,0.8,External_sample_id,True,True,True
datatype description,1606,age description,0.8,Biospecimen Age,True,True,True
collection_method,1517,collection time,0.75,Biospecimen Age,True,True,False
well,1500,cell,0.75,Biospecimen Type,True,True,False
segment type,1492,treatment type,0.7692307692307693,Treatment,True,True,False
tag,1317,stage,0.75,Biospecimen Age,True,True,False
culture,1264,culture age,0.7777777777777778,Biospecimen Age,True,True,False
animal,1261,animal id,0.8,External_sample_id,True,True,True
clinical status,1187,clinical stage,0.8275862068965517,Biospecimen Age,True,True,True
primary site,1010,primary tumor site,0.8,Biospecimen Disease Condition,True,True,True
fraction,1003,age fraction,0.8,Biospecimen Age,True,True,True
lab description,997,age description,0.8666666666666667,Biospecimen Age,True,True,True
infected with,898,infected host,0.7692307692307693,Biospecimen Organism,True,True,False
survival_yr,876,survival year,0.8333333333333334,Biospecimen Age,True,True,True
clone,871,clone id,0.7692307692307693,External_sample_id,True,True,False
morphology,764,cell morphology,0.8,Biospecimen Type,True,True,True
study,741,studyid,0.8333333333333334,External_sample_id,True,True,True
case number,726,cell number,0.8181818181818182,Biospecimen Type,True,True,True
chip_antibody_lot,696,chip_antibody_provider,0.7692307692307693,External_sample_id,True,True,False
response,667,drug response,0.7619047619047619,Treatment,True,True,False
os_status,656,mouse status,0.7619047619047619,Biospecimen Organism,True,True,False
transduction,629,cell transduction,0.8275862068965517,Biospecimen Type,True,True,True
brain region,595,brain tumor region,0.8,Biospecimen Disease Condition,True,True,True
selection,567,mouse selection,0.75,Biospecimen Organism,True,True,False
growth phase,558,growth stage,0.75,Biospecimen Age,True,True,False
case,551,cage,0.75,Biospecimen Age,True,True,False
resistance,506,drug resistance,0.8,Treatment,True,True,True
date harvest,500,time harvest,0.8333333333333334,Biospecimen Age,True,True,True
library preparation method,500,library preparation protocol,0.8148148148148148,Treatment Dosage Regimen,True,True,True
sorted compartment,500,tissue compartment,0.7777777777777778,Biospecimen Type,True,True,False
surgery number,500,usage number,0.7692307692307693,Biospecimen Age,True,True,False
animal replicate,500,animal treatment,0.75,Treatment,True,True,False
who category,493,tumor category,0.7692307692307693,Biospecimen Disease Condition,True,True,False
population,477,cell population,0.8,Biospecimen Type,True,True,True
vital status,450,covid status,0.75,External_sample_id,True,True,False
survival,444,survival time,0.7619047619047619,Biospecimen Age,True,True,False
array,407,array id,0.7692307692307693,External_sample_id,True,True,False
vaccination,404,vaccination dose,0.8148148148148148,Treatment Dosage Regimen,True,True,True
initial ich volume,399,initial tumor volume,0.7894736842105263,Biospecimen Disease Condition,True,True,False
induction date,385,induction time,0.8571428571428571,Biospecimen Age,True,True,True
library date,385,library id,0.8181818181818182,External_sample_id,True,True,True
exposure,381,exposure time,0.7619047619047619,Biospecimen Age,True,True,False
