label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
differentiation state,30,differentiation stage,0.9523809523809523,Biospecimen Age,True,True,True
hours post-infection,24,hours post infection,0.95,Biospecimen Disease Condition,True,True,True
developmental state,3,developmental stage,0.9473684210526315,Biospecimen Age,True,True,True
tretment,33,treatment,0.9411764705882353,Treatment,True,True,True
os months,23,os month,0.9411764705882353,Biospecimen Age,True,True,True
infection_status,189,infection status,0.9375,Biospecimen Disease Condition,True,True,True
bar code,49,barcode,0.9333333333333333,External_sample_id,True,True,True
infection_state,20,infection state,0.9333333333333333,Biospecimen Disease Condition,True,True,True
antibody vendor,12,antibody vendor id,0.9090909090909091,External_sample_id,True,True,True
date of isolation,9,day of isolation,0.9090909090909091,Biospecimen Age,True,True,True
stain,6,strain,0.9090909090909091,Biospecimen Organism,True,True,True
single or double infected,30,single or double infection,0.9019607843137255,Biospecimen Disease Condition,True,True,True
hours_post_infection,48,hours post infection,0.9,Biospecimen Disease Condition,True,True,True
collection date,43,collection day,0.896551724137931,Biospecimen Age,True,True,True
animal number,32,animal id number,0.896551724137931,External_sample_id,True,True,True
injection,42,infection,0.8888888888888888,Biospecimen Disease Condition,True,True,True
collection point,18,collection timepoint,0.8888888888888888,Biospecimen Age,True,True,True
differentiation status,43,differentiation stage,0.8837209302325582,Biospecimen Age,True,True,True
differentiation,169,differentiation day,0.8823529411764706,Biospecimen Age,True,True,True
interaction status,24,infection status,0.8823529411764706,Biospecimen Disease Condition,True,True,True
experimental run,14,experimental group,0.8823529411764706,Treatment,True,True,True
os_month,156,os month,0.875,Biospecimen Age,True,True,True
sampling point,30,sampling timepoint,0.875,Biospecimen Age,True,True,True
phase description,15,age description,0.875,Biospecimen Age,True,True,True
lab description,997,age description,0.8666666666666667,Biospecimen Age,True,True,True
Type of Surgery,34,year of surgery,0.8666666666666667,Biospecimen Age,True,True,True
clinical indication,72,clinical condition,0.8648648648648649,Biospecimen Disease Condition,True,True,True
overall.survival,40,overall.survival.time,0.8648648648648649,Biospecimen Age,True,True,True
genotype/variation,6816,mouse genotype/variation,0.8571428571428571,Biospecimen Organism,True,True,True
replicate,5824,replicate id,0.8571428571428571,External_sample_id,True,True,True
induction date,385,induction time,0.8571428571428571,Biospecimen Age,True,True,True
OS status,297,mouse status,0.8571428571428571,Biospecimen Organism,True,True,True
volunteer,171,volunteer id,0.8571428571428571,External_sample_id,True,True,True
cag,140,cage,0.8571428571428571,Biospecimen Age,True,True,True
injection_type,132,infection type,0.8571428571428571,Biospecimen Disease Condition,True,True,True
animal name,95,animal age,0.8571428571428571,Biospecimen Age,True,True,True
Degree of differentiation,69,stage of differentiation,0.8571428571428571,Biospecimen Age,True,True,True
Differentiation Method,55,differentiation time,0.8571428571428571,Biospecimen Age,True,True,True
experimental,36,experimental day,0.8571428571428571,Biospecimen Age,True,True,True
library kit,19,library id,0.8571428571428571,External_sample_id,True,True,True
surface markers,15,cell surface markers,0.8571428571428571,Biospecimen Type,True,True,True
immunization route,12,immunization dose,0.8571428571428571,Treatment Dosage Regimen,True,True,True
hot,1,host,0.8571428571428571,Biospecimen Organism,True,True,True
differentiation batch,207,differentiation day,0.85,Biospecimen Age,True,True,True
polarization state,15,polarization treatment,0.85,Treatment,True,True,True
vaccination route,188,vaccination dose,0.8484848484848485,Treatment Dosage Regimen,True,True,True
vaccination boost,92,vaccination dose,0.8484848484848485,Treatment Dosage Regimen,True,True,True
surface marker,46,cell surface marker,0.8484848484848485,Biospecimen Type,True,True,True
vaccination state,20,vaccination dose,0.8484848484848485,Treatment Dosage Regimen,True,True,True
incubation period,12,infection period,0.8484848484848485,Biospecimen Disease Condition,True,True,True
culture variation,5,culture duration,0.8484848484848485,Treatment Dosage Regimen,True,True,True
description,294,age description,0.8461538461538461,Biospecimen Age,True,True,True
volunteer code,250,volunteer id,0.8461538461538461,External_sample_id,True,True,True
Cause of death,172,age of death,0.8461538461538461,Biospecimen Age,True,True,True
sampling site,57,sampling time,0.8461538461538461,Biospecimen Age,True,True,True
Cause of Death,20,age of death,0.8461538461538461,Biospecimen Age,True,True,True
maternal state,10,maternal age,0.8461538461538461,Biospecimen Age,True,True,True
