PARENT_GARD,CHILD_GARD
GARD:0017882,GARD:0000777
GARD:0017743,GARD:0000777
GARD:0017447,GARD:0000777
GARD:0017111,GARD:0000777
GARD:0016658,GARD:0000777
GARD:0016604,GARD:0000777
GARD:0010277,GARD:0000777
GARD:0009634,GARD:0000777
GARD:0008521,GARD:0000777
GARD:0007890,GARD:0000777
GARD:0006973,GARD:0000777
GARD:0003650,GARD:0000777
GARD:0003382,GARD:0000777
GARD:0003361,GARD:0000777
GARD:0003150,GARD:0000777
GARD:0003053,GARD:0000777
GARD:0000794,GARD:0000777
GARD:0000792,GARD:0000777
GARD:0000790,GARD:0000777
GARD:0017604,GARD:0000786
GARD:0017212,GARD:0000786
GARD:0016672,GARD:0000786
GARD:0016556,GARD:0000786
GARD:0016075,GARD:0000786
GARD:0013059,GARD:0000786
GARD:0013058,GARD:0000786
GARD:0008486,GARD:0000786
GARD:0006466,GARD:0000786
GARD:0005899,GARD:0000786
GARD:0005029,GARD:0000786
GARD:0004269,GARD:0000786
GARD:0004047,GARD:0000786
GARD:0002621,GARD:0000786
GARD:0002553,GARD:0000786
GARD:0000787,GARD:0000786
GARD:0000784,GARD:0000786
GARD:0016421,GARD:0000787
GARD:0016351,GARD:0000787
GARD:0015790,GARD:0000787
GARD:0015059,GARD:0000787
GARD:0015658,GARD:0000794
GARD:0015139,GARD:0000794
GARD:0022325,GARD:0000802
GARD:0004229,GARD:0000802
GARD:0001454,GARD:0000802
GARD:0017250,GARD:0000804
GARD:0017251,GARD:0000804
GARD:0017252,GARD:0000804
GARD:0015293,GARD:0000826
GARD:0016199,GARD:0000826
GARD:0016521,GARD:0000857
GARD:0016506,GARD:0000857
GARD:0016505,GARD:0000857
GARD:0016504,GARD:0000857
GARD:0000856,GARD:0000857
GARD:0017164,GARD:0000871
GARD:0017163,GARD:0000871
GARD:0017162,GARD:0000871
GARD:0016121,GARD:0000873
GARD:0015142,GARD:0000884
GARD:0015044,GARD:0000884
GARD:0015217,GARD:0000916
GARD:0015120,GARD:0000916
GARD:0020747,GARD:0000943
GARD:0020746,GARD:0000943
GARD:0020597,GARD:0000943
GARD:0020591,GARD:0000943
GARD:0015225,GARD:0000953
GARD:0016164,GARD:0000978
GARD:0015903,GARD:0000978
GARD:0015407,GARD:0000978
GARD:0018009,GARD:0000985
GARD:0016963,GARD:0000985
GARD:0015654,GARD:0000987
GARD:0008694,GARD:0001017
GARD:0008695,GARD:0001017
GARD:0008696,GARD:0001017
GARD:0008699,GARD:0001017
GARD:0010142,GARD:0001017
GARD:0015764,GARD:0001019
GARD:0010023,GARD:0001029
GARD:0010361,GARD:0001030
GARD:0010362,GARD:0001030
GARD:0015526,GARD:0001030
GARD:0015584,GARD:0001030
GARD:0015619,GARD:0001030
GARD:0015620,GARD:0001030
GARD:0015622,GARD:0001030
GARD:0016104,GARD:0001030
GARD:0010007,GARD:0001033
GARD:0015417,GARD:0001039
GARD:0015093,GARD:0001077
GARD:0015194,GARD:0001077
GARD:0015203,GARD:0001077
GARD:0015418,GARD:0001077
GARD:0015617,GARD:0001077
GARD:0015732,GARD:0001077
GARD:0015981,GARD:0001077
GARD:0016114,GARD:0001077
GARD:0015518,GARD:0001100
GARD:0015694,GARD:0001100
GARD:0018428,GARD:0001118
GARD:0008531,GARD:0001118
GARD:0004049,GARD:0001118
GARD:0015090,GARD:0001119
GARD:0015377,GARD:0001119
GARD:0017151,GARD:0001121
GARD:0017150,GARD:0001121
GARD:0017149,GARD:0001121
GARD:0015327,GARD:0001140
GARD:0015961,GARD:0001142
GARD:0015364,GARD:0001155
GARD:0015335,GARD:0001155
GARD:0015047,GARD:0001155
GARD:0001144,GARD:0001155
GARD:0016350,GARD:0001159
GARD:0016127,GARD:0001159
GARD:0015335,GARD:0001159
GARD:0015215,GARD:0001191
GARD:0016183,GARD:0001191
GARD:0015344,GARD:0001280
GARD:0018621,GARD:0001288
GARD:0006048,GARD:0001292
GARD:0015347,GARD:0001296
GARD:0016185,GARD:0001301
GARD:0016293,GARD:0001301
GARD:0015152,GARD:0001305
GARD:0015572,GARD:0001369
GARD:0015492,GARD:0001369
GARD:0015050,GARD:0001369
GARD:0001404,GARD:0001402
GARD:0015153,GARD:0001410
GARD:0016422,GARD:0001410
GARD:0016423,GARD:0001410
GARD:0015067,GARD:0001415
GARD:0015154,GARD:0001415
GARD:0015067,GARD:0001417
GARD:0015154,GARD:0001417
GARD:0015154,GARD:0001420
GARD:0015067,GARD:0001420
GARD:0016077,GARD:0001425
GARD:0022322,GARD:0001454
GARD:0016894,GARD:0001454
GARD:0016893,GARD:0001454
GARD:0021474,GARD:0001465
GARD:0021473,GARD:0001465
GARD:0016665,GARD:0001467
GARD:0012665,GARD:0001467
GARD:0012664,GARD:0001467
GARD:0009152,GARD:0001467
GARD:0005658,GARD:0001467
GARD:0001469,GARD:0001467
GARD:0001465,GARD:0001467
GARD:0015474,GARD:0001481
GARD:0015295,GARD:0001481
GARD:0015161,GARD:0001481
GARD:0020142,GARD:0001487
GARD:0020560,GARD:0001487
GARD:0020564,GARD:0001487
GARD:0019267,GARD:0001495
GARD:0019266,GARD:0001495
GARD:0021578,GARD:0001502
GARD:0019258,GARD:0001502
GARD:0015427,GARD:0001519
GARD:0015234,GARD:0001519
GARD:0015054,GARD:0001519
GARD:0022230,GARD:0001534
GARD:0022227,GARD:0001534
GARD:0022226,GARD:0001534
GARD:0019273,GARD:0001534
GARD:0001533,GARD:0001534
GARD:0015156,GARD:0001567
GARD:0000249,GARD:0001567
GARD:0015068,GARD:0001613
GARD:0015292,GARD:0001613
GARD:0015337,GARD:0001613
GARD:0015386,GARD:0001613
GARD:0015646,GARD:0001613
GARD:0016118,GARD:0001613
GARD:0016238,GARD:0001613
GARD:0000273,GARD:0001638
GARD:0017546,GARD:0001638
GARD:0015055,GARD:0001639
GARD:0015802,GARD:0001639
GARD:0016143,GARD:0001639
GARD:0021538,GARD:0001643
GARD:0021537,GARD:0001643
GARD:0016144,GARD:0001687
GARD:0015305,GARD:0001804
GARD:0015301,GARD:0001804
GARD:0015011,GARD:0001804
GARD:0016466,GARD:0001818
GARD:0016451,GARD:0001818
GARD:0015070,GARD:0001820
GARD:0015490,GARD:0001839
GARD:0015482,GARD:0001839
GARD:0019976,GARD:0001896
GARD:0019774,GARD:0001896
GARD:0019687,GARD:0001896
GARD:0016907,GARD:0001896
GARD:0016887,GARD:0001898
GARD:0016885,GARD:0001898
GARD:0013155,GARD:0001898
GARD:0002250,GARD:0001904
GARD:0021756,GARD:0001908
GARD:0021755,GARD:0001908
GARD:0019617,GARD:0001908
GARD:0019616,GARD:0001908
GARD:0019615,GARD:0001908
GARD:0015060,GARD:0001912
GARD:0010075,GARD:0001917
GARD:0015959,GARD:0001996
GARD:0015581,GARD:0001996
GARD:0015930,GARD:0001998
GARD:0015634,GARD:0001998
GARD:0015473,GARD:0001998
GARD:0017574,GARD:0001999
GARD:0017344,GARD:0001999
GARD:0016676,GARD:0001999
GARD:0002002,GARD:0001999
GARD:0002001,GARD:0001999
GARD:0002000,GARD:0001999
GARD:0015994,GARD:0002000
GARD:0020335,GARD:0002003
GARD:0017080,GARD:0002003
GARD:0009676,GARD:0002003
GARD:0008574,GARD:0002003
GARD:0019162,GARD:0002005
GARD:0015061,GARD:0002027
GARD:0009631,GARD:0002027
GARD:0020356,GARD:0002031
GARD:0020350,GARD:0002031
GARD:0006291,GARD:0002031
GARD:0005900,GARD:0002031
GARD:0002905,GARD:0002031
GARD:0015162,GARD:0002033
GARD:0015708,GARD:0002033
GARD:0015710,GARD:0002033
GARD:0015711,GARD:0002033
GARD:0015712,GARD:0002033
GARD:0016163,GARD:0002033
GARD:0016181,GARD:0002033
GARD:0018593,GARD:0002048
GARD:0018592,GARD:0002048
GARD:0018591,GARD:0002048
GARD:0016361,GARD:0002057
GARD:0015885,GARD:0002057
GARD:0015163,GARD:0002057
GARD:0016244,GARD:0002071
GARD:0015063,GARD:0002076
GARD:0017361,GARD:0002083
GARD:0022216,GARD:0002083
GARD:0016256,GARD:0002084
GARD:0022388,GARD:0002150
GARD:0016779,GARD:0002150
GARD:0016720,GARD:0002150
GARD:0012794,GARD:0002150
GARD:0010010,GARD:0002150
GARD:0006308,GARD:0002150
GARD:0002139,GARD:0002150
GARD:0017377,GARD:0002152
GARD:0012923,GARD:0002152
GARD:0012922,GARD:0002152
GARD:0012921,GARD:0002152
GARD:0009694,GARD:0002152
GARD:0002153,GARD:0002152
GARD:0002143,GARD:0002152
GARD:0000368,GARD:0002152
GARD:0000299,GARD:0002152
GARD:0013197,GARD:0002169
GARD:0016108,GARD:0002169
GARD:0016367,GARD:0002169
GARD:0019582,GARD:0002170
GARD:0019581,GARD:0002170
GARD:0019684,GARD:0002173
GARD:0018641,GARD:0002173
GARD:0017011,GARD:0002173
GARD:0017001,GARD:0002173
GARD:0016704,GARD:0002173
GARD:0016667,GARD:0002173
GARD:0013295,GARD:0002173
GARD:0011918,GARD:0002173
GARD:0010287,GARD:0002173
GARD:0006808,GARD:0002173
GARD:0005135,GARD:0002173
GARD:0002257,GARD:0002173
GARD:0002162,GARD:0002173
GARD:0019235,GARD:0002207
GARD:0006398,GARD:0002207
GARD:0004080,GARD:0002207
GARD:0009876,GARD:0002249
GARD:0010586,GARD:0002249
GARD:0010588,GARD:0002249
GARD:0012356,GARD:0002249
GARD:0015408,GARD:0002249
GARD:0015409,GARD:0002249
GARD:0015527,GARD:0002249
GARD:0015706,GARD:0002249
GARD:0015966,GARD:0002249
GARD:0016067,GARD:0002249
GARD:0016207,GARD:0002249
GARD:0020140,GARD:0002252
GARD:0019274,GARD:0002252
GARD:0016116,GARD:0002257
GARD:0016112,GARD:0002257
GARD:0015808,GARD:0002258
GARD:0015107,GARD:0002258
GARD:0017202,GARD:0002320
GARD:0005761,GARD:0002320
GARD:0002887,GARD:0002320
GARD:0002004,GARD:0002320
GARD:0015815,GARD:0002321
GARD:0015608,GARD:0002356
GARD:0022142,GARD:0002392
GARD:0022001,GARD:0002392
GARD:0016984,GARD:0002392
GARD:0012642,GARD:0002392
GARD:0012641,GARD:0002392
GARD:0012640,GARD:0002392
GARD:0005539,GARD:0002392
GARD:0004031,GARD:0002392
GARD:0003439,GARD:0002392
GARD:0002390,GARD:0002392
