"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.120225750913","139 /  0     "
"Rho-associated protein kinase 1","ROCK1","Q13464","CHEMBL3231","Kinase","0.120225750913","126 /  0     "
"Histamine H4 receptor","HRH4","Q9H3N8","CHEMBL3759","Family A G protein-coupled receptor","0.120225750913","27 /  0     "
"c-Jun N-terminal kinase 2","MAPK9","P45984","CHEMBL4179","Kinase","0.120225750913","109 /  0     "
"Endothelial lipase","LIPG","Q9Y5X9","CHEMBL5080","Hydrolase","0.120225750913","49 /  0     "
"Carnitine O-palmitoyltransferase 1, liver isoform","CPT1A","P50416","CHEMBL1293194","Enzyme","0.120225750913","164 /  0     "
"Scavenger receptor class B member 1   (by homology)","SCARB1","Q8WTV0","CHEMBL1914272","Unclassified protein","0.120225750913","39 /  0     "
"GABA receptor alpha-1 subunit   (by homology)","GABRA1","P14867","CHEMBL1962","Ligand-gated ion channel","0.120225750913","12 /  0     "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.120225750913","243 /  0     "
"Tyrosine-protein kinase JAK1","JAK1","P23458","CHEMBL2835","Kinase","0.120225750913","181 /  0     "
"Dual specificity protein kinase TTK","TTK","P33981","CHEMBL3983","Kinase","0.120225750913","96 /  0     "
"Rho-associated protein kinase 2","ROCK2","O75116","CHEMBL2973","Kinase","0.120225750913","191 /  0     "
"Bromodomain-containing protein 9","BRD9","Q9H8M2","CHEMBL3108640","Reader","0.120225750913","9 /  0     "
"PI3-kinase p110-delta subunit","PIK3CD","O00329","CHEMBL3130","Enzyme","0.120225750913","194 /  0     "
"PI3-kinase p110-gamma subunit","PIK3CG","P48736","CHEMBL3267","Enzyme","0.120225750913","195 /  0     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.120225750913","318 /  0     "
"Toll-like receptor (TLR7/TLR9)","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.120225750913","18 /  0     "
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT2","Q10469","CHEMBL2321630","Enzyme","0.120225750913","19 /  0     "
"Dual specificity phosphatase Cdc25B","CDC25B","P30305","CHEMBL4804","Phosphatase","0.120225750913","17 /  0     "
"Diacylglycerol O-acyltransferase 2","DGAT2","Q96PD7","CHEMBL5853","Enzyme","0.120225750913","12 /  0     "
"Serine/threonine-protein kinase RAF","RAF1","P04049","CHEMBL1906","Kinase","0.120225750913","154 /  0     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.120225750913","171 /  0     "
"Receptor protein-tyrosine kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.120225750913","210 /  0     "
"FK506-binding protein 1A","FKBP1A","P62942","CHEMBL1902","Isomerase","0.120225750913","140 /  0     "
"Serine/threonine-protein kinase PIM1","PIM1","P11309","CHEMBL2147","Kinase","0.120225750913","88 /  0     "
"Cathepsin S","CTSS","P25774","CHEMBL2954","Protease","0.120225750913","341 /  0     "
"MAP kinase p38 beta","MAPK11","Q15759","CHEMBL3961","Kinase","0.120225750913","51 /  0     "
"Cathepsin (B and K)","CTSB","P07858","CHEMBL4072","Protease","0.120225750913","255 /  0     "
"Cyclin-dependent kinase 5/CDK5 activator 1","CDK5R1 CDK5","Q15078 Q00535","CHEMBL1907600","Kinase","0.120225750913","222 /  0     "
"Platelet-derived growth factor receptor","PDGFRA PDGFRB","P16234 P09619","CHEMBL2095189","Kinase","0.120225750913","69 /  0     "
"Fatty acid synthase","FASN","P49327","CHEMBL4158","Transferase","0.120225750913","132 /  0     "
"Probable protein-cysteine N-palmitoyltransferase porcupine","PORCN","Q9H237","CHEMBL1255163","Enzyme","0.120225750913","60 /  0     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.120225750913","668 /  0     "
"Anandamide amidohydrolase","FAAH","O00519","CHEMBL2243","Enzyme","0.120225750913","353 /  0     "
"Serotonin 2c (5-HT2c) receptor","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.120225750913","204 /  0     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.120225750913","273 /  0     "
"PI3-kinase p110-beta subunit","PIK3CB","P42338","CHEMBL3145","Enzyme","0.120225750913","134 /  0     "
"DNA-directed RNA polymerase I subunit RPA1","POLR1A","O95602","CHEMBL3286067","Enzyme","0.120225750913","4 /  0     "
"MAP kinase ERK1","MAPK3","P27361","CHEMBL3385","Kinase","0.120225750913","57 /  0     "
"LDL-associated phospholipase A2","PLA2G7","Q13093","CHEMBL3514","Enzyme","0.120225750913","83 /  0     "
"Tyrosine-protein kinase ITK/TSK","ITK","Q08881","CHEMBL2959","Kinase","0.120225750913","262 /  0     "
"CDK2/Cyclin A","CCNA2 CDK2","P20248 P24941","CHEMBL3038469","Kinase","0.120225750913","49 /  0     "
"Serine/threonine-protein kinase B-raf","BRAF","P15056","CHEMBL5145","Kinase","0.120225750913","268 /  0     "
"Coagulation factor IX","F9","P00740","CHEMBL2016","Protease","0.120225750913","48 /  0     "
