"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Gonadotropin-releasing hormone receptor","GNRHR","P30968","CHEMBL1855","Family A G protein-coupled receptor","0.120225750913","65 /  0     "
"Cholecystokinin A receptor","CCKAR","P32238","CHEMBL1901","Family A G protein-coupled receptor","0.120225750913","111 /  0     "
"Cholecystokinin B receptor","CCKBR","P32239","CHEMBL298","Family A G protein-coupled receptor","0.120225750913","168 /  0     "
"Cystic fibrosis transmembrane conductance regulator","CFTR","P13569","CHEMBL4051","Other ion channel","0.120225750913","27 /  0     "
"Sentrin-specific protease 1","SENP1","Q9P0U3","CHEMBL1909484","Enzyme","0.120225750913","4 /  0     "
"Platelet activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.120225750913","74 /  0     "
"Somatostatin receptor 3","SSTR3","P32745","CHEMBL2028","Family A G protein-coupled receptor","0.120225750913","32 /  0     "
"Serine/threonine-protein kinase Aurora-B","AURKB","Q96GD4","CHEMBL2185","Kinase","0.120225750913","200 /  0     "
"Tyrosine-protein kinase LCK","LCK","P06239","CHEMBL258","Kinase","0.120225750913","136 /  0     "
"Tyrosine-protein kinase TIE-2","TEK","Q02763","CHEMBL4128","Kinase","0.120225750913","108 /  0     "
"Serine/threonine-protein kinase Aurora-A","AURKA","O14965","CHEMBL4722","Kinase","0.120225750913","330 /  0     "
"Steroid 5-alpha-reductase 1","SRD5A1","P18405","CHEMBL1787","Oxidoreductase","0.120225750913","33 /  0     "
"Steroid 5-alpha-reductase 2","SRD5A2","P31213","CHEMBL1856","Oxidoreductase","0.120225750913","19 /  0     "
"Serine/threonine-protein kinase WEE1","WEE1","P30291","CHEMBL5491","Kinase","0.120225750913","11 /  0     "
"FK506-binding protein 1A","FKBP1A","P62942","CHEMBL1902","Isomerase","0.120225750913","77 /  0     "
"Calpain 1","CAPN1 CAPNS1","P07384 P04632","CHEMBL2111357","Protease","0.120225750913","30 /  0     "
"Matrix metalloproteinase 12","MMP12","P39900","CHEMBL4393","Protease","0.120225750913","10 /  0     "
"Matrix metalloproteinase 8","MMP8","P22894","CHEMBL4588","Protease","0.120225750913","58 /  0     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.120225750913","575 /  43     "
"Dopamine D1 receptor","DRD1","P21728","CHEMBL2056","Family A G protein-coupled receptor","0.120225750913","21 /  0     "
"Legumain","LGMN","Q99538","CHEMBL4244","Protease","0.120225750913","53 /  0     "
"Smoothened homolog   (by homology)","SMO","Q99835","CHEMBL5971","Frizzled family G protein-coupled receptor","0.120225750913","175 /  0     "
"Insulin receptor","INSR","P06213","CHEMBL1981","Kinase","0.120225750913","70 /  0     "
"Tyrosine-protein kinase JAK2","JAK2","O60674","CHEMBL2971","Kinase","0.120225750913","169 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.120225750913","157 /  0     "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.120225750913","102 /  0     "
"Nuclear receptor ROR-beta","RORB","Q92753","CHEMBL3091268","Nuclear receptor","0.120225750913","14 /  0     "
"Pregnane X receptor","NR1I2","O75469","CHEMBL3401","Nuclear receptor","0.120225750913","11 /  0     "
"MAP kinase p38 beta","MAPK11","Q15759","CHEMBL3961","Kinase","0.120225750913","32 /  0     "
"Tyrosine-protein kinase BTK","BTK","Q06187","CHEMBL5251","Kinase","0.120225750913","105 /  0     "
"Serine/threonine-protein kinase TAO3","TAOK3","Q9H2K8","CHEMBL5701","Kinase","0.120225750913","27 /  0     "
"Thyroid hormone receptor beta-1","THRB","P10828","CHEMBL1947","Nuclear receptor","0.120225750913","41 /  0     "
"Receptor protein-tyrosine kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.120225750913","93 /  0     "
"Epidermal growth factor receptor erbB1","EGFR","P00533","CHEMBL203","Kinase","0.120225750913","326 /  0     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.120225750913","106 /  0     "
"Tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Enzyme","0.120225750913","28 /  0     "
"Corticotropin releasing factor receptor 1   (by homology)","CRHR1","P34998","CHEMBL1800","Family B G protein-coupled receptor","0.120225750913","110 /  0     "
"Nerve growth factor receptor Trk-A","NTRK1","P04629","CHEMBL2815","Kinase","0.120225750913","243 /  0     "
"Urotensin II receptor","UTS2R","Q9UKP6","CHEMBL3764","Family A G protein-coupled receptor","0.120225750913","4 /  0     "
"Isoprenylcysteine carboxyl methyltransferase","ICMT","O60725","CHEMBL4699","Enzyme","0.120225750913","24 /  0     "
"HLA class II histocompatibility antigen DRB1-1","HLA-DRB1","P04229","CHEMBL1943","Surface antigen","0.120225750913","22 /  0     "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.120225750913","169 /  0     "
"Monoglyceride lipase","MGLL","Q99685","CHEMBL4191","Enzyme","0.120225750913","38 /  0     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.120225750913","100 /  0     "
"GABA receptor alpha-5 subunit","GABRA5","P31644","CHEMBL5112","Ligand-gated ion channel","0.120225750913","88 /  0     "
"Dual specificity phosphatase Cdc25C","CDC25C","P30307","CHEMBL2378","Phosphatase","0.120225750913","1 /  0     "
"Bradykinin B2 receptor","BDKRB2","P30411","CHEMBL3157","Family A G protein-coupled receptor","0.120225750913","85 /  0     "
"Phospholipase A2 group IIA","PLA2G2A","P14555","CHEMBL3474","Enzyme","0.120225750913","8 /  0     "
"c-Jun N-terminal kinase 2","MAPK9","P45984","CHEMBL4179","Kinase","0.120225750913","62 /  0     "
"ALK tyrosine kinase receptor","ALK","Q9UM73","CHEMBL4247","Kinase","0.120225750913","66 /  0     "
"Dual specificity phosphatase Cdc25B","CDC25B","P30305","CHEMBL4804","Phosphatase","0.120225750913","11 /  0     "
"Serine/threonine-protein kinase B-raf","BRAF","P15056","CHEMBL5145","Kinase","0.120225750913","140 /  0     "
"Casein kinase I gamma 2","CSNK1G2","P78368","CHEMBL2543","Kinase","0.120225750913","6 /  0     "
"Casein kinase I alpha","CSNK1A1","P48729","CHEMBL2793","Kinase","0.120225750913","8 /  0     "
"Casein kinase I delta","CSNK1D","P48730","CHEMBL2828","Kinase","0.120225750913","25 /  0     "
"Voltage-gated N-type calcium channel alpha-1B subunit","CACNA1B","Q00975","CHEMBL4478","Voltage-gated ion channel","0.120225750913","21 /  0     "
"Serine/threonine-protein kinase TBK1","TBK1","Q9UHD2","CHEMBL5408","Kinase","0.120225750913","29 /  0     "
"G-protein coupled receptor 55","GPR55","Q9Y2T6","CHEMBL1075322","Family A G protein-coupled receptor","0.120225750913","21 /  0     "
"Calpain 2","CAPN2","P17655","CHEMBL2382","Protease","0.120225750913","61 /  0     "
"Protein-glutamine gamma-glutamyltransferase","TGM2","P21980","CHEMBL2730","Enzyme","0.120225750913","69 /  0     "
"Metabotropic glutamate receptor 5","GRM5","P41594","CHEMBL3227","Family C G protein-coupled receptor","0.120225750913","184 /  0     "
"G-protein coupled receptor kinase 2","GRK2","P25098","CHEMBL4079","Kinase","0.120225750913","26 /  0     "
"Tyrosine-protein kinase ABL","ABL1","P00519","CHEMBL1862","Kinase","0.120225750913","75 /  0     "
"Cyclin-dependent kinase 1/cyclin B1","CDK1 CCNB1","P06493 P14635","CHEMBL1907602","Other cytosolic protein","0.120225750913","11 /  0     "
"Cyclin-dependent kinase 7/ cyclin H","CDK7 CCNH","P50613 P51946","CHEMBL2111288","Other cytosolic protein","0.120225750913","6 /  0     "
"CDK9/cyclin T1","CDK9 CCNT1","P50750 O60563","CHEMBL2111389","Other cytosolic protein","0.120225750913","22 /  0     "
"Glucose transporter","SLC2A1","P11166","CHEMBL2535","Electrochemical transporter","0.120225750913","20 /  0     "
"Phosphodiesterase 9A","PDE9A","O76083","CHEMBL3535","Phosphodiesterase","0.120225750913","24 /  0     "
"Sodium/calcium exchanger 1","SLC8A1","P32418","CHEMBL4076","Electrochemical transporter","0.120225750913","153 /  0     "
"Solute carrier family 2, facilitated glucose transporter member 3","SLC2A3","P11169","CHEMBL5215","Electrochemical transporter","0.120225750913","19 /  0     "
"Solute carrier family 2, facilitated glucose transporter member 2","SLC2A2","P11168","CHEMBL5873","Electrochemical transporter","0.120225750913","12 /  0     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.120225750913","51 /  0     "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.120225750913","172 /  0     "
"Proto-oncogene c-JUN","JUN","P05412","CHEMBL4977","Transcription factor","0.120225750913","9 /  0     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.120225750913","45 /  0     "
"Bromodomain-containing protein 2","BRD2","P25440","CHEMBL1293289","Reader","0.120225750913","22 /  0     "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.120225750913","23 /  0     "
"Cyclin-dependent kinase 5/CDK5 activator 1","CDK5R1 CDK5","Q15078 Q00535","CHEMBL1907600","Kinase","0.120225750913","129 /  0     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","0.120225750913","24 /  0     "
"Calcitonin-gene-related peptide receptor, CALCRL/RAMP1","CALCRL RAMP1","Q16602 O60894","CHEMBL2107838","Other membrane protein","0.120225750913","22 /  0     "
