"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT2","Q10469","CHEMBL2321630","Enzyme","0.120225750913","12 /  0     "
"Diacylglycerol O-acyltransferase 2","DGAT2","Q96PD7","CHEMBL5853","Enzyme","0.120225750913","12 /  0     "
"Fatty acid synthase","FASN","P49327","CHEMBL4158","Transferase","0.120225750913","63 /  0     "
"Diacylglycerol O-acyltransferase 1","DGAT1","O75907","CHEMBL6009","Enzyme","0.120225750913","19 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.120225750913","293 /  0     "
"Anandamide amidohydrolase","FAAH","O00519","CHEMBL2243","Enzyme","0.120225750913","219 /  0     "
"Cathepsin (B and K)","CTSB","P07858","CHEMBL4072","Protease","0.120225750913","187 /  0     "
"Neuropeptide Y receptor type 5","NPY5R","Q15761","CHEMBL4561","Family A G protein-coupled receptor","0.120225750913","242 /  0     "
"Calpain 1","CAPN1","P07384","CHEMBL3891","Protease","0.120225750913","180 /  0     "
"NAD-dependent deacetylase sirtuin 1","SIRT1","Q96EB6","CHEMBL4506","Eraser","0.120225750913","44 /  0     "
"Insulin-like growth factor I receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.120225750913","226 /  0     "
"PI3-kinase p110-delta subunit","PIK3CD","O00329","CHEMBL3130","Enzyme","0.120225750913","96 /  0     "
"PI3-kinase p110-gamma subunit","PIK3CG","P48736","CHEMBL3267","Enzyme","0.120225750913","69 /  0     "
"Acyl coenzyme A:cholesterol acyltransferase 1","SOAT1","P35610","CHEMBL2782","Enzyme","0.120225750913","40 /  0     "
"MAP kinase-activated protein kinase 2","MAPKAPK2","P49137","CHEMBL2208","Kinase","0.120225750913","65 /  0     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.120225750913","99 /  0     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.120225750913","183 /  0     "
"CDK2/Cyclin A","CCNA2 CDK2","P20248 P24941","CHEMBL3038469","Kinase","0.120225750913","17 /  0     "
"Cathepsin L","CTSL","P07711","CHEMBL3837","Protease","0.120225750913","209 /  0     "
"Dual specificity protein kinase TTK","TTK","P33981","CHEMBL3983","Kinase","0.120225750913","50 /  0     "
