Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
8.03283458728415e-27,60,2945,4.756799834,GO:0032879 regulation of localization , http://amigo.geneontology.org/amigo/term/GO:0032879, PDGFRB  TEK  DRD2  DRD3  SYK  PTK2  SCARB1  ROCK1  FGFR1  FKBP1A  SIRT1  LGMN  MMP9  LIPG  FLT1  PDGFRA  ERBB2  PLA2G7  EGFR  MERTK  BRAF  CTSS  RET  PLK1  INSR  TLR9  FLT4  PIK3CB  ACACB  JAK2  ABL1  MAPK1  MAPK3  CCNE1  JAK3  PIK3CG  CPT1A  SMO  NPY5R  CDK5  STAT3  PTAFR  SCN9A  CDK1  CCNE2  CDK5R1  SLC8A1  BACE1  SRC  GRM5  PIK3CD  POLR1A  ABCB1  ROCK2  PIM1  AXL  LCK  CAPN1  ACHE  RAF1
8.03283458728415e-27,44,1280,8.025860969,GO:0043085 positive regulation of catalytic activity , http://amigo.geneontology.org/amigo/term/GO:0043085, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  SCARB1  ABL1  LGMN  PIK3CG  CCND1  RAF1  SIRT3  PLK1  LCK  SRC  TLR9  SIRT1  JAK2  CDC25B  ITK  CCNT1  DRD2  CDK5  SYK  GRM5  PTAFR  STAT3  PIK3CB  ROCK1  MAPK1  MAPK3  ROCK2  PTK2
1.63310337479015e-26,49,1752,6.529965753,GO:1901700 response to oxygen-containing compound , http://amigo.geneontology.org/amigo/term/GO:1901700, JAK2  SCD  JAK3  HRH4  DRD2  DRD3  JAK1  STAT3  SCARB1  SIRT1  ABL1  LGMN  MMP9  PDGFRA  EGFR  AXL  PTK2  INSR  SLC8A1  TBXAS1  DGAT2  FGFR2  ROCK1  ACHE  MAPK1  MAPK3  PIK3CG  CPT1A  CCND1  PDGFRB  SMO  RAF1  CDK4  CCNA2  PTGER1  CDK5  GRM5  PTAFR  CDK1  CDK5R1  RPS6KA3  BACE1  SRC  TLR9  MAPK9  ROCK2  PIM1  RET  CDK2
2.88054055717674e-26,72,4821,3.486938522,GO:0042221 response to chemical , http://amigo.geneontology.org/amigo/term/GO:0042221, JAK2  SCD  IKBKB  JAK3  PDGFRB  SMO  HRH4  DRD2  DRD3  JAK1  STAT3  CDK5R1  SRC  FLT4  FGFR2  FGFR3  SCARB1  FGFR1  ABCB1  FKBP1A  SIRT1  ABL1  MAPK1  LGMN  MMP9  FLT1  MAPK3  CCND1  ABCG2  PDGFRA  ERBB2  PLA2G7  EGFR  BRAF  SYK  AXL  PTK2  INSR  LCK  SLC8A1  MAPK11  MAPK9  PIK3CB  TBXAS1  DGAT2  ROCK1  ACACB  ACHE  LIPG  PIK3CG  CPT1A  RAF1  CDK4  CCNA2  TNIK  PTGER1  CDK5  RET  GRM5  PTAFR  SCN9A  FASN  CDK1  PIK3CD  RPS6KA3  BACE1  TLR9  CTSL  CTSS  ROCK2  PIM1  CDK2
7.25353814007379e-26,34,642,12.36496281,GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway , http://amigo.geneontology.org/amigo/term/GO:0007169, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  JAK2  FLT1  JAK3  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  JAK1  SYK  RET  AXL  STAT3  PTK2  INSR  LCK  SRC  SIRT1  MAPK1  BRAF  ABL1  LGMN  RAF1  CDK4  CDK5R1  PIK3CB  PIK3CD  MMP9
7.78127178581004e-26,56,2582,5.063848622,GO:0050790 regulation of catalytic activity , http://amigo.geneontology.org/amigo/term/GO:0050790, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  CCNE1  CCND1  PDGFRB  TEK  PDGFRA  ERBB2  CCNA2  EGFR  DRD2  DRD3  MERTK  RET  AXL  INSR  CCNE2  CDK5R1  CAPN1  SCARB1  FKBP1A  SIRT1  ABL1  LGMN  PIK3CG  RAF1  SIRT3  PLK1  RPS6KA3  LCK  SRC  TLR9  PIK3CB  ROCK1  ACACB  JAK2  CDC25B  ITK  CCNT1  CDK4  CDK5  SYK  GRM5  PTAFR  ROCK2  STAT3  MAPK1  MMP9  MAPK3  IKBKB  PTK2  SLC8A1
7.98060151389124e-26,62,3356,4.313389361,GO:0065009 regulation of molecular function , http://amigo.geneontology.org/amigo/term/GO:0065009, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  IKBKB  CCNE1  CCND1  PDGFRB  TEK  PDGFRA  ERBB2  CCNA2  EGFR  DRD2  DRD3  MERTK  RET  AXL  INSR  CCNE2  CDK5R1  TLR9  CAPN1  ROCK1  SCARB1  FKBP1A  SIRT1  ABL1  LGMN  MMP9  PIK3CG  RAF1  PIM1  SIRT3  CTSS  PLK1  RPS6KA3  LCK  SRC  PIK3CB  ACACB  JAK2  CDC25B  MAPK3  ITK  SMO  CCNT1  CDK4  CDK5  SYK  GRM5  PTAFR  ROCK2  STAT3  ABCB1  MAPK1  PTK2  SLC8A1  MAPK9  MAPK10
1.15733657763374e-25,44,1375,7.471346939,GO:0018193 peptidyl-amino acid modification , http://amigo.geneontology.org/amigo/term/GO:0018193, ROCK1  FKBP1A  JAK2  IKBKB  JAK3  TTK  ITK  ROCK2  JAK1  RPS6KA3  SRC  FLT4  MAPK9  FGFR2  FGFR3  FGFR1  SIRT1  ABL1  MAPK1  FLT1  MAPK3  PDGFRB  TEK  CDK2  RAF1  PDGFRA  ERBB2  EGFR  BRAF  CDK5  SYK  PLK1  MGAT2  PTK2  CDK1  INSR  CDK5R1  LCK  TYRO3  MERTK  RET  AXL  GRM5  SIRT3
2.9289173637657e-25,67,4181,3.741481142,GO:0009893 positive regulation of metabolic process , http://amigo.geneontology.org/amigo/term/GO:0009893, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  IKBKB  PDGFRB  TEK  CCNT1  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  TLR9  JAK2  STAT3  SRC  FKBP1A  SIRT1  ABL1  MAPK1  LGMN  NAMPT  PIK3CG  CCND1  RAF1  DRD2  BRAF  PLK1  LCK  MAPK9  DGAT2  ROCK1  SCARB1  ACHE  CDC25B  MAPK3  JAK3  CPT1A  ITK  CDK2  SMO  ROCK2  PIM1  CCNA2  DRD3  CDK5  SYK  GRM5  PTK2  PTAFR  CDK1  PIK3CB  SOAT1  MMP9  TNIK  PIK3CD  RPS6KA3  MAPK11  SCD  SIRT3  TTK
4.01484158196016e-25,33,622,12.38718092,GO:0051347 positive regulation of transferase activity , http://amigo.geneontology.org/amigo/term/GO:0051347, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  ABL1  PIK3CG  CCND1  PLK1  SRC  TLR9  SIRT1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  GRM5  MAPK1  MAPK3  PTK2
6.27048799091488e-25,38,956,9.28056955,GO:0051338 regulation of transferase activity , http://amigo.geneontology.org/amigo/term/GO:0051338, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  CCNE1  CCND1  PDGFRB  TEK  PDGFRA  ERBB2  CCNA2  EGFR  MERTK  RET  AXL  INSR  CCNE2  CDK5R1  SIRT1  ABL1  PIK3CG  PLK1  SRC  TLR9  PIK3CB  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  GRM5  MAPK1  MAPK3  PTK2  SLC8A1
8.50041769706467e-25,36,826,10.17586599,GO:0043549 regulation of kinase activity , http://amigo.geneontology.org/amigo/term/GO:0043549, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  CCNE1  CCND1  PDGFRB  TEK  PDGFRA  ERBB2  CCNA2  EGFR  MERTK  RET  AXL  INSR  CCNE2  CDK5R1  SIRT1  ABL1  PIK3CG  SRC  TLR9  PIK3CB  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  GRM5  PLK1  PTK2  SLC8A1
8.75467944923069e-25,57,2847,4.674512376,GO:0035556 intracellular signal transduction , http://amigo.geneontology.org/amigo/term/GO:0035556, FKBP1A  MAPK9  PIK3CB  ROCK1  FGFR3  JAK2  MAPK1  MAPK3  JAK3  PIK3CG  MAPK10  TTK  TEK  RAF1  ROCK2  ERBB2  TNIK  BRAF  JAK1  AXL  CDK1  INSR  PIK3CD  MAPK11  SRC  TLR9  FGFR1  SIRT1  ABL1  FLT1  CCND1  EGFR  DRD2  SYK  RET  PLK1  PTAFR  LCK  FLT4  TYRO3  IKBKB  ITK  PDGFRB  SMO  HRH4  PDGFRA  MERTK  NPY5R  GRM5  RPS6KA3  SLC8A1  CDK2  CCNA2  FGFR2  MMP9  PTK2  DRD3
9.95839039530795e-25,55,2609,4.921953833,GO:0071310 cellular response to organic substance , http://amigo.geneontology.org/amigo/term/GO:0071310, JAK2  IKBKB  JAK3  DRD2  DRD3  JAK1  STAT3  SRC  FLT4  FGFR2  FGFR3  FGFR1  FKBP1A  SIRT1  LGMN  FLT1  PDGFRB  PDGFRA  ERBB2  EGFR  AXL  PTK2  INSR  MAPK11  DGAT2  SCARB1  ABL1  MAPK1  MAPK3  PIK3CG  CPT1A  CCND1  SMO  RAF1  HRH4  CDK4  CCNA2  PTGER1  CDK5  SYK  GRM5  PTAFR  FASN  CDK1  SLC8A1  BACE1  TLR9  CTSL  CTSS  PIK3CB  PIK3CD  ROCK1  ROCK2  PIM1  RET
4.10030129820428e-24,28,405,16.14179894,GO:0018108 peptidyl-tyrosine phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0018108, JAK2  JAK3  ITK  JAK1  SRC  FLT4  FGFR2  FGFR3  FGFR1  ABL1  FLT1  MAPK3  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  SYK  PTK2  INSR  LCK  TYRO3  TTK  MERTK  BRAF  RET  AXL  GRM5
4.534564520022e-24,28,407,16.06247806,GO:0018212 peptidyl-tyrosine modification , http://amigo.geneontology.org/amigo/term/GO:0018212, JAK2  JAK3  ITK  JAK1  SRC  FLT4  FGFR2  FGFR3  FGFR1  ABL1  FLT1  MAPK3  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  SYK  PTK2  INSR  LCK  TYRO3  TTK  MERTK  BRAF  RET  AXL  GRM5
4.534564520022e-24,24,244,22.96520575,GO:0046777 protein autophosphorylation , http://amigo.geneontology.org/amigo/term/GO:0046777, ITK  PIM1  FLT4  FGFR2  FGFR3  FGFR1  TYRO3  ABL1  FLT1  MAPK3  PDGFRB  TEK  PDGFRA  ERBB2  TNIK  PTK2  INSR  LCK  SRC  JAK2  TTK  EGFR  CDK5  SYK
7.88580827961118e-24,50,2143,5.447493977,GO:0008283 cell population proliferation , http://amigo.geneontology.org/amigo/term/GO:0008283, TEK  CDK2  ERBB2  EGFR  SYK  STAT3  PTK2  BRD9  JAK2  INSR  FGFR2  FGFR1  PDGFRB  RAF1  PDGFRA  PIM1  TLR9  FLT4  PIK3CB  FGFR3  SCARB1  ABL1  MAPK1  LIPG  FLT1  JAK3  CCND1  SMO  CDK4  CCNA2  DRD2  DRD3  BRAF  NPY5R  PTAFR  CDK1  MAPK11  SRC  MAPK3  PIK3CD  ABCB1  SIRT1  LGMN  MMP9  CCNE1  CAPN1  CDC25B  NAMPT  PIK3CG  TTK
1.12004685009323e-23,35,827,9.881240283,GO:0000165 MAPK cascade , http://amigo.geneontology.org/amigo/term/GO:0000165, MAPK9  FGFR3  MAPK10  TEK  RAF1  ERBB2  TNIK  BRAF  INSR  TLR9  FGFR1  MAPK1  FLT1  MAPK3  PIK3CG  EGFR  RET  MAPK11  FLT4  PIK3CB  JAK2  ABL1  PDGFRB  HRH4  PDGFRA  DRD2  NPY5R  SYK  GRM5  SRC  FGFR2  ROCK1  ROCK2  IKBKB  CDK1
1.41734898999877e-23,30,528,13.2658859,GO:0033674 positive regulation of kinase activity , http://amigo.geneontology.org/amigo/term/GO:0033674, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  ABL1  PIK3CG  CCND1  SRC  TLR9  SIRT1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  GRM5  PTK2
2.99122736850225e-23,61,3617,3.937587808,GO:0031325 positive regulation of cellular metabolic process , http://amigo.geneontology.org/amigo/term/GO:0031325, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  IKBKB  PDGFRB  TEK  CCNT1  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  STAT3  SRC  FKBP1A  SIRT1  ABL1  MAPK1  LGMN  NAMPT  PIK3CG  CCND1  RAF1  BRAF  PLK1  LCK  TLR9  MAPK9  DGAT2  ROCK1  SCARB1  JAK2  CDC25B  MAPK3  CPT1A  CDK2  SMO  PIM1  CCNA2  DRD2  DRD3  CDK5  SYK  GRM5  PTK2  PTAFR  CDK1  SOAT1  MMP9  ROCK2  TNIK  RPS6KA3  SIRT3  PIK3CB  TTK
3.69581935589865e-23,34,791,10.03578524,GO:0001934 positive regulation of protein phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0001934, CDK5R1  SRC  FGFR1  ABL1  MAPK1  FLT1  PIK3CG  CCND1  TEK  RAF1  ERBB2  EGFR  BRAF  INSR  TLR9  SIRT1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  RET  GRM5  PTK2  FLT4  FGFR3  MMP9  MAPK3  ROCK2  TNIK  PLK1  PDGFRB  TTK
3.73790129901386e-23,63,3932,3.740898852,GO:0006464 cellular protein modification process , http://amigo.geneontology.org/amigo/term/GO:0006464, ROCK1  FKBP1A  SIRT1  JAK2  PORCN  IKBKB  CCNE1  JAK3  CCND1  TTK  ITK  CDK2  ROCK2  CDK4  PIM1  CCNA2  TNIK  JAK1  CDK5  MGAT2  PTK2  CDK1  CCNE2  CDK5R1  RPS6KA3  SRC  FLT4  MAPK9  FGFR2  FGFR3  FGFR1  TYRO3  ABL1  MAPK1  CDC25B  FLT1  MAPK3  PIK3CG  PDGFRB  TEK  CCNT1  RAF1  PDGFRA  ERBB2  SIRT3  EGFR  BRAF  SYK  PLK1  INSR  LCK  TLR9  PIK3CB  MAPK10  DRD2  MERTK  RET  AXL  GRM5  MAPK11  MMP9  SLC8A1  PIK3CD
3.99938896585235e-23,39,1165,7.816055006,GO:0001932 regulation of protein phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0001932, CCNE1  CCND1  CCNA2  CCNE2  CDK5R1  SRC  FGFR1  SIRT1  ABL1  MAPK1  FLT1  PIK3CG  TEK  RAF1  ERBB2  EGFR  BRAF  INSR  TLR9  PIK3CB  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  RET  GRM5  PTK2  FLT4  FGFR3  MMP9  MAPK3  ROCK2  TNIK  PLK1  PDGFRB  SLC8A1  TTK
4.72651801460495e-23,63,3952,3.721967178,GO:0036211 protein modification process , http://amigo.geneontology.org/amigo/term/GO:0036211, ROCK1  FKBP1A  SIRT1  JAK2  PORCN  IKBKB  CCNE1  JAK3  CCND1  TTK  ITK  CDK2  ROCK2  CDK4  PIM1  CCNA2  TNIK  JAK1  CDK5  MGAT2  PTK2  CDK1  CCNE2  CDK5R1  RPS6KA3  SRC  FLT4  MAPK9  FGFR2  FGFR3  FGFR1  TYRO3  ABL1  MAPK1  CDC25B  FLT1  MAPK3  PIK3CG  PDGFRB  TEK  CCNT1  RAF1  PDGFRA  ERBB2  SIRT3  EGFR  BRAF  SYK  PLK1  INSR  LCK  TLR9  PIK3CB  MAPK10  DRD2  MERTK  RET  AXL  GRM5  MAPK11  MMP9  SLC8A1  PIK3CD
6.78062795450333e-23,37,1025,8.428043803,GO:0007167 enzyme linked receptor protein signaling pathway , http://amigo.geneontology.org/amigo/term/GO:0007167, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  JAK2  FLT1  JAK3  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  JAK1  SYK  RET  AXL  STAT3  PTK2  INSR  LCK  SRC  FKBP1A  SIRT1  MAPK1  BRAF  ABL1  LGMN  RAF1  CDK4  CDK5R1  PIK3CB  PIK3CD  MMP9  MAPK3  TTK
5.75797961563666e-22,38,1172,7.570157415,GO:1901698 response to nitrogen compound , http://amigo.geneontology.org/amigo/term/GO:1901698, JAK2  JAK3  HRH4  DRD2  DRD3  JAK1  STAT3  SIRT1  LGMN  PTK2  INSR  ROCK1  ACHE  ABL1  MAPK1  MMP9  MAPK3  PIK3CG  CPT1A  CCND1  PDGFRA  CDK4  CCNA2  EGFR  TNIK  PTGER1  CDK5  SYK  GRM5  PTAFR  CDK1  CDK5R1  SLC8A1  BACE1  SRC  TLR9  ROCK2  CDK2
