Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
4.51660716408818e-38,59,1684,8.180104465,GO:0006468 protein phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0006468, ROCK1  JAK2  IKBKB  CCNE1  JAK3  CCND1  TTK  ITK  CDK2  ROCK2  CDK4  PIM1  CCNA2  TNIK  JAK1  CDK5  PTK2  CDK1  CCNE2  CDK5R1  RPS6KA3  SRC  FLT4  MAPK9  FGFR2  FGFR3  FGFR1  TYRO3  SIRT1  ABL1  MAPK1  CDC25B  FLT1  MAPK3  PIK3CG  PDGFRB  TEK  CCNT1  RAF1  PDGFRA  ERBB2  EGFR  BRAF  SYK  PLK1  INSR  LCK  TLR9  PIK3CB  MAPK10  DRD2  MERTK  RET  AXL  GRM5  MAPK11  MMP9  SLC8A1  PIK3CD
1.11815598785074e-36,61,1994,7.142555217,GO:0016310 phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0016310, FLT4  FGFR2  ROCK1  FGFR3  FGFR1  TYRO3  JAK2  FLT1  IKBKB  CCNE1  JAK3  CCND1  TTK  ITK  PDGFRB  TEK  CDK2  ROCK2  PDGFRA  CDK4  PIM1  ERBB2  CCNA2  EGFR  MERTK  TNIK  JAK1  CDK5  RET  AXL  PTK2  CDK1  INSR  CCNE2  CDK5R1  RPS6KA3  SRC  MAPK9  PIK3CB  SIRT1  ABL1  MAPK1  CDC25B  MAPK3  PIK3CG  CCNT1  RAF1  BRAF  SYK  PLK1  PIK3CD  LCK  TLR9  MAPK10  DRD2  STAT3  GRM5  PFKFB3  MAPK11  MMP9  SLC8A1
1.28730089748637e-35,69,3005,5.361095453,GO:0006796 phosphate-containing compound metabolic process , http://amigo.geneontology.org/amigo/term/GO:0006796, FLT4  PIK3CB  FGFR2  ROCK1  FGFR3  FGFR1  TYRO3  JAK2  FLT1  IKBKB  CCNE1  JAK3  NAMPT  PIK3CG  CCND1  TTK  ITK  PDGFRB  TEK  CDK2  ROCK2  PDGFRA  CDK4  PIM1  ERBB2  CCNA2  EGFR  MERTK  TNIK  JAK1  CDK5  RET  AXL  PTK2  CDK1  PFKFB3  INSR  PIK3CD  CCNE2  CDK5R1  RPS6KA3  SRC  MAPK9  DGAT2  ACACB  FKBP1A  SIRT1  ABL1  MAPK1  CDC25B  MAPK3  CCNT1  RAF1  PLA2G7  BRAF  SYK  PLK1  LCK  TLR9  SCARB1  MAPK10  DRD2  STAT3  GRM5  PTAFR  MAPK11  MMP9  SLC8A1  LIPG
1.66060961245677e-35,69,3030,5.316861992,GO:0006793 phosphorus metabolic process , http://amigo.geneontology.org/amigo/term/GO:0006793, FLT4  PIK3CB  FGFR2  ROCK1  FGFR3  FGFR1  TYRO3  JAK2  FLT1  IKBKB  CCNE1  JAK3  NAMPT  PIK3CG  CCND1  TTK  ITK  PDGFRB  TEK  CDK2  ROCK2  PDGFRA  CDK4  PIM1  ERBB2  CCNA2  EGFR  MERTK  TNIK  JAK1  CDK5  RET  AXL  PTK2  CDK1  PFKFB3  INSR  PIK3CD  CCNE2  CDK5R1  RPS6KA3  SRC  MAPK9  DGAT2  ACACB  FKBP1A  SIRT1  ABL1  MAPK1  CDC25B  MAPK3  CCNT1  RAF1  PLA2G7  BRAF  SYK  PLK1  LCK  TLR9  SCARB1  MAPK10  DRD2  STAT3  GRM5  PTAFR  MAPK11  MMP9  SLC8A1  LIPG
1.29883433703543e-30,50,1478,7.898497694,GO:0019220 regulation of phosphate metabolic process , http://amigo.geneontology.org/amigo/term/GO:0019220, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  CCNE1  CCND1  PDGFRB  TEK  PDGFRA  ERBB2  CCNA2  EGFR  MERTK  RET  AXL  INSR  CCNE2  CDK5R1  SRC  FKBP1A  SIRT1  ABL1  MAPK1  IKBKB  PIK3CG  RAF1  BRAF  TLR9  PIK3CB  ROCK1  SCARB1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  STAT3  GRM5  PTK2  PTAFR  ROCK2  MMP9  MAPK3  TNIK  PLK1  SLC8A1  TTK
1.29883433703543e-30,50,1479,7.893157263,GO:0051174 regulation of phosphorus metabolic process , http://amigo.geneontology.org/amigo/term/GO:0051174, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  CCNE1  CCND1  PDGFRB  TEK  PDGFRA  ERBB2  CCNA2  EGFR  MERTK  RET  AXL  INSR  CCNE2  CDK5R1  SRC  FKBP1A  SIRT1  ABL1  MAPK1  IKBKB  PIK3CG  RAF1  BRAF  TLR9  PIK3CB  ROCK1  SCARB1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  STAT3  GRM5  PTK2  PTAFR  ROCK2  MMP9  MAPK3  TNIK  PLK1  SLC8A1  TTK
2.06866676234944e-29,47,1318,8.325903503,GO:0042325 regulation of phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0042325, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  CCNE1  CCND1  PDGFRB  TEK  PDGFRA  ERBB2  CCNA2  EGFR  MERTK  RET  AXL  INSR  CCNE2  CDK5R1  SRC  SIRT1  ABL1  MAPK1  IKBKB  PIK3CG  RAF1  BRAF  TLR9  PIK3CB  ROCK1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  STAT3  GRM5  PTK2  MMP9  MAPK3  ROCK2  TNIK  PLK1  SLC8A1  TTK
5.22495329845538e-28,41,961,9.961148039,GO:0010562 positive regulation of phosphorus metabolic process , http://amigo.geneontology.org/amigo/term/GO:0010562, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  SRC  ABL1  MAPK1  PIK3CG  CCND1  RAF1  BRAF  TLR9  SIRT1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  GRM5  PTK2  PTAFR  ROCK1  MMP9  MAPK3  ROCK2  TNIK  PLK1  TTK
5.22495329845538e-28,41,961,9.961148039,GO:0045937 positive regulation of phosphate metabolic process , http://amigo.geneontology.org/amigo/term/GO:0045937, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  SRC  ABL1  MAPK1  PIK3CG  CCND1  RAF1  BRAF  TLR9  SIRT1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  GRM5  PTK2  PTAFR  ROCK1  MMP9  MAPK3  ROCK2  TNIK  PLK1  TTK
9.2568867340233e-28,50,1718,6.795098715,GO:0044093 positive regulation of molecular function , http://amigo.geneontology.org/amigo/term/GO:0044093, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  IKBKB  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  TLR9  SCARB1  FKBP1A  ABL1  LGMN  MMP9  PIK3CG  CCND1  RAF1  SIRT3  CTSS  PLK1  LCK  SRC  SIRT1  JAK2  CDC25B  ITK  SMO  CCNT1  DRD2  CDK5  SYK  GRM5  PTAFR  STAT3  PIK3CB  ROCK1  ABCB1  MAPK1  MAPK3  ROCK2  PTK2
9.3912379102733e-28,42,1052,9.321428571,GO:0008284 positive regulation of cell population proliferation , http://amigo.geneontology.org/amigo/term/GO:0008284, CDK2  ERBB2  EGFR  SYK  PTK2  BRD9  JAK2  INSR  FGFR2  FGFR1  PDGFRB  PDGFRA  PIM1  TLR9  FLT4  FGFR3  ABL1  FLT1  JAK3  CCND1  SMO  CCNA2  DRD2  DRD3  NPY5R  STAT3  PTAFR  CDK1  SRC  MAPK1  MAPK3  PIK3CD  SIRT1  LGMN  MMP9  CCNE1  CDK4  CAPN1  CDC25B  NAMPT  TTK  TEK
3.06391973903834e-27,63,3269,4.499606695,GO:0010033 response to organic substance , http://amigo.geneontology.org/amigo/term/GO:0010033, JAK2  SCD  IKBKB  JAK3  HRH4  DRD2  DRD3  JAK1  STAT3  SRC  FLT4  FGFR2  FGFR3  SCARB1  FGFR1  FKBP1A  SIRT1  MAPK1  LGMN  FLT1  MAPK3  CCND1  PDGFRB  PDGFRA  ERBB2  EGFR  AXL  PTK2  INSR  MAPK11  TBXAS1  DGAT2  ROCK1  ACACB  ACHE  ABL1  MMP9  PIK3CG  CPT1A  SMO  RAF1  CDK4  CCNA2  TNIK  PTGER1  CDK5  SYK  GRM5  PTAFR  FASN  CDK1  CDK5R1  RPS6KA3  SLC8A1  BACE1  TLR9  CTSL  CTSS  PIK3CB  PIK3CD  ROCK2  PIM1  RET
3.06391973903834e-27,39,876,10.39463936,GO:0042327 positive regulation of phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0042327, FLT4  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  PDGFRB  TEK  PDGFRA  ERBB2  EGFR  MERTK  RET  AXL  INSR  CDK5R1  SRC  ABL1  MAPK1  PIK3CG  CCND1  RAF1  BRAF  TLR9  SIRT1  JAK2  CDC25B  CCNT1  DRD2  CDK5  SYK  GRM5  PTK2  MMP9  MAPK3  ROCK2  TNIK  PLK1  TTK
4.56217261873004e-27,63,3300,4.457337662,GO:0070887 cellular response to chemical stimulus , http://amigo.geneontology.org/amigo/term/GO:0070887, JAK2  IKBKB  JAK3  PDGFRB  HRH4  DRD2  DRD3  JAK1  STAT3  SRC  FLT4  FGFR2  FGFR3  FGFR1  FKBP1A  SIRT1  ABL1  LGMN  MMP9  FLT1  ABCG2  PDGFRA  ERBB2  PLA2G7  EGFR  BRAF  SYK  AXL  PTK2  INSR  SLC8A1  MAPK11  PIK3CB  DGAT2  SCARB1  ACHE  MAPK1  MAPK3  PIK3CG  CPT1A  CCND1  SMO  RAF1  CDK4  CCNA2  PTGER1  CDK5  GRM5  PTAFR  FASN  CDK1  CDK5R1  BACE1  TLR9  CTSL  CTSS  PIK3CD  MAPK9  ROCK1  ROCK2  PIM1  RET  CDK2
7.0118288890069e-27,44,1272,8.076338082,GO:1901701 cellular response to oxygen-containing compound , http://amigo.geneontology.org/amigo/term/GO:1901701, JAK2  JAK3  HRH4  DRD2  DRD3  JAK1  STAT3  SIRT1  ABL1  LGMN  MMP9  PDGFRA  EGFR  AXL  PTK2  INSR  SLC8A1  DGAT2  FGFR2  SCARB1  ACHE  MAPK1  MAPK3  PIK3CG  CPT1A  SMO  RAF1  CDK4  CCNA2  PTGER1  CDK5  GRM5  PTAFR  CDK1  CDK5R1  BACE1  SRC  TLR9  MAPK9  ROCK1  ROCK2  PIM1  RET  CDK2
