"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Serine/threonine-protein kinase WEE1","WEE1","P30291","CHEMBL5491","Kinase","0.103186936728","16 /  0     "
"Probable protein-cysteine N-palmitoyltransferase porcupine   (by homology)","PORCN","Q9H237","CHEMBL1255163","Enzyme","0.103186936728","56 /  0     "
"Tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Enzyme","0.103186936728","37 /  0     "
"Cholecystokinin A receptor","CCKAR","P32238","CHEMBL1901","Family A G protein-coupled receptor","0.103186936728","133 /  0     "
"Long-chain fatty acid transport protein 1   (by homology)","SLC27A1","Q6PCB7","CHEMBL2052038","Electrochemical transporter","0.103186936728","20 /  0     "
"PI3-kinase p110-delta/p85-alpha","PIK3CD PIK3R1","O00329 P27986","CHEMBL2111432","Enzyme","0.103186936728","20 /  0     "
"Phosphodiesterase 4A","PDE4A","P27815","CHEMBL254","Phosphodiesterase","0.103186936728","139 /  0     "
"Tyrosine-protein kinase JAK2","JAK2","O60674","CHEMBL2971","Kinase","0.103186936728","282 /  0     "
"Cholecystokinin B receptor","CCKBR","P32239","CHEMBL298","Family A G protein-coupled receptor","0.103186936728","271 /  0     "
"Serotonin 6 (5-HT6) receptor","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.103186936728","112 /  0     "
"G-protein coupled receptor 55","GPR55","Q9Y2T6","CHEMBL1075322","Family A G protein-coupled receptor","0.103186936728","28 /  0     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.103186936728","64 /  0     "
"Bromodomain-containing protein 2","BRD2","P25440","CHEMBL1293289","Reader","0.103186936728","31 /  0     "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.103186936728","32 /  0     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.103186936728","70 /  0     "
"T-cell protein-tyrosine phosphatase","PTPN2","P17706","CHEMBL3807","Phosphatase","0.103186936728","14 /  0     "
"CREB-binding protein/p53","CREBBP","Q92793","CHEMBL5747","Writer","0.103186936728","21 /  0     "
"Thromboxane-A synthase","TBXAS1","P24557","CHEMBL1835","Cytochrome P450","0.103186936728","26 /  0     "
"Coagulation factor XI","F11","P03951","CHEMBL2820","Protease","0.103186936728","90 /  0     "
"CDK8/Cyclin C","CCNC CDK8","P24863 P49336","CHEMBL3038474","Kinase","0.103186936728","15 /  0     "
"Cell division protein kinase 8","CDK8","P49336","CHEMBL5719","Kinase","0.103186936728","19 /  0     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.103186936728","71 /  0     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.103186936728","206 /  0     "
