Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
1.64E-18,26,530,11.69233491,Path:hsa05200 Pathways in cancer,http://www.genome.jp/kegg-bin/show_pathway?hsa05200 , CDK2  CREBBP  EDNRA  EGFR  ERBB2  FGFR1  FGFR3  FGFR2  FLT4  ALK  HSP90AA1  IKBKB  JAK2  MMP1  MMP9  PDGFRB  PIK3CD  PIK3R1  MAPK8  PTK2  RAF1  ROCK1  SMO  BRAF  STAT3  ROCK2
4.44E-16,14,97,34.40012887,Path:hsa05215 Prostate cancer,http://www.genome.jp/kegg-bin/show_pathway?hsa05215 , CDK2  CREBBP  EGFR  ERBB2  FGFR1  FGFR2  HSP90AA1  IKBKB  MMP9  PDGFRB  PIK3CD  PIK3R1  RAF1  BRAF
7.40E-16,17,202,20.05863243,Path:hsa05205 Proteoglycans in cancer,http://www.genome.jp/kegg-bin/show_pathway?hsa05205 , CTSL  EGFR  ERBB2  ERBB4  FGFR1  MMP9  PIK3CD  PIK3R1  MAPK13  PTK2  RAF1  ROCK1  MAPK12  SMO  BRAF  STAT3  ROCK2
1.45E-15,20,354,13.46574859,Path:hsa04151 PI3K-Akt signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?hsa04151 , CDK2  EGFR  ERBB2  ERBB4  FGFR1  FGFR3  FGFR2  FLT1  FLT4  HSP90AA1  IKBKB  JAK2  PDGFRB  PIK3CD  PIK3CG  PIK3R1  PTK2  RAF1  SYK  TEK
8.22E-15,17,240,16.88268229,Path:hsa04020 Calcium signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?hsa04020 , EDNRA  EGFR  ERBB2  ERBB4  FGFR1  FGFR3  FGFR2  FLT1  FLT4  HTR2C  HTR6  PDGFRB  PTAFR  SLC8A1  TRHR  CCKAR  CCKBR
1.08E-14,18,294,14.59247449,Path:hsa04010 MAPK signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?hsa04010 , EGFR  ERBB2  ERBB4  FGFR1  FGFR3  FGFR2  FLT1  FLT4  IKBKB  PDGFRB  MAPK8  MAPK13  RAF1  RPS6KA3  MAPK12  BRAF  TEK  MAPKAPK2
8.22E-14,12,89,32.13623596,Path:hsa05235 PD-L1 expression and PD-1 checkpoint pathway in cancer,http://www.genome.jp/kegg-bin/show_pathway?hsa05235 , CSNK2A1  EGFR  ALK  IKBKB  JAK2  LCK  PIK3CD  PIK3R1  MAPK13  RAF1  MAPK12  STAT3
1.56E-13,14,162,20.59760802,Path:hsa05161 Hepatitis B,http://www.genome.jp/kegg-bin/show_pathway?hsa05161 , CDK2  CREBBP  TBK1  IKBKB  JAK2  MMP9  PIK3CD  PIK3R1  MAPK8  MAPK13  RAF1  MAPK12  BRAF  STAT3
1.56E-13,14,161,20.72554348,Path:hsa05206 MicroRNAs in cancer,http://www.genome.jp/kegg-bin/show_pathway?hsa05206 , CREBBP  EGFR  ERBB2  FGFR3  SIRT1  IKBKB  MMP9  PDGFRB  ABCB1  PIK3CD  PIK3R1  RAF1  ROCK1  STAT3
2.25E-13,13,131,23.65243321,Path:hsa04068 FoxO signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?hsa04068 , CDK2  CREBBP  EGFR  SIRT1  IKBKB  PIK3CD  PIK3R1  MAPK8  MAPK13  RAF1  MAPK12  BRAF  STAT3
5.52E-13,11,79,33.18710443,Path:hsa01521 EGFR tyrosine kinase inhibitor resistance,http://www.genome.jp/kegg-bin/show_pathway?hsa01521 , EGFR  ERBB2  FGFR3  FGFR2  JAK2  PDGFRB  PIK3CD  PIK3R1  RAF1  BRAF  STAT3
1.45E-12,14,194,17.20006443,Path:hsa05167 Kaposi sarcoma-associated herpesvirus infection,http://www.genome.jp/kegg-bin/show_pathway?hsa05167 , CREBBP  TBK1  IKBKB  JAK2  PIK3CD  PIK3CG  PIK3R1  MAPK8  MAPK13  RAF1  MAPK12  STAT3  SYK  MAPKAPK2
2.04E-12,14,200,16.6840625,Path:hsa04510 Focal adhesion,http://www.genome.jp/kegg-bin/show_pathway?hsa04510 , EGFR  ERBB2  FLT1  FLT4  PDGFRB  PIK3CD  PIK3R1  MAPK8  PTK2  RAF1  ROCK1  BRAF  CAPN2  ROCK2
3.46E-12,11,95,27.59769737,Path:hsa01522 Endocrine resistance,http://www.genome.jp/kegg-bin/show_pathway?hsa01522 , EGFR  ERBB2  MMP9  PIK3CD  PIK3R1  MAPK8  MAPK13  PTK2  RAF1  MAPK12  BRAF
3.46E-12,14,210,15.88958333,Path:hsa04015 Rap1 signaling pathway,http://www.genome.jp/kegg-bin/show_pathway?hsa04015 , EGFR  FGFR1  FGFR3  FGFR2  FLT1  FLT4  PDGFRB  PIK3CD  PIK3R1  MAPK13  RAF1  MAPK12  BRAF  TEK
