Gene,Disease,disease_name
tp53,ORPHA:99756,Orphanet: Alveolar rhabdomyosarcoma
sall4,ORPHA:2307,Orphanet: IVIC syndrome
hdac8,ORPHA:3459,Orphanet: Wilson-Turner syndrome
rorc,ORPHA:477857,Orphanet: Autosomal recessive mendelian susceptibility to mycobacterial diseases due to complete RORgamma receptor deficiency
adora2a,ORPHA:363549,Orphanet: Acute encephalopathy with biphasic seizures and late reduced diffusion
ercc1,ORPHA:90322,Orphanet: Cockayne syndrome type 2
ercc4,ORPHA:90321,Orphanet: Cockayne syndrome type 1
psmb8,ORPHA:324977,Orphanet: Proteasome-associated autoinflammatory syndrome
cdh1,ORPHA:1997,Orphanet: Blepharo-cheilo-odontic syndrome
slc18a3,ORPHA:98914,Orphanet: Presynaptic congenital myasthenic syndromes
kdm6a,ORPHA:2322,Orphanet: Kabuki syndrome
cdc45,ORPHA:2554,Orphanet: Ear-patella-short stature syndrome
stk11,ORPHA:2869,Orphanet: Peutz-Jeghers syndrome
strada,ORPHA:500533,Orphanet: Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome
cars1,ORPHA:178342,Orphanet: Inflammatory myofibroblastic tumor
dnmt3a,ORPHA:276621,Orphanet: Sporadic pheochromocytoma/secreting paraganglioma
krt83,ORPHA:573,Orphanet: Monilethrix
tert,ORPHA:1775,Orphanet: Dyskeratosis congenita
casp8,ORPHA:275517,Orphanet: Autoimmune lymphoproliferative syndrome-recurrent viral infections due to CASP8 deficiency
casp10,ORPHA:3261,Orphanet: Autoimmune lymphoproliferative syndrome
nlrp1,ORPHA:3435,Orphanet: NON RARE IN EUROPE: Vitiligo
cdc42,ORPHA:487796,Orphanet: Takenouchi-Kosaki syndrome
atp2a2,ORPHA:79151,Orphanet: Acrokeratosis verruciformis of Hopf
klf1,ORPHA:293825,Orphanet: Congenital dyserythropoietic anemia type IV
kif21a,ORPHA:45358,Orphanet: Congenital fibrosis of extraocular muscles
mapk10,ORPHA:2382,Orphanet: Lennox-Gastaut syndrome
chrne,ORPHA:98913,Orphanet: Postsynaptic congenital myasthenic syndromes
padi3,ORPHA:1410,Orphanet: Uncombable hair syndrome
pmp2,ORPHA:476394,Orphanet: PMP2-related Charcot-Marie-Tooth disease type 1
copb1,ORPHA:633035,Orphanet: Intellectual disability-early-onset cataract-microcephaly syndrome
atic,ORPHA:250977,Orphanet: AICA-ribosiduria
cyp24a1,ORPHA:300547,Orphanet: Autosomal recessive infantile hypercalcemia
myh9,ORPHA:477742,Orphanet: Nodular fasciitis
serpinf1,ORPHA:216820,Orphanet: Osteogenesis imperfecta type 4
ep300,ORPHA:353284,Orphanet: Rubinstein-Taybi syndrome due to EP300 haploinsufficiency
crebbp,ORPHA:370026,Orphanet: Acute myeloid leukemia with t(8;16)(p11;p13) translocation
il12rb1,ORPHA:319552,Orphanet: Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency
yeats2,ORPHA:86814,Orphanet: Benign adult familial myoclonic epilepsy
kit,ORPHA:566393,Orphanet: Acute mast cell leukemia
aldh4a1,ORPHA:79101,Orphanet: Hyperprolinemia type 2
haao,ORPHA:521438,Orphanet: Congenital vertebral-cardiac-renal anomalies syndrome
hexb,ORPHA:309155,"Orphanet: Sandhoff disease, infantile form"
dhodh,ORPHA:246,Orphanet: Postaxial acrofacial dysostosis
ca2,ORPHA:2785,Orphanet: Osteopetrosis with renal tubular acidosis
ca12,ORPHA:542657,Orphanet: Isolated hyperchlorhidrosis
yap1,ORPHA:157791,Orphanet: Epithelioid hemangioendothelioma
tead1,ORPHA:86813,Orphanet: Helicoid peripapillary chorioretinal degeneration
mmp14,ORPHA:371428,Orphanet: Multicentric osteolysis-nodulosis-arthropathy spectrum
myoc,ORPHA:98977,Orphanet: Juvenile glaucoma
ttbk2,ORPHA:98767,Orphanet: Spinocerebellar ataxia type 11
tk2,ORPHA:254875,"Orphanet: Mitochondrial DNA depletion syndrome, myopathic form"
entpd1,ORPHA:401810,Orphanet: Autosomal recessive spastic paraplegia type 64
cad,ORPHA:448010,Orphanet: CAD-CDG
fmo3,ORPHA:468726,Orphanet: Severe primary trimethylaminuria
pklr,ORPHA:766,Orphanet: Hemolytic anemia due to red cell pyruvate kinase deficiency
fgfr1,ORPHA:2227,Orphanet: NON RARE IN EUROPE: Hypodontia
tap1,ORPHA:34592,Orphanet: Immunodeficiency by defective expression of MHC class I
ptch1,ORPHA:77301,Orphanet: Monosomy 9q22.3
acvr2b,ORPHA:157769,Orphanet: Situs ambiguus
rfc1,ORPHA:504476,Orphanet: Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome
mc3r,ORPHA:217031,Orphanet: NON RARE IN EUROPE: Obesity due to MC3R deficiency
map3k7,ORPHA:1826,Orphanet: Frontometaphyseal dysplasia
bub1b,ORPHA:1052,Orphanet: Mosaic variegated aneuploidy syndrome
src,ORPHA:480851,Orphanet: Hereditary thrombocytopenia with early-onset myelofibrosis
slc1a1,ORPHA:2195,Orphanet: Dicarboxylic aminoaciduria
nr2e3,ORPHA:53540,Orphanet: Goldmann-Favre syndrome
ppt1,ORPHA:79264,Orphanet: Juvenile neuronal ceroid lipofuscinosis
acadvl,ORPHA:26793,Orphanet: Very long chain acyl-CoA dehydrogenase deficiency
rhoa,ORPHA:589608,"Orphanet: Linear hypopigmentation and craniofacial asymmetry with acral, ocular and brain anomalies"
asns,ORPHA:391376,Orphanet: Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome
vegfc,ORPHA:569821,Orphanet: Congenital primary lymphedema of Gordon
bche,ORPHA:132,Orphanet: Hereditary butyrylcholinesterase deficiency
hla-drb1,ORPHA:477738,Orphanet: Pediatric multiple sclerosis
cd40,ORPHA:101090,Orphanet: Hyper-IgM syndrome type 3
cd40lg,ORPHA:101088,Orphanet: X-linked hyper-IgM syndrome
myh14,ORPHA:397744,Orphanet: Peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome
plin1,ORPHA:280356,Orphanet: PLIN1-related familial partial lipodystrophy
glrb,ORPHA:3197,Orphanet: Hereditary hyperekplexia
ubb,ORPHA:99772,Orphanet: Cleft velum
tgfb3,ORPHA:293910,"Orphanet: Inherited isolated arrhythmogenic cardiomyopathy, dominant-right variant"
ctsb,ORPHA:50943,Orphanet: Keratolytic winter erythema
bcap31,ORPHA:369939,Orphanet: Severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome
rps6ka3,ORPHA:276630,Orphanet: Symptomatic form of Coffin-Lowry syndrome in female carriers
pbrm1,ORPHA:404511,Orphanet: Clear cell papillary renal cell carcinoma
cyld,ORPHA:867,Orphanet: Familial multiple trichoepithelioma
kcnq2,ORPHA:140927,Orphanet: Benign familial neonatal-infantile seizures
txn2,ORPHA:478029,Orphanet: Combined oxidative phosphorylation defect type 29
irak4,ORPHA:70592,Orphanet: Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency
xiap,ORPHA:538934,Orphanet: X-linked lymphoproliferative disease due to XIAP deficiency
oat,ORPHA:414,Orphanet: Gyrate atrophy of choroid and retina
pnp,ORPHA:760,Orphanet: Purine nucleoside phosphorylase deficiency
ctcf,ORPHA:363611,Orphanet: CTCF-related neurodevelopmental disorder
flt1,ORPHA:275555,Orphanet: Preeclampsia
erbb2,ORPHA:388,Orphanet: Hirschsprung disease
itpr2,ORPHA:468666,Orphanet: Isolated generalized anhidrosis with normal sweat glands
rarb,ORPHA:2470,Orphanet: Matthew-Wood syndrome
c3,ORPHA:544472,Orphanet: Atypical hemolytic uremic syndrome with complement gene abnormality
pmp22,ORPHA:640,Orphanet: Hereditary neuropathy with liability to pressure palsies
cyp26b1,ORPHA:293925,Orphanet: Lethal occipital encephalocele-skeletal dysplasia syndrome
maoa,ORPHA:3057,Orphanet: Monoamine oxidase A deficiency
trac,ORPHA:397959,Orphanet: TCR-alpha-beta-positive T-cell deficiency
ogdh,ORPHA:31,Orphanet: Oxoglutaric aciduria
prkdc,ORPHA:317425,Orphanet: Severe combined immunodeficiency due to DNA-PKcs deficiency
man1b1,ORPHA:397941,Orphanet: MAN1B1-CDG
drd3,ORPHA:862,Orphanet: NON RARE IN EUROPE: Hereditary essential tremor
fgf23,ORPHA:89937,Orphanet: Autosomal dominant hypophosphatemic rickets
pank2,ORPHA:216866,Orphanet: Classic pantothenate kinase-associated neurodegeneration
met,ORPHA:488265,Orphanet: Osteofibrous dysplasia
capn1,ORPHA:488594,Orphanet: Autosomal recessive spastic paraplegia type 76
dstyk,ORPHA:93100,"Orphanet: Renal agenesis, unilateral"
tnf,ORPHA:40050,Orphanet: NON RARE IN EUROPE: Psoriatic arthritis
kcnk4,ORPHA:598603,Orphanet: Facial dysmorphism-hypertrichosis-epilepsy-intellectual disability/developmental delay-gingival overgrowth syndrome
ipmk,ORPHA:456333,Orphanet: Hereditary neuroendocrine tumor of small intestine
mme,ORPHA:69063,Orphanet: Congenital membranous nephropathy due to fetomaternal anti-neutral endopeptidase alloimmunization
ppp3ca,ORPHA:565858,Orphanet: Craniosynostosis-microretrognathia-severe intellectual disability syndrome
mvd,ORPHA:79152,Orphanet: Disseminated superficial actinic porokeratosis
gopc,ORPHA:171709,Orphanet: Male infertility due to globozoospermia
kcnma1,ORPHA:79137,Orphanet: Generalized epilepsy-paroxysmal dyskinesia syndrome
loxl1,ORPHA:529819,Orphanet: NON RARE IN EUROPE: Exfoliation syndrome
clpp,ORPHA:642945,Orphanet: Perrault syndrome type 1
f8,ORPHA:169802,Orphanet: Severe hemophilia A
chrna1,ORPHA:33108,Orphanet: Lethal multiple pterygium syndrome
slc13a5,ORPHA:1946,Orphanet: Amelocerebrohypohidrotic syndrome
ntn1,ORPHA:238722,Orphanet: Familial congenital mirror movements
slc1a3,ORPHA:2131,Orphanet: Alternating hemiplegia of childhood
cog8,ORPHA:95428,Orphanet: COG8-CDG
hsd17b10,ORPHA:391428,"Orphanet: HSD10 disease, infantile type"
srd5a2,ORPHA:753,"Orphanet: 46,XY difference of sex development due to 5-alpha-reductase 2 deficiency"
srd5a3,ORPHA:324737,Orphanet: SRD5A3-CDG
abcc6,ORPHA:51608,Orphanet: Generalized arterial calcification of infancy
bmpr1b,ORPHA:2098,"Orphanet: Acromesomelic dysplasia, Grebe type"
mmp9,ORPHA:1040,Orphanet: Metaphyseal anadysplasia
pck1,ORPHA:2880,Orphanet: Phosphoenolpyruvate carboxykinase deficiency
birc3,ORPHA:52417,Orphanet: MALT lymphoma
gja1,ORPHA:2248,Orphanet: Hypoplastic left heart syndrome
cers1,ORPHA:424027,Orphanet: Progressive myoclonic epilepsy type 8
spast,ORPHA:100985,Orphanet: Autosomal dominant spastic paraplegia type 4
plat,ORPHA:64738,Orphanet: NON RARE IN EUROPE: Non rare thrombophilia
uchl1,ORPHA:352654,Orphanet: Early-onset progressive neurodegeneration-blindness-ataxia-spasticity syndrome
vwf,ORPHA:166093,Orphanet: Von Willebrand disease type 2N
slc6a2,ORPHA:443236,Orphanet: Postural orthostatic tachycardia syndrome due to NET deficiency
bckdk,ORPHA:308410,Orphanet: Autism-epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency
cd27,ORPHA:238505,Orphanet: Combined immunodeficiency due to CD27 deficiency
cyp1b1,ORPHA:708,Orphanet: Peters anomaly
calm1,ORPHA:3286,Orphanet: Catecholaminergic polymorphic ventricular tachycardia
kcnj6,ORPHA:435628,Orphanet: Keppen-Lubinsky syndrome
fas,ORPHA:3437,Orphanet: Vogt-Koyanagi-Harada disease
p4ha2,ORPHA:397,Orphanet: Giant cell arteritis
vps4b,ORPHA:99789,Orphanet: Dentin dysplasia type I
gad1,ORPHA:210141,Orphanet: Inherited congenital spastic tetraplegia
jak3,ORPHA:35078,Orphanet: T-B+ severe combined immunodeficiency due to JAK3 deficiency
aptx,ORPHA:1168,Orphanet: Ataxia-oculomotor apraxia type 1
psap,ORPHA:309256,"Orphanet: Metachromatic leukodystrophy, late infantile form"
fuca1,ORPHA:349,Orphanet: Fucosidosis
mrps7,ORPHA:457223,Orphanet: Syndromic sensorineural deafness due to combined oxidative phosphorylation defect
hadhb,ORPHA:746,Orphanet: Mitochondrial trifunctional protein deficiency
uba2,ORPHA:1114,Orphanet: Aplasia cutis congenita
lat,ORPHA:504523,Orphanet: Severe combined immunodeficiency due to LAT deficiency
sigmar1,ORPHA:300605,Orphanet: Juvenile amyotrophic lateral sclerosis
tf,ORPHA:1195,Orphanet: Congenital atransferrinemia
vkorc1,ORPHA:98434,Orphanet: Hereditary combined deficiency of vitamin K-dependent clotting factors
eif2b3,ORPHA:157713,Orphanet: Congenital or early infantile CACH syndrome
dmpk,ORPHA:589824,Orphanet: Childhood-onset Steinert myotonic dystrophy
nectin1,ORPHA:141291,Orphanet: Cleft lip and alveolus
ndrg1,ORPHA:99950,Orphanet: Charcot-Marie-Tooth disease type 4D
tspoap1,ORPHA:101150,Orphanet: Autosomal recessive dopa-responsive dystonia
slc22a5,ORPHA:158,Orphanet: Systemic primary carnitine deficiency
tnfrsf1a,ORPHA:802,Orphanet: NON RARE IN EUROPE: Multiple sclerosis
cfd,ORPHA:169467,Orphanet: Recurrent Neisseria infections due to factor D deficiency
rars1,ORPHA:438114,Orphanet: RARS-related autosomal recessive hypomyelinating leukodystrophy
pdgfb,ORPHA:263662,Orphanet: Familial multiple meningioma
tmprss4,ORPHA:363969,Orphanet: Autosomal recessive cerebral atrophy
abcc2,ORPHA:234,Orphanet: Dubin-Johnson syndrome
zbtb24,ORPHA:2268,Orphanet: ICF syndrome
tdp1,ORPHA:94124,Orphanet: Spinocerebellar ataxia with axonal neuropathy type 1
lrp5,ORPHA:3416,Orphanet: Hyperostosis corticalis generalisata
ncstn,ORPHA:387,Orphanet: NON RARE IN EUROPE: Hidradenitis suppurativa
hint1,ORPHA:324442,Orphanet: Autosomal recessive axonal neuropathy with neuromyotonia
fancf,ORPHA:84,Orphanet: Fanconi anemia
adam10,ORPHA:178307,Orphanet: Reticulate acropigmentation of Kitamura
pdk3,ORPHA:352675,Orphanet: X-linked Charcot-Marie-Tooth disease type 6
actb,ORPHA:2995,Orphanet: Baraitser-Winter cerebrofrontofacial syndrome
hmgcr,ORPHA:653725,"Orphanet: Autosomal recessive limb-girdle muscular dystrophy, type 28"
sirt6,ORPHA:580933,Orphanet: Lethal brain and heart developmental defects
slc6a1,ORPHA:1942,Orphanet: Myoclonic-astatic epilepsy
upb1,ORPHA:65287,Orphanet: Beta-ureidopropionase deficiency
brd4,ORPHA:443167,Orphanet: NUT midline carcinoma
adgrg1,ORPHA:98889,Orphanet: Bilateral perisylvian polymicrogyria
pgrmc1,ORPHA:619,Orphanet: NON RARE IN EUROPE: Primary ovarian failure
srp19,ORPHA:486,Orphanet: Autosomal dominant severe congenital neutropenia
serpinh1,ORPHA:216812,Orphanet: Osteogenesis imperfecta type 3
urod,ORPHA:95159,Orphanet: Hepatoerythropoietic porphyria
gusb,ORPHA:584,Orphanet: Mucopolysaccharidosis type 7
crygd,ORPHA:441452,Orphanet: Early-onset lamellar cataract
bmpr2,ORPHA:31837,Orphanet: Pulmonary venoocclusive disease
insr,ORPHA:2297,Orphanet: Insulin-resistance syndrome type A
kl,ORPHA:306661,Orphanet: Familial hyperphosphatemic tumoral calcinosis/Hyperphosphatemic hyperostosis syndrome
plcd1,ORPHA:2387,Orphanet: Leukonychia totalis
gigyf2,ORPHA:411602,Orphanet: Hereditary late-onset Parkinson disease
gaa,ORPHA:420429,"Orphanet: Glycogen storage disease due to acid maltase deficiency, late-onset"
si,ORPHA:35122,Orphanet: Congenital sucrase-isomaltase deficiency
map2k2,ORPHA:638,Orphanet: Neurofibromatosis-Noonan syndrome
ogg1,ORPHA:422526,Orphanet: Hereditary clear cell renal cell carcinoma
pink1,ORPHA:2828,Orphanet: Young-onset Parkinson disease
lipc,ORPHA:140905,Orphanet: Hyperlipidemia due to hepatic triacylglycerol lipase deficiency
afp,ORPHA:168612,Orphanet: Congenital deficiency in alpha-fetoprotein
ikbkb,ORPHA:397787,Orphanet: Severe combined immunodeficiency due to IKK2 deficiency
f12,ORPHA:100054,Orphanet: F12-related hereditary angioedema with normal C1Inh
cyp17a1,ORPHA:90793,Orphanet: Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency
eng,ORPHA:231160,Orphanet: Familial cerebral saccular aneurysm
ccr6,ORPHA:220393,Orphanet: Diffuse cutaneous systemic sclerosis
chd1,ORPHA:529965,Orphanet: Intellectual disability-autism-speech apraxia-craniofacial dysmorphism syndrome
sem1,ORPHA:2440,Orphanet: Isolated split hand-split foot malformation
usp45,ORPHA:65,Orphanet: Leber congenital amaurosis
lcat,ORPHA:79293,Orphanet: Familial LCAT deficiency
vcp,ORPHA:100070,Orphanet: Progressive non-fluent aphasia
cfh,ORPHA:93571,Orphanet: Dense deposit disease
hhat,ORPHA:1422,Orphanet: Chondrodysplasia-difference of sex development syndrome
rpsa,ORPHA:101351,Orphanet: Familial isolated congenital asplenia
cripto,ORPHA:93925,Orphanet: Alobar holoprosencephaly
ripk1,ORPHA:529977,Orphanet: Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections-lymphopenia syndrome
scnn1b,ORPHA:526,Orphanet: Liddle syndrome
ifng,ORPHA:805,Orphanet: Tuberous sclerosis complex
opn1lw,ORPHA:319691,"Orphanet: NON RARE IN EUROPE: Partial color blindness, protan type"
idh1,ORPHA:99646,Orphanet: Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria
idh2,ORPHA:251601,Orphanet: Fibrillary astrocytoma
dlat,ORPHA:79244,Orphanet: Pyruvate dehydrogenase E2 deficiency
il6,ORPHA:85414,Orphanet: Systemic-onset juvenile idiopathic arthritis
slc5a1,ORPHA:35710,Orphanet: Glucose-galactose malabsorption
ganab,ORPHA:730,Orphanet: Autosomal dominant polycystic kidney disease
fgb,ORPHA:248408,Orphanet: Familial hypodysfibrinogenemia
cd28,ORPHA:2584,Orphanet: Classic mycosis fungoides
slc6a3,ORPHA:238455,Orphanet: Infantile dystonia-parkinsonism
alad,ORPHA:100924,Orphanet: Porphyria due to ALA dehydratase deficiency
f11,ORPHA:329,Orphanet: Congenital factor XI deficiency
cpox,ORPHA:79273,Orphanet: Hereditary coproporphyria
hras,ORPHA:3071,Orphanet: Costello syndrome
echs1,ORPHA:653880,Orphanet: Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency
dhcr24,ORPHA:35107,Orphanet: Desmosterolosis
atp2a1,ORPHA:53347,Orphanet: Brody myopathy
slc5a2,ORPHA:69076,Orphanet: Familial renal glucosuria
pygl,ORPHA:369,Orphanet: Glycogen storage disease due to liver glycogen phosphorylase deficiency
ksr2,ORPHA:521399,Orphanet: NON RARE IN EUROPE: Non rare obesity
gamt,ORPHA:382,Orphanet: Guanidinoacetate methyltransferase deficiency
slc34a3,ORPHA:157215,Orphanet: Hereditary hypophosphatemic rickets with hypercalciuria
gls,ORPHA:557064,Orphanet: Neonatal epileptic encephalopathy due to glutaminase deficiency
samhd1,ORPHA:481662,Orphanet: Familial Chilblain lupus
esr1,ORPHA:785,Orphanet: Estrogen resistance syndrome
grk1,ORPHA:75382,Orphanet: Oguchi disease
pcdh15,ORPHA:231169,Orphanet: Usher syndrome type 1
septin9,ORPHA:2901,Orphanet: Neuralgic amyotrophy
ctnna1,ORPHA:26106,Orphanet: Hereditary diffuse gastric cancer
chuk,ORPHA:465824,Orphanet: Fetal encasement syndrome
smc1a,ORPHA:3095,Orphanet: Atypical Rett syndrome
rps27,ORPHA:124,Orphanet: Diamond-Blackfan anemia
rps14,ORPHA:86841,Orphanet: Myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality
rps20,ORPHA:440437,Orphanet: Familial colorectal cancer Type X
rpl10,ORPHA:459070,Orphanet: X-linked intellectual disability-cerebellar hypoplasia-spondylo-epiphyseal dysplasia syndrome
pde11a,ORPHA:1359,Orphanet: Carney complex
slc12a3,ORPHA:358,Orphanet: Gitelman syndrome
cnot1,ORPHA:556955,Orphanet: Pancreatic agenesis-holoprosencephaly syndrome
hyal1,ORPHA:67041,Orphanet: Hyaluronidase deficiency
orai1,ORPHA:317428,Orphanet: Combined immunodeficiency due to ORAI1 deficiency
stim1,ORPHA:317430,Orphanet: Combined immunodeficiency due to STIM1 deficiency
dhcr7,ORPHA:818,Orphanet: Smith-Lemli-Opitz syndrome
klkb1,ORPHA:749,Orphanet: Congenital prekallikrein deficiency
ccno,ORPHA:244,Orphanet: Primary ciliary dyskinesia
cetp,ORPHA:79506,Orphanet: Cholesterol-ester transfer protein deficiency
otud6b,ORPHA:505237,Orphanet: Early-onset seizures-distal limb anomalies-facial dysmorphism-global developmental delay syndrome
dyrk1a,ORPHA:268261,Orphanet: DYRK1A-related intellectual disability syndrome due to 21q22.13q22.2 microdeletion
pde10a,ORPHA:494541,Orphanet: Childhood-onset benign chorea with striatal involvement
slc46a1,ORPHA:90045,Orphanet: Hereditary folate malabsorption
cyp11b1,ORPHA:403,Orphanet: Familial hyperaldosteronism type I
csgalnact1,ORPHA:1425,Orphanet: Desbuquois syndrome
pfkm,ORPHA:371,Orphanet: Glycogen storage disease due to muscle phosphofructokinase deficiency
slc9a3,ORPHA:103908,Orphanet: Congenital sodium diarrhea
st14,ORPHA:91132,Orphanet: Ichthyosis-hypotrichosis syndrome
wdr48,ORPHA:401800,Orphanet: Autosomal recessive spastic paraplegia type 60
nos1,ORPHA:930,Orphanet: Idiopathic achalasia
aip,ORPHA:99725,Orphanet: Pituitary gigantism
pdgfrb,ORPHA:363665,Orphanet: Acroosteolysis-keloid-like lesions-premature aging syndrome
hnrnph1,ORPHA:99861,Orphanet: Precursor T-cell acute lymphoblastic leukemia
uros,ORPHA:79277,Orphanet: Congenital erythropoietic porphyria
myb,ORPHA:251671,Orphanet: Angiocentric glioma
hnrnpu,ORPHA:238769,Orphanet: 1q44 microdeletion syndrome
ebp,ORPHA:35173,Orphanet: X-linked dominant chondrodysplasia punctata
cyp2a6,ORPHA:529831,Orphanet: Letrozole toxicity
cyp2r1,ORPHA:289157,Orphanet: Hypocalcemic vitamin D-dependent rickets
cyp2u1,ORPHA:320411,Orphanet: Autosomal recessive spastic paraplegia type 56
prepl,ORPHA:369881,Orphanet: 2p21 microdeletion syndrome without cystinuria
abca1,ORPHA:425,Orphanet: Apolipoprotein A-I deficiency
wnk1,ORPHA:88940,Orphanet: Pseudohypoaldosteronism type 2C
tufm,ORPHA:254925,Orphanet: Combined oxidative phosphorylation defect type 4
il6st,ORPHA:2314,Orphanet: Autosomal dominant hyper-IgE syndrome due to STAT3 deficiency
nmnat1,ORPHA:1872,Orphanet: Cone rod dystrophy
itga6,ORPHA:79403,Orphanet: Junctional epidermolysis bullosa with pyloric atresia
dnmt1,ORPHA:314404,Orphanet: Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome
prkar1b,ORPHA:412066,Orphanet: PRKAR1B-related neurodegenerative dementia with intermediate filaments
nlrp3,ORPHA:575,Orphanet: Muckle-Wells syndrome
atp5f1a,ORPHA:254913,Orphanet: Isolated ATP synthase deficiency
serpine1,ORPHA:465,Orphanet: Congenital plasminogen activator inhibitor type 1 deficiency
naga,ORPHA:79279,Orphanet: Alpha-N-acetylgalactosaminidase deficiency type 1
usp7,ORPHA:643538,Orphanet: Hao-Fountain syndrome due to USP7 mutation
tpo,ORPHA:95716,Orphanet: Familial thyroid dyshormonogenesis
kcnq1,ORPHA:90647,Orphanet: Jervell and Lange-Nielsen syndrome
kcnd3,ORPHA:98772,Orphanet: Spinocerebellar ataxia type 19/22
kcnc1,ORPHA:435438,Orphanet: Progressive myoclonic epilepsy type 7
kcnc3,ORPHA:98768,Orphanet: Spinocerebellar ataxia type 13
kcnv2,ORPHA:209932,Orphanet: Cone dystrophy with supernormal rod response
iars2,ORPHA:436174,Orphanet: Cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome
cyp7a1,ORPHA:209902,Orphanet: Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency
htt,ORPHA:248111,Orphanet: Juvenile Huntington disease
cacna1s,ORPHA:423,Orphanet: Malignant hyperthermia of anesthesia
prkag2,ORPHA:907,Orphanet: NON RARE IN EUROPE: Wolff-Parkinson-White syndrome
pten,ORPHA:500464,Orphanet: Squamous cell carcinoma of the nasal cavity and paranasal sinuses
nlrc4,ORPHA:436166,Orphanet: Periodic fever-infantile enterocolitis-autoinflammatory syndrome
sgpl1,ORPHA:506334,Orphanet: Familial steroid-resistant nephrotic syndrome with adrenal insufficiency
htr1a,ORPHA:498251,Orphanet: Menstrual cycle-dependent periodic fever
epm2a,ORPHA:501,Orphanet: Lafora disease
pdgfra,ORPHA:585877,Orphanet: B-lymphoblastic leukemia/lymphoma with recurrent genetic abnormality
tmprss6,ORPHA:209981,Orphanet: IRIDA syndrome
vdr,ORPHA:93160,Orphanet: Hypocalcemic vitamin D-resistant rickets
rhd,ORPHA:71275,Orphanet: Rh deficiency syndrome
ehmt1,ORPHA:96147,Orphanet: Kleefstra syndrome due to 9q34 microdeletion
gale,ORPHA:308473,Orphanet: Erythrocyte galactose epimerase deficiency
gnb1,ORPHA:488613,Orphanet: Global developmental delay-neuro-ophthalmological abnormalities-seizures-intellectual disability syndrome
adcy5,ORPHA:324588,Orphanet: Familial dyskinesia and facial myokymia
alpl,ORPHA:247623,Orphanet: Perinatal lethal hypophosphatasia
agl,ORPHA:366,Orphanet: Glycogen storage disease due to glycogen debranching enzyme deficiency
col1a2,ORPHA:230857,Orphanet: Ehlers-Danlos/osteogenesis imperfecta syndrome
lck,ORPHA:280142,Orphanet: Severe combined immunodeficiency due to LCK deficiency
tymp,ORPHA:298,Orphanet: Mitochondrial neurogastrointestinal encephalomyopathy
zmpste24,ORPHA:1662,Orphanet: Restrictive dermopathy
ppox,ORPHA:79473,Orphanet: Variegate porphyria
chrm3,ORPHA:2970,Orphanet: Prune belly syndrome
kif22,ORPHA:93360,"Orphanet: Spondyloepimetaphyseal dysplasia with joint laxity, leptodactylic type"
egf,ORPHA:620368,Orphanet: EGF-related primary hypomagnesemia with intellectual disability
slc10a2,ORPHA:449262,Orphanet: NON RARE IN EUROPE: Primary bile acid malabsorption
igf1r,ORPHA:73273,Orphanet: Growth delay due to insulin-like growth factor I resistance
dock2,ORPHA:447737,Orphanet: Combined immunodeficiency due to DOCK2 deficiency
ercc2,ORPHA:910,Orphanet: Xeroderma pigmentosum
hspb1,ORPHA:139525,Orphanet: Distal hereditary motor neuropathy type 2
kcnj1,ORPHA:620220,Orphanet: Bartter syndrome type 2
tacc3,ORPHA:251576,Orphanet: Gliosarcoma
ttr,ORPHA:597939,Orphanet: Euthyroid dysprealbuminemic hyperthyroxinemia
cd3e,ORPHA:169160,Orphanet: T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta
cacna1g,ORPHA:458803,Orphanet: Spinocerebellar ataxia type 42
acvr1,ORPHA:337,Orphanet: Fibrodysplasia ossificans progressiva
gys1,ORPHA:137625,Orphanet: Glycogen storage disease due to muscle and heart glycogen synthase deficiency
pcsk1,ORPHA:71528,Orphanet: Obesity due to prohormone convertase I deficiency
pmpca,ORPHA:1170,Orphanet: Autosomal recessive cerebelloparenchymal disorder type 3
npc1,ORPHA:216981,"Orphanet: Niemann-Pick disease type C, juvenile neurologic onset"
rnf168,ORPHA:420741,Orphanet: RIDDLE syndrome
nr1h4,ORPHA:480476,Orphanet: Progressive familial intrahepatic cholestasis type 5
coasy,ORPHA:397725,Orphanet: COASY protein-associated neurodegeneration
lipe,ORPHA:435660,Orphanet: LIPE-related familial partial lipodystrophy
tgfbi,ORPHA:98956,Orphanet: Epithelial basement membrane dystrophy
