Gene,Disease,disease_name
grik2,ORPHA:88616,Orphanet: Autosomal recessive non-syndromic intellectual disability
plcb3,ORPHA:589435,Orphanet: Spondylometaphyseal dysplasia-corneal dystrophy syndrome
mtor,ORPHA:457485,Orphanet: Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
scn11a,ORPHA:46348,Orphanet: Paroxysmal extreme pain disorder
ryr1,ORPHA:99741,Orphanet: King-Denborough syndrome
bcor,ORPHA:457246,Orphanet: Clear cell sarcoma of kidney
tgfb1,ORPHA:565788,Orphanet: Infantile inflammatory bowel disease with neurological involvement
slc27a4,ORPHA:88621,Orphanet: Ichthyosis-prematurity syndrome
grin1,ORPHA:1934,Orphanet: Early infantile epileptic encephalopathy
grin2a,ORPHA:289266,Orphanet: Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation
grin2b,ORPHA:3451,Orphanet: Infantile spasms syndrome
bmp6,ORPHA:465508,Orphanet: Symptomatic form of HFE-related hemochromatosis
notch1,ORPHA:402075,Orphanet: Familial bicuspid aortic valve
apol1,ORPHA:656,Orphanet: Genetic steroid-resistant nephrotic syndrome
neu1,ORPHA:93400,Orphanet: Congenital sialidosis type 2
prkaca,ORPHA:401920,Orphanet: Fibrolamellar hepatocellular carcinoma
prkcg,ORPHA:98763,Orphanet: Spinocerebellar ataxia type 14
pkd1,ORPHA:88924,Orphanet: Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis
prkd1,ORPHA:500481,Orphanet: Squamous cell carcinoma of salivary glands
pik3r1,ORPHA:33110,Orphanet: Autosomal agammaglobulinemia
pik3ca,ORPHA:221061,Orphanet: Familial cerebral cavernous malformation
pik3r2,ORPHA:83473,Orphanet: Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome
pik3cd,ORPHA:221139,Orphanet: Combined immunodeficiency with facio-oculo-skeletal anomalies
pik3r5,ORPHA:64753,Orphanet: Spinocerebellar ataxia with axonal neuropathy type 2
fkbp14,ORPHA:300179,Orphanet: Kyphoscoliotic Ehlers-Danlos syndrome due to FKBP22 deficiency
epo,ORPHA:247511,Orphanet: Autosomal dominant secondary polycythemia
tgm1,ORPHA:100976,Orphanet: Bathing suit ichthyosis
rab7a,ORPHA:99936,Orphanet: Autosomal dominant Charcot-Marie-Tooth disease type 2B
cdkn1a,ORPHA:652,Orphanet: Multiple endocrine neoplasia type 1
alk,ORPHA:300895,Orphanet: ALK-positive anaplastic large cell lymphoma
atp6v1b2,ORPHA:3473,Orphanet: Zimmermann-Laband syndrome
ampd1,ORPHA:45,Orphanet: Adenosine monophosphate deaminase deficiency
mogs,ORPHA:79330,Orphanet: MOGS-CDG
msh2,ORPHA:252202,Orphanet: Constitutional mismatch repair deficiency syndrome
gnao1,ORPHA:592564,Orphanet: GNAO1-related developmental delay-seizures-movement disorder spectrum
chrna7,ORPHA:199318,Orphanet: 15q13.3 microdeletion syndrome
mst1,ORPHA:171,Orphanet: Primary sclerosing cholangitis
stk4,ORPHA:314689,Orphanet: Combined immunodeficiency due to STK4 deficiency
il17ra,ORPHA:1334,Orphanet: Chronic mucocutaneous candidiasis
egfr,ORPHA:294023,Orphanet: Neonatal inflammatory skin and bowel disease
mertk,ORPHA:791,Orphanet: Retinitis pigmentosa
tpm3,ORPHA:171881,Orphanet: Cap myopathy
lpar6,ORPHA:55654,Orphanet: Hypotrichosis simplex
mapt,ORPHA:240103,Orphanet: Progressive supranuclear palsy-corticobasal syndrome
keap1,ORPHA:276399,Orphanet: Familial multinodular goiter
cul3,ORPHA:300530,Orphanet: Pseudohypoaldosteronism type 2E
itpr1,ORPHA:1065,Orphanet: Aniridia-cerebellar ataxia-intellectual disability syndrome
pde4d,ORPHA:950,Orphanet: Acrodysostosis
spr,ORPHA:70594,Orphanet: Dopa-responsive dystonia due to sepiapterin reductase deficiency
etv6,ORPHA:71290,Orphanet: Familial platelet disorder with associated myeloid malignancy
pparg,ORPHA:528,Orphanet: Congenital generalized lipodystrophy
nsd2,ORPHA:280,Orphanet: Wolf-Hirschhorn syndrome
hdac6,ORPHA:163966,"Orphanet: X-linked dominant chondrodysplasia, Chassaing-Lacombe type"
gpr68,ORPHA:100033,Orphanet: Hypomaturation amelogenesis imperfecta
p2ry12,ORPHA:36355,Orphanet: Bleeding disorder due to P2Y12 defect
abhd12,ORPHA:171848,Orphanet: Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome
cdk6,ORPHA:2512,Orphanet: Autosomal recessive primary microcephaly
gdf2,ORPHA:774,Orphanet: Hereditary hemorrhagic telangiectasia
ddc,ORPHA:35708,Orphanet: Aromatic L-amino acid decarboxylase deficiency
gclc,ORPHA:586,Orphanet: Cystic fibrosis
cdk13,ORPHA:646278,Orphanet: CDK13-related developmental delay-intellectual disability-facial dysmorphism-congenital heart defects syndrome
ccnk,ORPHA:600668,Orphanet: CCNK-related neurodevelopmental disorder-severe intellectual disability-facial dysmorphism syndrome
ampd2,ORPHA:369920,Orphanet: Pontocerebellar hypoplasia type 9
flt3,ORPHA:102724,Orphanet: Acute myeloid leukemia with t(8;21)(q22;q22) translocation
mpi,ORPHA:79319,Orphanet: MPI-CDG
ntrk1,ORPHA:642,Orphanet: Hereditary sensory and autonomic neuropathy type 4
mcoln1,ORPHA:578,Orphanet: Mucolipidosis type IV
mapk1,ORPHA:261330,Orphanet: Distal 22q11.2 microdeletion syndrome
myc,ORPHA:543,Orphanet: Burkitt lymphoma
cog6,ORPHA:363523,Orphanet: Hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome
yars1,ORPHA:100045,Orphanet: Autosomal dominant intermediate Charcot-Marie-Tooth disease type C
pde6c,ORPHA:49382,Orphanet: Achromatopsia
