Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
5.42E-17,55,3615,3.44673596,GO:0023051 regulation of signaling , http://amigo.geneontology.org/amigo/term/GO:0023051, FKBP1A  TNKS2  CSNK1A1  TEK  SMO  CSNK1G2  TAOK3  GPR55  IGF1R  CSNK1D  ERBB2  CCKAR  GRM5  INSR  GRK2  NTRK1  AURKB  SIRT1  JAK2  PIK3CG  F10  BRD4  EGFR  CACNA1B  THRB  BRAF  PLA2G2A  CFTR  MAPK9  ABL1  LGMN  MMP8  RAMP1  CDK4  NPY5R  CDK5  SYK  BDKRB2  ALK  CDK5R1  JUN  TBK1  DRD1  MTOR  MMP12  PIK3CD  MMP9  CCNB1  LCK  MGLL  TGM2  CAPN1  AURKA  TTK  SLC8A1
9.82E-17,21,324,14.68344334,GO:0018105 peptidyl-serine phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0018105, TTK  CSNK1A1  CSNK1G2  CSNK1D  MAPKAPK2  RPS6KA3  TBK1  MAPK9  CDK2  BRAF  CDK5  CDK1  CDK5R1  MTOR  AURKA  SYK  BDKRB2  GRK2  AURKB  DRD1  EGFR
1.26E-16,53,3403,3.528316599,GO:0051173 positive regulation of nitrogen compound metabolic process , http://amigo.geneontology.org/amigo/term/GO:0051173, TNKS2  CCNT1  CSNK1D  BRD4  NR1I2  THRB  CDK5R1  JUN  AURKB  MTOR  FKBP1A  SIRT1  ABL1  LGMN  PIK3CG  CCND1  CSNK1A1  TEK  RAMP1  CDK9  ERBB2  EGFR  BRAF  INSR  LCK  TBK1  MAPK9  AURKA  JAK2  CDC25B  MMP8  CDK2  SMO  CCNB1  IGF1R  CCNA2  CAPN2  CDK5  SYK  GRM5  PTAFR  CDK1  ALK  NTRK1  RORB  SENP1  SOAT1  MMP9  TAOK3  RPS6KA3  MMP12  RORC  TTK
1.26E-16,47,2609,4.081101594,GO:0071310 cellular response to organic substance , http://amigo.geneontology.org/amigo/term/GO:0071310, JAK2  RAMP1  IGF1R  THRB  MAPKAPK2  DRD1  NTRK1  TBK1  CFTR  CALCRL  FKBP1A  SIRT1  LGMN  CDK9  ERBB2  RORC  EGFR  INSR  JUN  MAPK11  MTOR  TGM2  BTK  DGAT2  ABL1  PIK3CG  GNRHR  CCND1  SMO  CDK4  CSNK1D  CCNA2  SRD5A1  CAPN2  CDK5  SYK  GRM5  PTAFR  FASN  CDK1  ALK  SLC8A1  MMP12  SSTR3  CTSL  PIK3CD  RORB
3.09E-16,54,3617,3.382196832,GO:0031325 positive regulation of cellular metabolic process , http://amigo.geneontology.org/amigo/term/GO:0031325, TNKS2  TEK  CCNT1  IGF1R  CSNK1D  ERBB2  BRD4  NR1I2  EGFR  THRB  ALK  INSR  CDK5R1  NTRK1  JUN  AURKB  MTOR  FKBP1A  SIRT1  ABL1  LGMN  PIK3CG  CCND1  CSNK1A1  RAMP1  CCNB1  CDK9  BRAF  LCK  TBK1  MAPK9  DGAT2  AURKA  JAK2  CDC25B  MMP8  CDK2  SMO  CCNA2  CAPN2  CDK5  SYK  GRM5  PTAFR  CDK1  RORB  SENP1  SOAT1  MMP9  TAOK3  RPS6KA3  MMP12  RORC  TTK
3.52E-16,21,347,13.71018917,GO:0018209 peptidyl-serine modification , http://amigo.geneontology.org/amigo/term/GO:0018209, TTK  CSNK1A1  CSNK1G2  CSNK1D  MAPKAPK2  RPS6KA3  TBK1  MAPK9  CDK2  BRAF  CDK5  CDK1  CDK5R1  MTOR  AURKA  SYK  BDKRB2  GRK2  AURKB  DRD1  EGFR
9.43E-16,27,734,8.333382793,GO:1901699 cellular response to nitrogen compound , http://amigo.geneontology.org/amigo/term/GO:1901699, JAK2  DRD1  SIRT1  LGMN  INSR  MTOR  TGM2  CFTR  PIK3CG  GNRHR  CDK4  IGF1R  CCNA2  SRD5A1  EGFR  CAPN2  CDK5  GRM5  PTAFR  ALK  CDK5R1  JUN  SLC8A1  GRK2  ABL1  CDK2  MMP3
9.70E-16,36,1504,5.422609016,GO:0032270 positive regulation of cellular protein metabolic process , http://amigo.geneontology.org/amigo/term/GO:0032270, CSNK1D  CDK5R1  AURKB  FKBP1A  ABL1  LGMN  PIK3CG  CCND1  CSNK1A1  TEK  RAMP1  ERBB2  EGFR  BRAF  INSR  LCK  MTOR  MAPK9  AURKA  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CDK5  SYK  GRM5  PTAFR  ALK  NTRK1  SENP1  MMP9  TAOK3  BRD4  TBK1  TTK
1.05E-15,61,4821,2.866462938,GO:0042221 response to chemical , http://amigo.geneontology.org/amigo/term/GO:0042221, JAK2  SLC2A1  SMO  RAMP1  IGF1R  THRB  MAPKAPK2  CDK5R1  DRD1  NTRK1  TBK1  MTOR  CFTR  CALCRL  ABCB1  FKBP1A  SIRT1  ABL1  LGMN  MMP9  CCND1  CDK9  ERBB2  RORC  NR1I2  EGFR  CACNA1B  BRAF  SYK  INSR  JUN  LCK  SLC8A1  MAPK11  TGM2  BTK  MAPK9  DGAT2  PIK3CG  GNRHR  CDK4  CSNK1D  CCNA2  SRD5A1  CAPN2  CDK5  BDKRB2  GRM5  PTAFR  FASN  CDK1  ALK  PIK3CD  RPS6KA3  MMP12  SSTR3  CTSL  MMP3  GRK2  RORB  CDK2
1.22E-15,37,1618,5.180561505,GO:0051247 positive regulation of protein metabolic process , http://amigo.geneontology.org/amigo/term/GO:0051247, CSNK1D  CDK5R1  AURKB  FKBP1A  ABL1  LGMN  PIK3CG  CCND1  CSNK1A1  TEK  RAMP1  ERBB2  EGFR  BRAF  INSR  LCK  MTOR  MAPK9  AURKA  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CDK5  SYK  GRM5  PTAFR  ALK  NTRK1  SOAT1  SENP1  MMP9  TAOK3  BRD4  TBK1  TTK
