shared_gene,phenotype,concurrency_phenotype,concurrency_gene,Total_concurrency
['TG6'],[],0,0,0
['RNA polymerase II transcription factor SIII subunit C'],[],0,0,0
['Scavenger receptor class B member 1'],[],0,0,0
['Large ribosomal subunit protein eL18'],[],0,0,0
['Insulin receptor subunit beta'],[],0,0,0
['CNK homolog protein 1'],[],0,0,0
['Sugen kinase 85'],[],0,0,0
['Glucose transporter type X1'],[],0,0,0
['UGT2B8'],[],0,0,0
['hFz7'],[],0,0,0
['PPIase FKBP4'],[],0,0,0
['Extracellular serine/threonine protein kinase FAM20C'],[],0,0,0
['Polycomb 3 homolog'],[],0,0,0
['KIAA0207'],[],0,0,0
['AS3MT'],[],0,0,0
['GGPPSase'],[],0,0,0
['6.2.1.17'],[],0,0,0
['Protein deacetylase HDAC3'],[],0,0,0
['VE-statin'],[],0,0,0
['hOT7T175'],[],0,0,0
['NMDAR2B'],[],0,0,0
['6.3.4.16'],[],0,0,0
['HTR3'],[],0,0,0
['LIPE'],"['Proximal muscle weakness', 'Skeletal muscle hypertrophy', 'Lower limb muscle weakness', 'Hepatic steatosis', 'Hepatic steatosis', 'Muscle weakness', 'Autosomal recessive inheritance', 'Polycystic ovaries', 'Proximal muscle weakness in lower limbs', 'Increased intraabdominal fat', 'Proximal muscle weakness in upper limbs', 'Hypertriglyceridemia', 'Hepatomegaly', 'Difficulty climbing stairs', 'Muscular dystrophy', 'Hypopigmentation of the skin', 'Loss of subcutaneous adipose tissue in limbs', 'Loss of gluteal subcutaneous adipose tissue', 'Decreased adiponectin level', 'Hyperlipidemia', 'Abdominal obesity', 'Young adult onset', 'Lipodystrophy', 'Lipodystrophy', 'Abnormal circulating lipid concentration', 'Myopathy', 'Oligomenorrhea', 'Insulin resistance', 'Insulin resistance', 'Insulin-resistant diabetes mellitus', 'Diabetes mellitus', 'Hypertension', 'Abnormal labia majora morphology', 'Elevated circulating creatine kinase concentration', 'Elevated circulating creatine kinase concentration', 'Skeletal muscle atrophy', 'Decreased serum leptin', 'Acanthosis nigricans', 'Acanthosis nigricans', 'Lumbar hyperlordosis', 'Increased adipose tissue around the neck', 'Pes cavus']",2,0,2
['NPEPL1'],[],0,0,0
['T3G'],[],0,0,0
['C21orf112'],[],0,0,0
"['Pantothenate kinase 2, mitochondrial mature form']",[],0,0,0
['GARS1'],"['Impaired vibratory sensation', 'Distal muscle weakness', 'Distal muscle weakness', 'Distal muscle weakness', 'Generalized hypotonia', 'Motor delay', 'Areflexia', 'Hyporeflexia', 'Lower limb muscle weakness', 'Type 1 muscle fiber predominance', 'Hyperreflexia', 'Hyperreflexia', 'Muscle weakness', 'Autosomal dominant inheritance', 'Autosomal dominant inheritance', 'Autosomal dominant inheritance', 'Scoliosis', 'Scoliosis', 'Respiratory insufficiency', 'First dorsal interossei muscle weakness', 'First dorsal interossei muscle weakness', 'First dorsal interossei muscle weakness', 'Thenar muscle atrophy', 'Thenar muscle atrophy', 'Thenar muscle atrophy', 'Upper limb muscle weakness', 'Upper limb muscle weakness', 'Upper limb muscle weakness', 'First dorsal interossei muscle atrophy', 'First dorsal interossei muscle atrophy', 'First dorsal interossei muscle atrophy', 'Thenar muscle weakness', 'Thenar muscle weakness', 'Thenar muscle weakness', 'Cold-induced hand cramps', 'Cold-induced hand cramps', 'Cold-induced hand cramps', 'Postural instability', 'Muscle fibrillation', 'Infantile onset', 'Increased variability in muscle fiber diameter', 'Distal amyotrophy', 'Distal amyotrophy', 'Distal amyotrophy', 'Distal amyotrophy', 'Slowly progressive', 'Slowly progressive', 'Unsteady gait', 'Peripheral neuropathy', 'Motor polyneuropathy', 'Distal lower limb muscle weakness', 'Short stature', 'Delayed ability to walk', 'Young adult onset', 'Young adult onset', 'Upper limb amyotrophy', 'Upper limb amyotrophy', 'Hip contracture', 'Abnormal motor nerve conduction velocity', 'Pes valgus', 'Lumbar hyperlordosis', 'Distal sensory impairment', 'Weak voice', 'Pes planus', 'Hammertoe', 'Hammertoe', 'Hammertoe', 'Pes cavus', 'Pes cavus', 'Pes cavus']",4,0,4
['Heterogeneous nuclear ribonucleoprotein E2'],[],0,0,0
['BRPF2 GN  '],[],0,0,0
['26S proteasome regulatory subunit p28'],[],0,0,0
['Casein kinase I isoform alpha'],[],0,0,0
['Su(var)3-9 homolog 1'],[],0,0,0
['CYB5M'],[],0,0,0
['Mannosidase alpha class 1A member 1'],[],0,0,0
['hWS'],[],0,0,0
['Metavinculin'],[],0,0,0
['Dipeptidyl peptidase IV'],[],0,0,0
['43 kDa receptor-associated protein of the synapse'],[],0,0,0
['LACS 3'],[],0,0,0
['Integral membrane protein E16'],[],0,0,0
['HORK3'],[],0,0,0
['Threonyl-tRNA synthetase-like 1'],[],0,0,0
['3.1.2.22'],[],0,0,0
['TCF-16'],[],0,0,0
['Steroid hormone receptor Ad4BP'],[],0,0,0
['YOD1'],[],0,0,0
['Agammaglobulinemia tyrosine kinase'],[],0,0,0
['Lysyl-tRNA synthetase'],[],0,0,0
['BAFF receptor'],[],0,0,0
['eIF-2-alpha kinase GCN2'],[],0,0,0
['Tubulin beta-4 chain'],[],0,0,0
['HSP86'],[],0,0,0
['RPS6KA3'],"['Large hands', 'Large hands', 'Broad palm', 'Hyperextensibility of the finger joints', 'Tapered finger', 'Tapered finger', 'Tapered finger', 'Brachydactyly', 'Bipolar affective disorder', 'Thick nasal alae', 'Thick nasal alae', 'Short distal phalanx of finger', 'Sporadic', 'Hypertonia', 'Motor delay', 'Gait disturbance', 'Intellectual disability, mild', 'Seizure', 'Seizure', 'Seizure', 'Hypotonia', 'Hypotonia', 'Hypotonia', 'Hypotonia', 'Intellectual disability', 'Intellectual disability', 'Intellectual disability', 'Global developmental delay', 'Aplasia/Hypoplasia of the corpus callosum', 'Aplasia/Hypoplasia of the cerebellum', 'Highly arched eyebrow', 'Joint hypermobility', 'Inguinal hernia', 'Thickened calvaria', 'Feeding difficulties in infancy', 'Drumstick terminal phalanges', 'Muscle weakness', 'Coxa valga', 'Scoliosis', 'Scoliosis', 'Scoliosis', 'Scoliosis', 'Narrow palate', 'Narrow palate', 'Thick lower lip vermilion', 'Thick lower lip vermilion', 'Thick lower lip vermilion', 'Open mouth', 'Open mouth', 'Delayed closure of the anterior fontanelle', 'Uterine prolapse', 'Wide mouth', 'Advanced eruption of teeth', 'X-linked dominant inheritance', 'X-linked dominant inheritance', 'Kyphoscoliosis', 'Delayed skeletal maturation', 'Delayed skeletal maturation', 'X-linked inheritance', 'Rectal prolapse', 'Frontal bossing', 'Frontal bossing', 'Abnormal form of the vertebral bodies', 'Cerebral cortical atrophy', 'Ventriculomegaly', 'Ventriculomegaly', 'Progressive spasticity', 'Abnormality of speech or vocalization', 'Sleep apnea', 'Infantile onset', 'Abnormality of neuronal migration', 'Self-injurious behavior', 'Coarse hair', 'Thick nasal septum', 'Acrocyanosis', 'Death in early adulthood', 'Broad columella', 'Lumbar kyphosis', 'Optic atrophy', 'Short metacarpal', 'Short metacarpal', 'Severe global developmental delay', 'Delayed eruption of teeth', 'Dental crowding', 'Anodontia', 'Oligodontia', 'Dental malocclusion', 'Widely spaced teeth', 'Widely spaced teeth', 'Hypodontia', 'Hypodontia', 'Decreased body weight', 'Short stature', 'Short stature', 'Short stature', 'Abnormal cardiovascular system morphology', 'Pseudoepiphyses of the metacarpals', 'Pectus excavatum', 'Pectus excavatum', 'Pectus excavatum', 'Pectus carinatum', 'Pectus carinatum', 'Pectus carinatum', 'Delayed speech and language development', 'Depression', 'Psychosis', 'Short nose', 'Craniofacial hyperostosis', 'Skeletal muscle atrophy', 'Bifid sternum', 'Cutis laxa', 'Single transverse palmar crease', 'Cutis marmorata', 'Abnormal diaphysis morphology', 'Abnormality of retinal pigmentation', 'Epicanthus', 'Coarse facial features', 'Coarse facial features', 'Kyphosis', 'Kyphosis', 'Kyphosis', 'Microcephaly', 'Microcephaly', 'Redundant skin', 'High palate', 'High palate', 'Everted lower lip vermilion', 'Everted lower lip vermilion', 'Everted lower lip vermilion', 'Everted lower lip vermilion', 'Narrow iliac wing', 'Narrow iliac wing', 'Broad finger', 'Small for gestational age', 'Obesity', 'Abnormal dental morphology', 'Hearing impairment', 'Prominent supraorbital ridges', 'Hypertelorism', 'Hypertelorism', 'Hypertelorism', 'Abnormal aortic valve morphology', 'Hypoplasia of the maxilla', 'Mitral regurgitation', 'Mandibular prognathia', 'Abnormal mitral valve morphology', 'Sensorineural hearing impairment', 'Sensorineural hearing impairment', 'Abnormal tricuspid valve morphology', 'Depressed nasal bridge', 'Strabismus', 'Downslanted palpebral fissures', 'Downslanted palpebral fissures', 'Downslanted palpebral fissures', 'Anteverted nares', 'Anteverted nares', 'Broad nasal tip', 'Pes planus', 'Pes planus', 'Wide nose', 'Wide nose', 'Wide nose', 'Protruding ear', 'Protruding ear', 'Cataract', 'Telecanthus', 'Long foot', 'Hypoplastic fingernail', 'Hyperconvex fingernails', 'Hyperconvex fingernails', 'Prominent forehead', 'Prominent forehead', 'Thick eyebrow']",20,0,20
['PDEA2'],[],0,0,0
['AIP-3'],[],0,0,0
['CD_antigen=CD339'],[],0,0,0
['POLN'],[],0,0,0
['2.1.2.3'],[],0,0,0
['DPDE1'],[],0,0,0
['CD_antigen=CD11a'],[],0,0,0
['Multidrug and toxin extrusion protein 1'],[],0,0,0
['MYCN'],"['Intellectual disability, mild', 'Ataxia', 'Intellectual disability', 'Intellectual disability', 'Gastrointestinal atresia', 'Gastrointestinal atresia', 'Tracheoesophageal fistula', 'Renal insufficiency', 'Horseshoe kidney', 'Abnormality of the kidney', 'Vesicoureteral reflux', 'Specific learning disability', 'Specific learning disability', 'Autosomal dominant inheritance', 'Myoclonus', 'Bone pain', 'Increased circulating lactate dehydrogenase concentration', 'Subcutaneous nodule', 'Nephritis', 'Hydronephrosis', 'Pathologic fracture', 'Renal dysplasia', 'Lymphadenopathy', 'Anal atresia', 'Esophageal atresia', 'Esophageal atresia', '4-5 toe syndactyly', '4-5 toe syndactyly', '2-3 toe syndactyly', '2-3 toe syndactyly', 'Chronic diarrhea', 'Elevated circulating catecholamine level', 'Respiratory distress', 'Tricuspid stenosis', 'Tricuspid stenosis', 'Spinal cord compression', 'Short middle phalanx of the 2nd finger', 'Opsoclonus', 'Horner syndrome', 'Congenital onset', 'Duodenal atresia', 'Duodenal atresia', 'Elevated urinary catecholamine level', 'Elevated urinary homovanillic acid', 'Elevated urinary vanillylmandelic acid', 'Anemic pallor', 'Short thumb', 'Short thumb', 'Clinodactyly of the 5th finger', 'Short middle phalanx of the 5th finger', 'Fever', 'Abnormality of coagulation', 'Anemia', 'Abnormal facial shape', 'Short stature', 'Antalgic gait', 'Neoplasm of the nervous system', 'Neuroblastoma', 'Short palpebral fissure', 'Short palpebral fissure', 'Irritability', 'Hypertension', 'Abdominal distention', 'Increased circulating ferritin concentration', 'Tricuspid atresia', 'Tricuspid atresia', 'Multiple muscular ventricular septal defects', 'Interrupted aortic arch', 'Interrupted aortic arch', 'Narrow palpebral fissure', 'Short middle phalanx of finger', 'Short middle phalanx of finger', 'Epicanthus', 'Periorbital ecchymosis with tarsal plate sparing', 'Prominent occiput', 'Small anterior fontanelle', 'Microcephaly', 'Microcephaly', 'High palate', 'Polyhydramnios', 'Everted lower lip vermilion', 'Decreased fetal movement', 'Abdominal mass', 'Fatigue', 'Jejunal atresia', 'Jejunal atresia', 'Vocal cord paralysis', 'Hearing impairment', 'Posteriorly rotated ears', 'Low-set ears', 'Micrognathia', 'Micrognathia', 'Patent ductus arteriosus', 'Patent ductus arteriosus', 'Triangular face', 'Facial asymmetry', 'Ventricular septal defect', 'Abnormal heart morphology', 'Sensorineural hearing impairment', 'Annular pancreas', 'Conductive hearing impairment', 'Thick vermilion border', 'Anteverted nares', 'Toe syndactyly', 'Depressed nasal tip', 'Asplenia', 'Polysplenia', 'Accessory spleen', 'Wide nasal bridge', 'Proptosis', 'Weight loss', 'Short toe', 'Upslanted palpebral fissure', 'Blepharophimosis', 'Abnormal bleeding', 'Thrombocytopenia']",36,0,36
['Transient receptor potential channel mucolipin 2'],[],0,0,0
['Leukocyte receptor cluster member 7'],[],0,0,0
['Myosin-9'],[],0,0,0
['AT1 receptor'],[],0,0,0
['MAGL'],[],0,0,0
['T-cell protein-tyrosine phosphatase'],[],0,0,0
['Inhibitor of differentiation 1'],[],0,0,0
['Proteasome 26S subunit ATPase 2'],[],0,0,0
['P2Y8'],[],0,0,0
['Protein 569272'],[],0,0,0
['APX'],[],0,0,0
"['Glycogen [starch] synthase, muscle']",[],0,0,0
['p70 NK receptor CL-5'],[],0,0,0
['TNS3'],[],0,0,0
['Synonyms=KIAA0999'],[],0,0,0
['NC-NOS'],[],0,0,0
['FMN adenylyltransferase'],[],0,0,0
['p41-ARC'],[],0,0,0
['Kalinin subunit gamma'],[],0,0,0
['ATP1A4'],[],0,0,0
['2.7.1.11'],[],0,0,0
['nPKC-eta'],[],0,0,0
['2.3.1.51'],[],0,0,0
['MNBH'],[],0,0,0
['2.7.1.60'],[],0,0,0
['DMTase'],[],0,0,0
['C5a anaphylatoxin chemotactic receptor 2'],[],0,0,0
['E16'],[],0,0,0
['AP-2 complex subunit alpha-1'],[],0,0,0
['1.14.13.-'],[],0,0,0
"['Cytochrome c1, heme protein, mitochondrial']",[],0,0,0
['ADRA2L2'],[],0,0,0
['Ally of AML-1 and LEF-1'],[],0,0,0
['UBCH6'],[],0,0,0
['CCNE1'],[],0,0,0
['G-protein coupled receptor 116'],[],0,0,0
['UDPGT 2A3'],[],0,0,0
['HBGFR'],[],0,0,0
['G-protein coupled receptor 65'],[],0,0,0
['Histone deacetylase 6'],[],0,0,0
['OTK4'],[],0,0,0
['Gamma-ENaC'],[],0,0,0
['KMT4'],[],0,0,0
['Mammalian target of rapamycin'],[],0,0,0
['DCP1'],[],0,0,0
['OXTR'],[],0,0,0
['Lysine-specific demethylase 4E'],[],0,0,0
['CCK25'],[],0,0,0
['KLK12'],[],0,0,0
['CPSD'],[],0,0,0
['SPO'],[],0,0,0
['ERK-5'],[],0,0,0
['HEPC'],[],0,0,0
['DNA-binding factor KBF1'],[],0,0,0
['CD_antigen=CD275'],[],0,0,0
['Acyl-CoA retinol O-fatty-acyltransferase'],[],0,0,0
['CD_antigen=CD246'],[],0,0,0
['UGT8'],[],0,0,0
['ATP-dependent RNA helicase p54'],[],0,0,0
['Synonyms=HIST2H3A'],[],0,0,0
['Hexosaminidase domain-containing protein'],[],0,0,0
['CDw156'],[],0,0,0
['KIAA1607'],[],0,0,0
['hAxin'],[],0,0,0
['Squalene monooxygenase'],[],0,0,0
['Lipid droplet-binding protein CGI-58'],[],0,0,0
['hNotch4'],[],0,0,0
['CD Man-6-P receptor'],[],0,0,0
['YSK1'],[],0,0,0
['ROCK1'],[],0,0,0
['STK12 GN  '],[],0,0,0
['Prolyl dipeptidase DPP8'],[],0,0,0
['Estrogen receptor-like 1'],[],0,0,0
['Never in mitosis A-related kinase 7'],[],0,0,0
['Synonyms=ACSVL4'],[],0,0,0
['Potassium voltage-gated channel subfamily A member 1'],[],0,0,0
['Histone deacetylase 9'],[],0,0,0
['N-sulfoglucosamine-3-sulfatase'],[],0,0,0
['KIAA0190'],[],0,0,0
['P2RY8'],[],0,0,0
['SCP-2/3-oxoacyl-CoA thiolase'],[],0,0,0
['Very long-chain acyl-CoA synthetase'],[],0,0,0
['Sterol regulatory element-binding transcription factor 1'],[],0,0,0
['Fucosyltransferase 7'],[],0,0,0
['Indolethylamine N-methyltransferase'],[],0,0,0
['hB1F'],[],0,0,0
['Presenilin-like protein 2'],[],0,0,0
['CACNA2D3'],[],0,0,0
['NAPRT'],[],0,0,0
['Chaperonin 60'],[],0,0,0
['Degenerative spermatocyte homolog 1'],[],0,0,0
['LEF1'],[],0,0,0
['IGF-I receptor'],[],0,0,0
['PKU-alpha'],[],0,0,0
['TRAF-interacting protein'],[],0,0,0
['Deubiquitinating enzyme 17-like protein 2'],[],0,0,0
['OATP-14'],[],0,0,0
['Mi2-beta'],[],0,0,0
['LIN28B'],"['Ataxia', 'Myoclonus', 'Bone pain', 'Increased circulating lactate dehydrogenase concentration', 'Subcutaneous nodule', 'Pathologic fracture', 'Lymphadenopathy', 'Chronic diarrhea', 'Elevated circulating catecholamine level', 'Respiratory distress', 'Spinal cord compression', 'Opsoclonus', 'Horner syndrome', 'Elevated urinary catecholamine level', 'Elevated urinary homovanillic acid', 'Elevated urinary vanillylmandelic acid', 'Anemic pallor', 'Fever', 'Abnormality of coagulation', 'Anemia', 'Antalgic gait', 'Neoplasm of the nervous system', 'Neuroblastoma', 'Irritability', 'Hypertension', 'Abdominal distention', 'Increased circulating ferritin concentration', 'Periorbital ecchymosis with tarsal plate sparing', 'Abdominal mass', 'Fatigue', 'Proptosis', 'Weight loss', 'Abnormal bleeding', 'Thrombocytopenia']",31,0,31
['2.5.1.-'],[],0,0,0
['Aryl sulfotransferase 2'],[],0,0,0
['Frizzled-9'],[],0,0,0
['Synonyms=CACH1'],[],0,0,0
['EAA5'],[],0,0,0
['ANX2LG'],[],0,0,0
['RNF205'],[],0,0,0
['Ca(2+)-independent N-acyltransferase'],[],0,0,0
['AH-related protein'],[],0,0,0
['Protein Mdm4'],[],0,0,0
['Cell surface A33 antigen'],[],0,0,0
['STEAP'],[],0,0,0
['MAPKK 3'],[],0,0,0
['Voltage-gated potassium channel subunit Kv6.4'],[],0,0,0
['5-hydroxytryptamine receptor 3A'],[],0,0,0
['BCL2L2'],[],0,0,0
['La ribonucleoprotein domain family member 7'],[],0,0,0
['Glucose-induced degradation protein 4 homolog'],[],0,0,0
['Synonyms=PAST'],[],0,0,0
['TSP'],[],0,0,0
['Eukaryotic translation initiation factor 2-alpha kinase 1'],[],0,0,0
['Inositol-trisphosphate 3-kinase B'],[],0,0,0
['GEMIN4'],"['Poor head control', 'Calcinosis', 'Seizure', 'Hypotonia', 'Hyporeflexia', 'Spasticity', 'Inability to walk', 'Renal hypoplasia', 'Congenital hip dislocation', 'Epiphyseal dysplasia', 'Absent speech', 'Autosomal recessive inheritance', 'Nephrocalcinosis', 'Recurrent lower respiratory tract infections', 'Hydronephrosis', 'Aminoaciduria', 'Gastroesophageal reflux', 'Dysphagia', 'Delayed CNS myelination', 'Infantile onset', 'Feeding difficulties', 'Inferior cerebellar vermis hypoplasia', 'Optic atrophy', 'Renal artery stenosis', 'Severe global developmental delay', 'Hypertension', 'Osteopenia', 'Microcephaly', 'High palate', 'Growth delay', 'Hyponatremia', 'Hypokalemia', 'Hypocalcemia', 'Micrognathia', 'Persistent head lag', 'Brain atrophy', 'Splenomegaly', 'Cataract']",0,0,0
['NAPRTase'],[],0,0,0
['NTM1A'],[],0,0,0
['TARBP1'],[],0,0,0
['RABGGTB'],[],0,0,0
['iPABP'],[],0,0,0
['Serpin F1'],[],0,0,0
['Calpain small subunit 1'],[],0,0,0
['FGAR-AT'],[],0,0,0
['IKCa1'],[],0,0,0
['Protein-tyrosine phosphatase of regenerating liver 1'],[],0,0,0
['MARS2'],"['Spastic ataxia', 'Spastic ataxia', 'Syndactyly', 'Spastic dysarthria', 'Bilateral sensorineural hearing impairment', 'Generalized hypotonia', 'Cerebellar atrophy', 'Cerebellar atrophy', 'Intellectual disability, mild', 'Ataxia', 'Dysarthria', 'Global developmental delay', 'Spasticity', 'Spasticity', 'Loss of ambulation', 'Hyperreflexia', 'Hyperreflexia', 'Dystonia', 'Dystonia', 'Neurogenic bladder', 'Urinary urgency', 'Urinary urgency', 'Autosomal recessive inheritance', 'Autosomal recessive inheritance', 'Dysmetria', 'Dysmetria', 'Scoliosis', 'Scoliosis', 'Cerebellar hypoplasia', 'Hypoplasia of the pons', 'Cognitive impairment', 'Gait ataxia', 'Gait ataxia', 'Progressive cerebellar ataxia', 'Cerebral atrophy', 'Cerebral cortical atrophy', 'Cerebral cortical atrophy', 'Ventriculomegaly', 'Middle age onset', 'Congenital onset', 'Feeding difficulties', 'Aspiration pneumonia', 'Leukoencephalopathy', 'Leukoencephalopathy', 'Juvenile onset', 'Cerebellar vermis atrophy', 'Horizontal nystagmus', 'Horizontal nystagmus', 'Short stature', 'Pectus carinatum', 'Childhood onset', 'Young adult onset', 'Intraventricular hemorrhage', 'Short nose', 'Reduced circulating growth hormone concentration', 'Failure to thrive', 'Hearing impairment', 'Low-set ears', 'Long philtrum', 'Smooth philtrum', 'Hypertelorism', 'Sensorineural hearing impairment', 'Depressed nasal bridge', 'Anteverted nares', 'Chronic constipation', 'Wide nasal bridge', 'Prominent forehead']",353,0,353
['HNRPA2B1'],[],0,0,0
['G-protein coupled receptor HM74B'],[],0,0,0
['Synonyms=ITSN'],[],0,0,0
['Histamine N-methyltransferase'],[],0,0,0
['2.3.1.39'],[],0,0,0
['LRAT'],"['Constriction of peripheral visual field', 'Severely reduced visual acuity', 'Abnormal macular morphology', 'Macular coloboma', 'Seizure', 'Hypotonia', 'Intellectual disability', 'Intellectual disability', 'Global developmental delay', 'Falls', 'Hyperreflexia', 'Abnormal testis morphology', 'Autosomal recessive inheritance', 'Autosomal recessive inheritance', 'Autosomal dominant inheritance', 'Hypogonadism', 'Progressive night blindness', 'Reduced visual acuity', 'Reduced visual acuity', 'X-linked recessive inheritance', 'Type II diabetes mellitus', 'Encephalocele', 'Postural instability', 'Abnormality of neuronal migration', 'Unsteady gait', 'Aplasia/Hypoplasia of the cerebellar vermis', 'Nystagmus', 'Nystagmus', 'Nystagmus', 'Nystagmus', 'Optic atrophy', 'Blindness', 'Photophobia', 'Photophobia', 'Photophobia', 'Blurred vision', 'Ophthalmoplegia', 'Mild global developmental delay', 'Nyctalopia', 'Nyctalopia', 'Nyctalopia', 'Nyctalopia', 'Decreased light- and dark-adapted electroretinogram amplitude', 'Hemiplegia/hemiparesis', 'Abnormal corneal endothelium morphology', 'Posterior synechiae of the anterior chamber', 'Abnormal optic disc morphology', 'Photopsia', 'Hyperinsulinemia', 'Pallor', 'Abnormal retinal vascular morphology', 'Retinal pigment epithelial atrophy', 'Abnormality of retinal pigmentation', 'Abnormality of retinal pigmentation', 'Abnormality of retinal pigmentation', 'Granular macular appearance', 'Posterior subcapsular cataract', 'Posterior subcapsular cataract', 'Bone spicule pigmentation of the retina', 'Bone spicule pigmentation of the retina', 'Abnormal pupillary light reflex', 'Rhegmatogenous retinal detachment', 'Obesity', 'Attenuation of retinal blood vessels', 'Attenuation of retinal blood vessels', 'Retinal pigment epithelial mottling', 'Congenital blindness', 'Hearing impairment', 'Abnormality of fundus pigmentation', 'Peripheral visual field loss', 'Peripheral visual field loss', 'Sensorineural hearing impairment', 'Conductive hearing impairment', 'Delayed early-childhood social milestone development', 'Optic disc drusen', 'Cataract', 'Rod-cone dystrophy', 'Rod-cone dystrophy', 'Abnormal electroretinogram', 'Abnormal electroretinogram', 'Visual impairment', 'Visual impairment', 'Glaucoma', 'Exotropia', 'Keratoconus', 'Keratoconus', 'Retinal dystrophy', 'Retinal detachment', 'Chorioretinal atrophy', 'Undetectable electroretinogram', 'Undetectable electroretinogram', 'Color vision defect', 'Retinal degeneration', 'Retinal degeneration', 'Optic disc pallor', 'Optic disc pallor', 'Optic disc pallor', 'Myopia']",5,0,5
['ACVRLK3'],[],0,0,0
['Calvasculin'],[],0,0,0
['TYRO1'],[],0,0,0
['gp80'],[],0,0,0
['Insulin receptor-related protein beta chain'],[],0,0,0
['[histone H3]-trimethyl-L-lysine(36) demethylase 4A'],[],0,0,0
['VDAC-1'],[],0,0,0
['Ventricular myosin light chain 1'],[],0,0,0
['HGCN5'],[],0,0,0
['USP14'],[],0,0,0
['Arachidonate 15-lipoxygenase B'],[],0,0,0
['LPA receptor 6'],[],0,0,0
['GPR149'],[],0,0,0
['SHIP1'],[],0,0,0
['60S ribosomal protein L35a'],[],0,0,0
['Alpha-N-acetylgalactosaminidase'],[],0,0,0
['UDP-glucuronosyltransferase 1-H'],[],0,0,0
['BH3-interacting domain death agonist p15'],[],0,0,0
['3.4.24.84'],[],0,0,0
['PEPN'],[],0,0,0
['Thymidylate synthase'],[],0,0,0
['Reduced folate carrier protein'],[],0,0,0
['CBX4'],[],0,0,0
['Long-chain fatty acid transport protein 1'],[],0,0,0
['Aurora kinase B'],[],0,0,0
['GLCLR'],[],0,0,0
['Thioredoxin-dependent peroxiredoxin 2'],[],0,0,0
['RBBP7'],[],0,0,0
['AICD-59'],[],0,0,0
"['Solute carrier family 2, facilitated glucose transporter member 14']",[],0,0,0
['PRMT7'],"['Brachydactyly', 'Brachydactyly', 'Narrow naris', 'Underdeveloped supraorbital ridges', 'Intellectual disability, severe', 'Short distal phalanx of finger', 'Intellectual disability, mild', 'Intellectual disability, mild', 'Seizure', 'Hypotonia', 'Intellectual disability', 'Intellectual disability', 'Global developmental delay', 'Global developmental delay', 'Focal-onset seizure', 'Renal hypoplasia', 'Renal hypoplasia', 'Vesicoureteral reflux', 'Cryptorchidism', 'Specific learning disability', 'Recurrent urinary tract infections', 'Autosomal recessive inheritance', 'Infantile muscular hypotonia', 'Gastroesophageal reflux', 'Rectal prolapse', 'Short fourth metatarsal', 'Redundant neck skin', 'Frontal bossing', 'Hypoplasia of the corpus callosum', 'Tethered cord', 'Delayed CNS myelination', 'Sleep apnea', 'Congenital onset', 'Feeding difficulties', 'Feeding difficulties', 'Thick corpus callosum', 'Intellectual disability, moderate', 'Atonic seizure', 'Short metatarsal', 'Dacryocystitis', 'Short metacarpal', 'Severe global developmental delay', 'Frontal hirsutism', 'Dental crowding', 'Abnormal facial shape', 'Short stature', 'Patellar hypoplasia', 'Delayed ability to walk', 'Abnormal conus terminalis morphology', 'Short palpebral fissure', 'Short attention span', 'Delayed speech and language development', 'Short nose', 'Abnormality of the skeletal system', 'Pseudohypoparathyroidism', 'Pseudohypoparathyroidism', 'Abnormality of the endocrine system', 'Soft skin', 'Eczematoid dermatitis', 'Eczematoid dermatitis', 'Sacral dimple', 'Sparse hair', 'Epicanthus', 'Retrognathia', 'Retrognathia', 'Malar flattening', 'Microcephaly', 'Microcephaly', 'Brachycephaly', 'High palate', 'Gingival overgrowth', 'Polyhydramnios', 'Thin vermilion border', 'Thin vermilion border', 'Failure to thrive', 'Intrauterine growth retardation', 'Obesity', 'Obesity', 'Preauricular skin tag', 'Preauricular skin tag', 'Flat face', 'Laryngomalacia', 'Laryngomalacia', 'Long philtrum', 'Long philtrum', 'Hypertelorism', 'Hypertelorism', 'Cubitus valgus', 'Typical absence seizure', 'Sensorineural hearing impairment', 'Depressed nasal bridge', 'Astigmatism', 'Strabismus', 'Strabismus', 'Deeply set eye', 'Deeply set eye', 'Anteverted nares', 'Anteverted nares', 'Broad nasal tip', 'Depressed nasal ridge', 'Short neck', 'Short neck', 'Abnormal brain morphology', 'Wide nasal bridge', 'Ptosis', 'Blue sclerae', 'Coloboma', 'Optic disc coloboma', 'Prominent forehead', 'Prominent forehead']",4,0,4
['EGFL7'],[],0,0,0
['Cyanamide hydratase CA2'],[],0,0,0
['Membrane lipid desaturase'],[],0,0,0
['TGase-3'],[],0,0,0
['CD_antigen=CD223'],[],0,0,0
['SAPS2'],[],0,0,0
['Pristanoyl-CoA oxidase'],[],0,0,0
['Acyltransferase-like 2'],[],0,0,0
['MASP-1'],[],0,0,0
