Omics_type,Sequencing_type
[],"['ATAC-seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']"
[],"['ATAC-seq', 'ChIP-Seq', 'RNA-Seq']"
[],"['ATAC-seq', 'ChIP-Seq']"
[],"['ATAC-seq', 'Hi-C', 'OTHER']"
[],"['ATAC-seq', 'OTHER', 'RIP-Seq', 'RNA-Seq', 'miRNA-Seq', 'ssRNA-seq']"
[],"['ATAC-seq', 'OTHER', 'RNA-Seq']"
[],"['ATAC-seq', 'OTHER']"
[],"['ATAC-seq', 'RNA-Seq', 'miRNA-Seq']"
[],"['ATAC-seq', 'RNA-Seq']"
[],"['Bisulfite-Seq', 'ChIP-Seq', 'Hi-C', 'OTHER', 'RNA-Seq']"
[],"['Bisulfite-Seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']"
[],"['Bisulfite-Seq', 'ChIP-Seq', 'OTHER']"
[],"['Bisulfite-Seq', 'ChIP-Seq', 'RNA-Seq']"
[],"['Bisulfite-Seq', 'ChIP-Seq']"
[],"['Bisulfite-Seq', 'MNase-Seq', 'RNA-Seq']"
[],"['Bisulfite-Seq', 'OTHER', 'RNA-Seq']"
[],"['Bisulfite-Seq', 'OTHER']"
[],"['Bisulfite-Seq', 'RNA-Seq']"
[],"['ChIA-PET', 'ChIP-Seq', 'OTHER', 'RNA-Seq']"
[],"['ChIP-Seq', 'Hi-C', 'OTHER', 'RIP-Seq', 'RNA-Seq']"
[],"['ChIP-Seq', 'Hi-C', 'OTHER', 'RNA-Seq']"
[],"['ChIP-Seq', 'Hi-C', 'RNA-Seq']"
[],"['ChIP-Seq', 'OTHER', 'RNA-Seq', 'WGS']"
[],"['ChIP-Seq', 'OTHER', 'RNA-Seq']"
[],"['ChIP-Seq', 'OTHER']"
[],"['ChIP-Seq', 'RIP-Seq', 'RNA-Seq']"
[],"['ChIP-Seq', 'RIP-Seq']"
[],"['ChIP-Seq', 'RNA-Seq']"
[],"['DNase-Hypersensitivity', 'RNA-Seq']"
[],"['FAIRE-seq', 'RNA-Seq']"
[],"['Hi-C', 'OTHER', 'RNA-Seq']"
[],"['Hi-C', 'OTHER']"
[],"['Hi-C', 'RNA-Seq']"
[],"['MNase-Seq', 'OTHER', 'RNA-Seq']"
[],"['MeDIP-Seq', 'RNA-Seq']"
[],"['OTHER', 'RIP-Seq', 'RNA-Seq']"
[],"['OTHER', 'RIP-Seq']"
[],"['OTHER', 'RNA-Seq', 'miRNA-Seq']"
[],"['OTHER', 'RNA-Seq', 'ncRNA-Seq']"
[],"['OTHER', 'RNA-Seq']"
[],"['OTHER', 'ssRNA-seq']"
[],"['RIP-Seq', 'RNA-Seq', 'ncRNA-Seq']"
[],"['RIP-Seq', 'RNA-Seq']"
[],"['RIP-Seq', 'ncRNA-Seq']"
[],"['RNA-Seq', 'miRNA-Seq']"
[],"['RNA-Seq', 'ncRNA-Seq']"
[],"['RNA-Seq', 'ssRNA-seq']"
[],[]
[],ncRNA-Seq
[],ssRNA-seq
[],
