Omics_type,Sequencing_type,Sequencing_library,Omics_type_norm,Assay_type_norm,Sequencing_library_norm,Annotation
['Raw sequence reads'],OTHER,polyA RNA,Transcriptomics,Other,,
['Raw sequence reads'],RNA-Seq,polyA RNA,Transcriptomics,RNA-Seq,,
['Raw sequence reads'],RNA-Seq,total RNA,Transcriptomics,RNA-Seq,,
['Raw sequence reads'],"['ChIP-Seq', 'RIP-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
['Raw sequence reads'],"['ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
['Raw sequence reads'],"['Hi-C', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,Hi-C assay,,"indicated by ""Hi-c"""
['Raw sequence reads'],"['OTHER', 'RNA-Seq']","['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Raw sequence reads'],"['RIP-Seq', 'RNA-Seq']","['polyA RNA', 'total RNA']",Epigenomics,RNA immunoprecipitation,,
['Raw sequence reads'],,total RNA,Transcriptomics,Other,,
"['Raw sequence reads, Epigenomics']","['ATAC-seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ATAC-seq,,"indicated by ""epigenoimcs"""
"['Raw sequence reads, Genome sequencing, Epigenomics, Transcriptome or Gene expression, Other']","['ATAC-seq', 'ChIP-Seq']",genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""epigenoimcs"""
"['Raw sequence reads, Genome sequencing, Transcriptome or Gene expression']",RNA-Seq,total RNA,Transcriptomics,RNA-Seq,total RNA,
"['Raw sequence reads, Targeted Locus (Loci), Transcriptome or Gene expression']",RNA-Seq,polyA RNA,Transcriptomics,RNA-Seq,polyA RNA,
"['Raw sequence reads, Transcriptome or Gene expression']",OTHER,polyA RNA,Transcriptomics,Other,,
"['Raw sequence reads, Transcriptome or Gene expression']",RNA-Seq,polyA RNA,Transcriptomics,RNA-Seq,polyA RNA,
['Targeted Locus (Loci)'],RNA-Seq,total RNA,Transcriptomics,RNA-Seq,total RNA,
['Transcriptome or Gene expression'],ATAC-seq,genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
['Transcriptome or Gene expression'],Bisulfite-Seq,genomic DNA,Epigenomics,Bisulfite-seq,,"indicated by ""bisulfite-seq"""
['Transcriptome or Gene expression'],Hi-C,genomic DNA,Epigenomics,Hi-C assay,,"indicated by ""Hi-c"""
['Transcriptome or Gene expression'],OTHER,"['polyA RNA', 'protein']",Transcriptomics,Other,,
