Omics_type,Sequencing_type,Sequencing_library
['Transcriptome or Gene expression'],"['Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['other', 'total RNA']"
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['polyA RNA', 'protein']"
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['polyA RNA', 'total RNA']"
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['protein', 'total RNA']"
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']",total RNA
['Transcriptome or Gene expression'],"['RIP-Seq', 'RNA-Seq', 'ncRNA-Seq']","['polyA RNA', 'total RNA']"
['Transcriptome or Gene expression'],"['RIP-Seq', 'RNA-Seq']","['polyA RNA', 'total RNA']"
['Transcriptome or Gene expression'],"['RIP-Seq', 'RNA-Seq']",total RNA
['Transcriptome or Gene expression'],"['RNA-Seq', 'miRNA-Seq']","['polyA RNA', 'total RNA']"
['Transcriptome or Gene expression'],"['RNA-Seq', 'miRNA-Seq']",total RNA
['Transcriptome or Gene expression'],"['RNA-Seq', 'ncRNA-Seq']","['polyA RNA', 'total RNA']"
['Transcriptome or Gene expression'],"['RNA-Seq', 'ncRNA-Seq']",total RNA
['Transcriptome or Gene expression'],"['RNA-Seq', 'ssRNA-seq']",total RNA
['Transcriptome or Gene expression'],[],[]
['Transcriptome or Gene expression'],miRNA-Seq,other
['Transcriptome or Gene expression'],miRNA-Seq,polyA RNA
['Transcriptome or Gene expression'],miRNA-Seq,total RNA
['Transcriptome or Gene expression'],ncRNA-Seq,"['cytoplasmic RNA', 'nuclear RNA', 'total RNA']"
['Transcriptome or Gene expression'],ncRNA-Seq,other
['Transcriptome or Gene expression'],ncRNA-Seq,total RNA
['Transcriptome or Gene expression'],ssRNA-seq,polyA RNA
['Transcriptome or Gene expression'],ssRNA-seq,total RNA
['Transcriptome or Gene expression'],,"['cytoplasmic RNA', 'total RNA']"
['Transcriptome or Gene expression'],,"['genomic DNA', 'total RNA']"
['Transcriptome or Gene expression'],,"['other', 'total RNA']"
['Transcriptome or Gene expression'],,"['polyA RNA', 'total RNA']"
['Transcriptome or Gene expression'],,genomic DNA
['Transcriptome or Gene expression'],,other
['Transcriptome or Gene expression'],,polyA RNA
['Transcriptome or Gene expression'],,total RNA
['Variation'],ChIP-Seq,genomic DNA
['Variation'],OTHER,"['genomic DNA', 'other']"
['Variation'],OTHER,genomic DNA
['Variation'],RNA-Seq,total RNA
['Variation'],,"['genomic DNA', 'nuclear RNA']"
['Variation'],,genomic DNA
[],ATAC-seq,genomic DNA
[],Bisulfite-Seq,genomic DNA
[],ChIP-Seq,"['genomic DNA', 'polyA RNA']"
[],ChIP-Seq,genomic DNA
[],DNase-Hypersensitivity,genomic DNA
[],Hi-C,genomic DNA
[],OTHER,"['genomic DNA', 'other', 'polyA RNA']"
[],OTHER,"['genomic DNA', 'other']"
[],OTHER,"['genomic DNA', 'polyA RNA', 'protein']"
[],OTHER,"['genomic DNA', 'polyA RNA']"
[],OTHER,"['genomic DNA', 'total RNA']"
[],OTHER,"['other', 'polyA RNA', 'protein']"
[],OTHER,"['other', 'polyA RNA']"
[],OTHER,"['other', 'total RNA']"
[],OTHER,"['polyA RNA', 'protein']"
[],OTHER,"['polyA RNA', 'total RNA']"
[],OTHER,"['protein', 'total RNA']"
