,SID,Source Name,Registry Identifier,CID
98,53786838,Comparative Toxicogenomics Database (CTD),C004659,10522
99,53786839,Comparative Toxicogenomics Database (CTD),D005702,9651
100,53786840,Comparative Toxicogenomics Database (CTD),C059265,55784
101,53786841,Comparative Toxicogenomics Database (CTD),C047246,5394
102,53786842,Comparative Toxicogenomics Database (CTD),D005984,3487
103,53786843,Comparative Toxicogenomics Database (CTD),D005296,
104,53786844,Comparative Toxicogenomics Database (CTD),C517827,154083
105,53786845,Comparative Toxicogenomics Database (CTD),C059354,5376979
106,53786846,Comparative Toxicogenomics Database (CTD),C059539,9829523
107,53786847,Comparative Toxicogenomics Database (CTD),C035965,5372798
108,53786848,Comparative Toxicogenomics Database (CTD),D017671,
109,53786849,Comparative Toxicogenomics Database (CTD),D017632,25477
110,53786850,Comparative Toxicogenomics Database (CTD),C403051,9831652
111,53786851,Comparative Toxicogenomics Database (CTD),D010938,
112,53786852,Comparative Toxicogenomics Database (CTD),C040534,727
113,53786853,Comparative Toxicogenomics Database (CTD),D017336,3957
114,53786854,Comparative Toxicogenomics Database (CTD),D016642,444
115,53786855,Comparative Toxicogenomics Database (CTD),D010882,5794
116,53786856,Comparative Toxicogenomics Database (CTD),C034192,3213
117,53786857,Comparative Toxicogenomics Database (CTD),D004206,3114
118,53786858,Comparative Toxicogenomics Database (CTD),D010646,5775
119,53786859,Comparative Toxicogenomics Database (CTD),C034534,114741
120,53786860,Comparative Toxicogenomics Database (CTD),C034524,46878490
121,53786861,Comparative Toxicogenomics Database (CTD),D003042,446220
122,53786862,Comparative Toxicogenomics Database (CTD),C057349,5283349
123,53786863,Comparative Toxicogenomics Database (CTD),C051786,4169
124,53786864,Comparative Toxicogenomics Database (CTD),D044950,
125,53786865,Comparative Toxicogenomics Database (CTD),C483845,10025649
126,53786866,Comparative Toxicogenomics Database (CTD),D020117,6917698
127,53786867,Comparative Toxicogenomics Database (CTD),C052920,104930
128,53786868,Comparative Toxicogenomics Database (CTD),C021183,4687
129,53786869,Comparative Toxicogenomics Database (CTD),C005274,442428
130,53786870,Comparative Toxicogenomics Database (CTD),C005238,9738
131,53786871,Comparative Toxicogenomics Database (CTD),D017313,5288209
132,53786872,Comparative Toxicogenomics Database (CTD),C011875,162166
133,53786873,Comparative Toxicogenomics Database (CTD),D005664,5323714
134,53786874,Comparative Toxicogenomics Database (CTD),D005231,
135,53786875,Comparative Toxicogenomics Database (CTD),C053081,444237
136,53786876,Comparative Toxicogenomics Database (CTD),C041288,12377
137,53786877,Comparative Toxicogenomics Database (CTD),D005445,3380
138,53786878,Comparative Toxicogenomics Database (CTD),C439060,2827646
139,53786879,Comparative Toxicogenomics Database (CTD),C006632,
140,53786880,Comparative Toxicogenomics Database (CTD),C456740,9930560
141,53786881,Comparative Toxicogenomics Database (CTD),C006253,5694
142,53786882,Comparative Toxicogenomics Database (CTD),D005395,
143,53786883,Comparative Toxicogenomics Database (CTD),C006593,11937
144,53786884,Comparative Toxicogenomics Database (CTD),C076588,105020
145,53786885,Comparative Toxicogenomics Database (CTD),C018511,4685
146,53786886,Comparative Toxicogenomics Database (CTD),C029876,7111
147,53786887,Comparative Toxicogenomics Database (CTD),C516138,11524144
148,53786888,Comparative Toxicogenomics Database (CTD),C040896,5462310
149,53786889,Comparative Toxicogenomics Database (CTD),D010634,4763
150,53786890,Comparative Toxicogenomics Database (CTD),C046782,1431
151,53786891,Comparative Toxicogenomics Database (CTD),D004010,8268
152,53786892,Comparative Toxicogenomics Database (CTD),C455846,91599
153,53786893,Comparative Toxicogenomics Database (CTD),C017803,27287
154,53786894,Comparative Toxicogenomics Database (CTD),C028676,34210
155,53786895,Comparative Toxicogenomics Database (CTD),D010131,4649
156,53786896,Comparative Toxicogenomics Database (CTD),C017557,121492971
157,53786897,Comparative Toxicogenomics Database (CTD),C018475,261
158,53786898,Comparative Toxicogenomics Database (CTD),C047437,107664
159,53786899,Comparative Toxicogenomics Database (CTD),C420023,9887834
160,53786900,Comparative Toxicogenomics Database (CTD),C517826,95170
161,53786901,Comparative Toxicogenomics Database (CTD),C059353,1890
162,53786902,Comparative Toxicogenomics Database (CTD),C006326,5311100
163,53786903,Comparative Toxicogenomics Database (CTD),C023538,637213
164,53786904,Comparative Toxicogenomics Database (CTD),C035314,7903
165,53786905,Comparative Toxicogenomics Database (CTD),C018613,439924
166,53786906,Comparative Toxicogenomics Database (CTD),C082290,14802
167,53786907,Comparative Toxicogenomics Database (CTD),C023036,9554
168,53786908,Comparative Toxicogenomics Database (CTD),D004448,3197
169,53786909,Comparative Toxicogenomics Database (CTD),C029659,
170,53786910,Comparative Toxicogenomics Database (CTD),C005359,65118
171,53786911,Comparative Toxicogenomics Database (CTD),D004000,
172,53786912,Comparative Toxicogenomics Database (CTD),D010695,6072
173,53786913,Comparative Toxicogenomics Database (CTD),D004642,3220
174,53786914,Comparative Toxicogenomics Database (CTD),D003603,
175,53786915,Comparative Toxicogenomics Database (CTD),C080122,1893
176,53786916,Comparative Toxicogenomics Database (CTD),C106335,134687197
177,53786917,Comparative Toxicogenomics Database (CTD),D010880,44237242
178,53786918,Comparative Toxicogenomics Database (CTD),C057348,5283324
179,53786919,Comparative Toxicogenomics Database (CTD),C010792,65157
180,53786920,Comparative Toxicogenomics Database (CTD),C027938,253881
181,53786921,Comparative Toxicogenomics Database (CTD),C058346,6385696
182,53786922,Comparative Toxicogenomics Database (CTD),C010327,3085092
183,53786923,Comparative Toxicogenomics Database (CTD),C004658,7812
184,53786924,Comparative Toxicogenomics Database (CTD),C100419,21080074
185,53786925,Comparative Toxicogenomics Database (CTD),C039537,115204
186,53786926,Comparative Toxicogenomics Database (CTD),D009388,4456
187,53786927,Comparative Toxicogenomics Database (CTD),C021112,17533
188,53786928,Comparative Toxicogenomics Database (CTD),D005934,16132283
189,53786929,Comparative Toxicogenomics Database (CTD),C023617,6439929
190,53786930,Comparative Toxicogenomics Database (CTD),D005480,3394
191,53786931,Comparative Toxicogenomics Database (CTD),D005469,9878
