,SID,Source Name,Registry Identifier,CID
3140,53789880,Comparative Toxicogenomics Database (CTD),C072313,56626462
3141,53789881,Comparative Toxicogenomics Database (CTD),C513529,
3142,53789882,Comparative Toxicogenomics Database (CTD),D001115,2230
3143,53789883,Comparative Toxicogenomics Database (CTD),D009627,4528
3144,53789884,Comparative Toxicogenomics Database (CTD),C056165,2214
3145,53789885,Comparative Toxicogenomics Database (CTD),D013311,29327
3146,53789886,Comparative Toxicogenomics Database (CTD),D013308,5298
3147,53789887,Comparative Toxicogenomics Database (CTD),C002302,14210
3148,53789888,Comparative Toxicogenomics Database (CTD),C090840,2099
3149,53789889,Comparative Toxicogenomics Database (CTD),C014843,7046
3150,53789890,Comparative Toxicogenomics Database (CTD),C025299,
3151,53789891,Comparative Toxicogenomics Database (CTD),C025223,31275
3152,53789892,Comparative Toxicogenomics Database (CTD),D012965,5234
3153,53789893,Comparative Toxicogenomics Database (CTD),C096920,177238
3154,53789894,Comparative Toxicogenomics Database (CTD),C404192,5469565
3155,53789895,Comparative Toxicogenomics Database (CTD),D019833,5280961
3156,53789896,Comparative Toxicogenomics Database (CTD),C049811,5281116
3157,53789897,Comparative Toxicogenomics Database (CTD),C050571,7449
3158,53789898,Comparative Toxicogenomics Database (CTD),C012771,7220
3159,53789899,Comparative Toxicogenomics Database (CTD),D012451,5144
3160,53789900,Comparative Toxicogenomics Database (CTD),C014794,5280531
3161,53789901,Comparative Toxicogenomics Database (CTD),D019297,1493
3162,53789902,Comparative Toxicogenomics Database (CTD),D001622,247
3163,53789903,Comparative Toxicogenomics Database (CTD),D013420,5329
3164,53789904,Comparative Toxicogenomics Database (CTD),D013988,65335
3165,53789905,Comparative Toxicogenomics Database (CTD),C121479,8572
3166,53789906,Comparative Toxicogenomics Database (CTD),C025687,119507
3167,53789907,Comparative Toxicogenomics Database (CTD),D000875,2202
3168,53789908,Comparative Toxicogenomics Database (CTD),C122062,384525
3169,53789909,Comparative Toxicogenomics Database (CTD),C105196,16130199
3170,53789910,Comparative Toxicogenomics Database (CTD),D002245,280
3171,53789911,Comparative Toxicogenomics Database (CTD),C501617,
3172,53789912,Comparative Toxicogenomics Database (CTD),C032078,366
3173,53789913,Comparative Toxicogenomics Database (CTD),C044297,1321
3174,53789914,Comparative Toxicogenomics Database (CTD),C073346,6439969
3175,53789915,Comparative Toxicogenomics Database (CTD),C026979,5462507
3176,53789916,Comparative Toxicogenomics Database (CTD),C014983,36324
3177,53789917,Comparative Toxicogenomics Database (CTD),C477197,10426229
3178,53789918,Comparative Toxicogenomics Database (CTD),D013849,16684434
3179,53789919,Comparative Toxicogenomics Database (CTD),C066512,56841630
3180,53789920,Comparative Toxicogenomics Database (CTD),C009687,312145
3181,53789921,Comparative Toxicogenomics Database (CTD),C049098,8560
3182,53789922,Comparative Toxicogenomics Database (CTD),C085514,5281703
3183,53789923,Comparative Toxicogenomics Database (CTD),D000082,1983
3184,53789924,Comparative Toxicogenomics Database (CTD),C007835,107848
3185,53789925,Comparative Toxicogenomics Database (CTD),D013881,5452
3186,53789926,Comparative Toxicogenomics Database (CTD),C494667,10426436
3187,53789927,Comparative Toxicogenomics Database (CTD),C494622,9905583
3188,53789928,Comparative Toxicogenomics Database (CTD),C049763,2685
3189,53789929,Comparative Toxicogenomics Database (CTD),C423185,166558
3190,53789930,Comparative Toxicogenomics Database (CTD),C501048,10429020
3191,53789931,Comparative Toxicogenomics Database (CTD),D014302,11045
3192,53789932,Comparative Toxicogenomics Database (CTD),C044462,12855889
3193,53789933,Comparative Toxicogenomics Database (CTD),C056424,3655
3194,53789934,Comparative Toxicogenomics Database (CTD),D009498,
3195,53789935,Comparative Toxicogenomics Database (CTD),C453902,9832179
3196,53789936,Comparative Toxicogenomics Database (CTD),D002997,2801
3197,53789937,Comparative Toxicogenomics Database (CTD),C038806,
3198,53789938,Comparative Toxicogenomics Database (CTD),D009151,10461
3199,53789939,Comparative Toxicogenomics Database (CTD),C016371,39562
3200,53789940,Comparative Toxicogenomics Database (CTD),D013739,6013
3201,53789941,Comparative Toxicogenomics Database (CTD),D014415,
3202,53789942,Comparative Toxicogenomics Database (CTD),C434003,5353431
3203,53789943,Comparative Toxicogenomics Database (CTD),D000639,11065
3204,53789944,Comparative Toxicogenomics Database (CTD),C050898,5464201
3205,53789945,Comparative Toxicogenomics Database (CTD),C416849,6536806
3206,53789946,Comparative Toxicogenomics Database (CTD),C493154,2826713
3207,53789947,Comparative Toxicogenomics Database (CTD),C084711,82148
3208,53789948,Comparative Toxicogenomics Database (CTD),C008161,15530
3209,53789949,Comparative Toxicogenomics Database (CTD),C061365,73675
3210,53789950,Comparative Toxicogenomics Database (CTD),C435023,102601612
3211,53789951,Comparative Toxicogenomics Database (CTD),D001498,2303
3212,53789952,Comparative Toxicogenomics Database (CTD),D013449,
3213,53789953,Comparative Toxicogenomics Database (CTD),D013963,
3214,53789954,Comparative Toxicogenomics Database (CTD),C061621,66589
3215,53789955,Comparative Toxicogenomics Database (CTD),C494355,6918281
3216,53789956,Comparative Toxicogenomics Database (CTD),D001647,24883735
3217,53789957,Comparative Toxicogenomics Database (CTD),D008078,
3218,53789958,Comparative Toxicogenomics Database (CTD),C001478,92180
3219,53789959,Comparative Toxicogenomics Database (CTD),C014970,7015
3220,53789960,Comparative Toxicogenomics Database (CTD),D008798,439230
3221,53789961,Comparative Toxicogenomics Database (CTD),C025643,39676
3222,53789962,Comparative Toxicogenomics Database (CTD),C007628,5281416
3223,53789963,Comparative Toxicogenomics Database (CTD),C032085,107973
3224,53789964,Comparative Toxicogenomics Database (CTD),C012740,235071
3225,53789965,Comparative Toxicogenomics Database (CTD),C012729,2207
3226,53789966,Comparative Toxicogenomics Database (CTD),D007650,3822
3227,53789967,Comparative Toxicogenomics Database (CTD),C475772,9929425
3228,53789968,Comparative Toxicogenomics Database (CTD),C012939,641683
3229,53789969,Comparative Toxicogenomics Database (CTD),D014238,6421
3230,53789970,Comparative Toxicogenomics Database (CTD),C027329,5280960
3231,53789971,Comparative Toxicogenomics Database (CTD),C014353,88638
3232,53789972,Comparative Toxicogenomics Database (CTD),C105260,8814
3233,53789973,Comparative Toxicogenomics Database (CTD),C008919,165067
3234,53789974,Comparative Toxicogenomics Database (CTD),C002591,246876
3235,53789975,Comparative Toxicogenomics Database (CTD),D014641,8468
3236,53789976,Comparative Toxicogenomics Database (CTD),C477388,
3237,53789977,Comparative Toxicogenomics Database (CTD),D004052,5921
3238,53789978,Comparative Toxicogenomics Database (CTD),C075809,6438587
3239,53789979,Comparative Toxicogenomics Database (CTD),D003620,6914273
3240,53789980,Comparative Toxicogenomics Database (CTD),D008825,4189
3241,53789981,Comparative Toxicogenomics Database (CTD),D014107,4427
3242,53789982,Comparative Toxicogenomics Database (CTD),C084012,6331148
3243,53789983,Comparative Toxicogenomics Database (CTD),D014975,5281243
3244,53789984,Comparative Toxicogenomics Database (CTD),C049864,441921
3245,53789985,Comparative Toxicogenomics Database (CTD),C091891,5281728
3246,53789986,Comparative Toxicogenomics Database (CTD),D000641,222
3247,53789987,Comparative Toxicogenomics Database (CTD),D019311,44259
3248,53789988,Comparative Toxicogenomics Database (CTD),C115174,204109
3249,53789989,Comparative Toxicogenomics Database (CTD),D000498,
3250,53789990,Comparative Toxicogenomics Database (CTD),D000448,2086
3251,53789991,Comparative Toxicogenomics Database (CTD),C037219,7047
3252,53789992,Comparative Toxicogenomics Database (CTD),C025205,1318
3253,53789993,Comparative Toxicogenomics Database (CTD),C031294,7964
3254,53789994,Comparative Toxicogenomics Database (CTD),C120793,5005498
3255,53789995,Comparative Toxicogenomics Database (CTD),C060942,443380
3256,53789996,Comparative Toxicogenomics Database (CTD),C507057,9916632
3257,53789997,Comparative Toxicogenomics Database (CTD),C090766,147525
3258,53789998,Comparative Toxicogenomics Database (CTD),C501648,
3259,53789999,Comparative Toxicogenomics Database (CTD),C061950,3538
3260,53790000,Comparative Toxicogenomics Database (CTD),C042533,5281107
3261,53790001,Comparative Toxicogenomics Database (CTD),C014758,10205
3262,53790002,Comparative Toxicogenomics Database (CTD),C514241,
3263,53790003,Comparative Toxicogenomics Database (CTD),C014153,34526
3264,53790004,Comparative Toxicogenomics Database (CTD),C054189,6184667
3265,53790005,Comparative Toxicogenomics Database (CTD),C095284,1456
3266,53790006,Comparative Toxicogenomics Database (CTD),C115647,656631
3267,53790007,Comparative Toxicogenomics Database (CTD),C007845,442793
3268,53790008,Comparative Toxicogenomics Database (CTD),C115058,86173
3269,53790009,Comparative Toxicogenomics Database (CTD),D013392,121494085
3270,53790010,Comparative Toxicogenomics Database (CTD),C502236,24901761
3271,53790011,Comparative Toxicogenomics Database (CTD),C073839,104974
3272,53790012,Comparative Toxicogenomics Database (CTD),D008315,10964
3273,53790013,Comparative Toxicogenomics Database (CTD),C043585,114976
3274,53790014,Comparative Toxicogenomics Database (CTD),C055512,56959
3275,53790015,Comparative Toxicogenomics Database (CTD),C031760,9322
3276,53790016,Comparative Toxicogenomics Database (CTD),C404397,387042
3277,53790017,Comparative Toxicogenomics Database (CTD),C083295,5281804
3278,53790018,Comparative Toxicogenomics Database (CTD),C095210,8404
3279,53790019,Comparative Toxicogenomics Database (CTD),C008876,452543
3280,53790020,Comparative Toxicogenomics Database (CTD),D006997,24341
3281,53790021,Comparative Toxicogenomics Database (CTD),D006585,2123
3282,53790022,Comparative Toxicogenomics Database (CTD),C061843,124990
3283,53790023,Comparative Toxicogenomics Database (CTD),D008784,9681
3284,53790024,Comparative Toxicogenomics Database (CTD),C480030,9866186
3285,53790025,Comparative Toxicogenomics Database (CTD),C066776,440071
3286,53790026,Comparative Toxicogenomics Database (CTD),D008741,4156
3287,53790027,Comparative Toxicogenomics Database (CTD),C002478,65149
3288,53790028,Comparative Toxicogenomics Database (CTD),C026423,5488186
3289,53790029,Comparative Toxicogenomics Database (CTD),C055793,1089
3290,53790030,Comparative Toxicogenomics Database (CTD),C073539,78160
3291,53790031,Comparative Toxicogenomics Database (CTD),C072105,5312122
3292,53790032,Comparative Toxicogenomics Database (CTD),D006533,3589
3293,53790033,Comparative Toxicogenomics Database (CTD),D012382,54682938
3294,53790034,Comparative Toxicogenomics Database (CTD),D002064,50224
3295,53790035,Comparative Toxicogenomics Database (CTD),C019264,
3296,53790036,Comparative Toxicogenomics Database (CTD),C014477,71414
3297,53790037,Comparative Toxicogenomics Database (CTD),C031556,10176262
3298,53790038,Comparative Toxicogenomics Database (CTD),D013015,66245
3299,53790039,Comparative Toxicogenomics Database (CTD),D000079,177
3300,53790040,Comparative Toxicogenomics Database (CTD),C117408,
3301,53790041,Comparative Toxicogenomics Database (CTD),C042986,3194
3302,53790042,Comparative Toxicogenomics Database (CTD),C109986,1598
3303,53790043,Comparative Toxicogenomics Database (CTD),D008274,5462224
3304,53790044,Comparative Toxicogenomics Database (CTD),D013395,5988
3305,53790045,Comparative Toxicogenomics Database (CTD),C048693,128862
3306,53790046,Comparative Toxicogenomics Database (CTD),D008749,5934
3307,53790047,Comparative Toxicogenomics Database (CTD),C097256,5745214
3308,53790048,Comparative Toxicogenomics Database (CTD),C072553,462382
3309,53790049,Comparative Toxicogenomics Database (CTD),D007476,
3310,53790050,Comparative Toxicogenomics Database (CTD),D007213,3715
3311,53790051,Comparative Toxicogenomics Database (CTD),D013866,2723601
3312,53790052,Comparative Toxicogenomics Database (CTD),C030358,3893
3313,53790053,Comparative Toxicogenomics Database (CTD),D006581,8370
3314,53790054,Comparative Toxicogenomics Database (CTD),C037565,22206
3315,53790055,Comparative Toxicogenomics Database (CTD),C073829,
3316,53790056,Comparative Toxicogenomics Database (CTD),D018750,3721046
3317,53790057,Comparative Toxicogenomics Database (CTD),D001555,
3318,53790058,Comparative Toxicogenomics Database (CTD),C097280,
3319,53790059,Comparative Toxicogenomics Database (CTD),C049375,520535
3320,53790060,Comparative Toxicogenomics Database (CTD),D001205,54670067
3321,53790061,Comparative Toxicogenomics Database (CTD),C037760,8333
3322,53790062,Comparative Toxicogenomics Database (CTD),C060836,4829
3323,53790063,Comparative Toxicogenomics Database (CTD),C030110,9887054
3324,53790064,Comparative Toxicogenomics Database (CTD),C487679,16042541
3325,53790065,Comparative Toxicogenomics Database (CTD),C120227,6918454
3326,53790066,Comparative Toxicogenomics Database (CTD),C019273,2286
3327,53790067,Comparative Toxicogenomics Database (CTD),D000535,5359268
3328,53790068,Comparative Toxicogenomics Database (CTD),D006051,454937
3329,53790069,Comparative Toxicogenomics Database (CTD),C506401,157920
3330,53790070,Comparative Toxicogenomics Database (CTD),D012110,5770
3331,53790071,Comparative Toxicogenomics Database (CTD),C115705,6422124
3332,53790072,Comparative Toxicogenomics Database (CTD),D006497,137699201
3333,53790073,Comparative Toxicogenomics Database (CTD),D006426,9399
3334,53790074,Comparative Toxicogenomics Database (CTD),D013754,
3335,53790075,Comparative Toxicogenomics Database (CTD),C007789,
3336,53790076,Comparative Toxicogenomics Database (CTD),C042033,
3337,53790077,Comparative Toxicogenomics Database (CTD),D011715,708857
3338,53790078,Comparative Toxicogenomics Database (CTD),C451426,213031
3339,53790079,Comparative Toxicogenomics Database (CTD),C024336,13297
3340,53790080,Comparative Toxicogenomics Database (CTD),C054474,6438330
3341,53790081,Comparative Toxicogenomics Database (CTD),C042431,107650
3342,53790082,Comparative Toxicogenomics Database (CTD),C498554,16040162
3343,53790083,Comparative Toxicogenomics Database (CTD),D007665,3827
3344,53790084,Comparative Toxicogenomics Database (CTD),C060142,5311309
3345,53790085,Comparative Toxicogenomics Database (CTD),C031763,7845
3346,53790086,Comparative Toxicogenomics Database (CTD),D001583,9228
3347,53790087,Comparative Toxicogenomics Database (CTD),C042140,3081439
3348,53790088,Comparative Toxicogenomics Database (CTD),D008550,896
3349,53790089,Comparative Toxicogenomics Database (CTD),C038092,135427136
3350,53790090,Comparative Toxicogenomics Database (CTD),D012172,638015
3351,53790091,Comparative Toxicogenomics Database (CTD),D000181,7855
3352,53790092,Comparative Toxicogenomics Database (CTD),C036676,62103
3353,53790093,Comparative Toxicogenomics Database (CTD),D011353,135408511
3354,53790094,Comparative Toxicogenomics Database (CTD),C055162,60606
3355,53790095,Comparative Toxicogenomics Database (CTD),D018906,
3356,53790096,Comparative Toxicogenomics Database (CTD),C071435,5311015
3357,53790097,Comparative Toxicogenomics Database (CTD),C433247,151170
3358,53790098,Comparative Toxicogenomics Database (CTD),D006072,3503
3359,53790099,Comparative Toxicogenomics Database (CTD),C013031,638276
3360,53790100,Comparative Toxicogenomics Database (CTD),C031390,6436082
3361,53790101,Comparative Toxicogenomics Database (CTD),D008726,5366546
3362,53790102,Comparative Toxicogenomics Database (CTD),C008216,10430
3363,53790103,Comparative Toxicogenomics Database (CTD),D013759,16078
3364,53790104,Comparative Toxicogenomics Database (CTD),C007517,3101
3365,53790105,Comparative Toxicogenomics Database (CTD),C007768,5280378
3366,53790106,Comparative Toxicogenomics Database (CTD),C037749,6025
3367,53790107,Comparative Toxicogenomics Database (CTD),D006062,
3368,53790108,Comparative Toxicogenomics Database (CTD),C065927,5282138
3369,53790109,Comparative Toxicogenomics Database (CTD),C109154,107933
3370,53790110,Comparative Toxicogenomics Database (CTD),C024836,980
3371,53790111,Comparative Toxicogenomics Database (CTD),C053429,56841828
3372,53790112,Comparative Toxicogenomics Database (CTD),C403894,6445537
3373,53790113,Comparative Toxicogenomics Database (CTD),C024098,76806
3374,53790114,Comparative Toxicogenomics Database (CTD),C474928,6538959
3375,53790115,Comparative Toxicogenomics Database (CTD),C002979,114835
3376,53790116,Comparative Toxicogenomics Database (CTD),C002950,31254
3377,53790117,Comparative Toxicogenomics Database (CTD),D008776,16923
3378,53790118,Comparative Toxicogenomics Database (CTD),C097284,6610341
3379,53790119,Comparative Toxicogenomics Database (CTD),C061844,124991
3380,53790120,Comparative Toxicogenomics Database (CTD),C048212,5328552
3381,53790121,Comparative Toxicogenomics Database (CTD),C078157,9571836
3382,53790122,Comparative Toxicogenomics Database (CTD),C405442,9842809
3383,53790123,Comparative Toxicogenomics Database (CTD),D008727,126941
3384,53790124,Comparative Toxicogenomics Database (CTD),D008999,5371562
3385,53790125,Comparative Toxicogenomics Database (CTD),C001059,32154
3386,53790126,Comparative Toxicogenomics Database (CTD),C013015,72281
3387,53790127,Comparative Toxicogenomics Database (CTD),D000324,16132265
3388,53790128,Comparative Toxicogenomics Database (CTD),D000117,
3389,53790129,Comparative Toxicogenomics Database (CTD),C025364,4311764
3390,53790130,Comparative Toxicogenomics Database (CTD),C487689,6437836
3391,53790131,Comparative Toxicogenomics Database (CTD),D013185,638072
3392,53790132,Comparative Toxicogenomics Database (CTD),D019377,5353272
3393,53790133,Comparative Toxicogenomics Database (CTD),C054268,87583
3394,53790134,Comparative Toxicogenomics Database (CTD),D006877,
3395,53790135,Comparative Toxicogenomics Database (CTD),D018817,1615
3396,53790136,Comparative Toxicogenomics Database (CTD),C030683,7245
3397,53790137,Comparative Toxicogenomics Database (CTD),C008501,5310983
3398,53790138,Comparative Toxicogenomics Database (CTD),C025302,25251
3399,53790139,Comparative Toxicogenomics Database (CTD),C000152,150900
3400,53790140,Comparative Toxicogenomics Database (CTD),C403899,52994378
3401,53790141,Comparative Toxicogenomics Database (CTD),C060298,88881
3402,53790142,Comparative Toxicogenomics Database (CTD),C048526,135659023
3403,53790143,Comparative Toxicogenomics Database (CTD),C024552,15818351
3404,53790144,Comparative Toxicogenomics Database (CTD),C498130,
3405,53790145,Comparative Toxicogenomics Database (CTD),C095651,5017
3406,53790146,Comparative Toxicogenomics Database (CTD),D006152,135398570
3407,53790147,Comparative Toxicogenomics Database (CTD),C474344,10410511
3408,53790148,Comparative Toxicogenomics Database (CTD),C077547,61898
3409,53790149,Comparative Toxicogenomics Database (CTD),D011188,5462222
3410,53790150,Comparative Toxicogenomics Database (CTD),C024262,5832
3411,53790151,Comparative Toxicogenomics Database (CTD),C506265,
3412,53790152,Comparative Toxicogenomics Database (CTD),C446799,3772977
3413,53790153,Comparative Toxicogenomics Database (CTD),D008558,460612
3414,53790154,Comparative Toxicogenomics Database (CTD),C019566,6643
3415,53790155,Comparative Toxicogenomics Database (CTD),D008244,5311264
3416,53790156,Comparative Toxicogenomics Database (CTD),C470995,
3417,53790157,Comparative Toxicogenomics Database (CTD),D012176,5282375
3418,53790158,Comparative Toxicogenomics Database (CTD),D000500,235905
3419,53790159,Comparative Toxicogenomics Database (CTD),D011345,3339
3420,53790160,Comparative Toxicogenomics Database (CTD),C077990,5287969
3421,53790161,Comparative Toxicogenomics Database (CTD),D006064,
3422,53790162,Comparative Toxicogenomics Database (CTD),D006046,23985
3423,53790163,Comparative Toxicogenomics Database (CTD),C103303,449171
3424,53790164,Comparative Toxicogenomics Database (CTD),C416927,5312137
3425,53790165,Comparative Toxicogenomics Database (CTD),D000122,20544
3426,53790166,Comparative Toxicogenomics Database (CTD),D007987,638793
3427,53790167,Comparative Toxicogenomics Database (CTD),C095170,16218906
3428,53790168,Comparative Toxicogenomics Database (CTD),C066029,450272
3429,53790169,Comparative Toxicogenomics Database (CTD),C019429,6438629
3430,53790170,Comparative Toxicogenomics Database (CTD),D047250,3081771
3431,53790171,Comparative Toxicogenomics Database (CTD),C030691,10690
3432,53790172,Comparative Toxicogenomics Database (CTD),D047428,102601509
3433,53790173,Comparative Toxicogenomics Database (CTD),C037293,5311064
3434,53790174,Comparative Toxicogenomics Database (CTD),C498131,11327153
3435,53790175,Comparative Toxicogenomics Database (CTD),C053561,7259353
3436,53790176,Comparative Toxicogenomics Database (CTD),D018721,
3437,53790177,Comparative Toxicogenomics Database (CTD),C120963,98260
3438,53790178,Comparative Toxicogenomics Database (CTD),D008737,6327
3439,53790179,Comparative Toxicogenomics Database (CTD),C071482,73364
3440,53790180,Comparative Toxicogenomics Database (CTD),C067713,6610292
3441,53790181,Comparative Toxicogenomics Database (CTD),C071044,79234
3442,53790182,Comparative Toxicogenomics Database (CTD),C007542,75846
3443,53790183,Comparative Toxicogenomics Database (CTD),C083230,162750
3444,53790184,Comparative Toxicogenomics Database (CTD),C072825,38360
3445,53790185,Comparative Toxicogenomics Database (CTD),C031375,5478883
3446,53790186,Comparative Toxicogenomics Database (CTD),D000577,
3447,53790187,Comparative Toxicogenomics Database (CTD),D012524,7871
3448,53790188,Comparative Toxicogenomics Database (CTD),C499970,21583537
3449,53790189,Comparative Toxicogenomics Database (CTD),D000738,5879
3450,53790190,Comparative Toxicogenomics Database (CTD),C048491,5311035
3451,53790191,Comparative Toxicogenomics Database (CTD),C013905,13588
3452,53790192,Comparative Toxicogenomics Database (CTD),C121565,9929138
3453,53790193,Comparative Toxicogenomics Database (CTD),C492891,
3454,53790194,Comparative Toxicogenomics Database (CTD),D011899,3001055
3455,53790195,Comparative Toxicogenomics Database (CTD),D011143,6338
3456,53790196,Comparative Toxicogenomics Database (CTD),C013352,42266
3457,53790197,Comparative Toxicogenomics Database (CTD),C001365,20527
3458,53790198,Comparative Toxicogenomics Database (CTD),D006034,10114
3459,53790199,Comparative Toxicogenomics Database (CTD),D018684,
3460,53790200,Comparative Toxicogenomics Database (CTD),C012842,656725
3461,53790201,Comparative Toxicogenomics Database (CTD),D006882,
3462,53790202,Comparative Toxicogenomics Database (CTD),C423917,490002
3463,53790203,Comparative Toxicogenomics Database (CTD),C019499,11831
3464,53790204,Comparative Toxicogenomics Database (CTD),C066229,
3465,53790205,Comparative Toxicogenomics Database (CTD),D019379,16133850
3466,53790206,Comparative Toxicogenomics Database (CTD),D019342,176
3467,53790207,Comparative Toxicogenomics Database (CTD),C007740,65079
3468,53790208,Comparative Toxicogenomics Database (CTD),D011464,5282411
3469,53790209,Comparative Toxicogenomics Database (CTD),D011729,7550
3470,53790210,Comparative Toxicogenomics Database (CTD),C024352,657237
3471,53790211,Comparative Toxicogenomics Database (CTD),C518368,16062456
3472,53790212,Comparative Toxicogenomics Database (CTD),C036077,7416
3473,53790213,Comparative Toxicogenomics Database (CTD),C115201,1684
3474,53790214,Comparative Toxicogenomics Database (CTD),C065365,9844074
3475,53790215,Comparative Toxicogenomics Database (CTD),C041525,667639
3476,53790216,Comparative Toxicogenomics Database (CTD),D011397,36709
3477,53790217,Comparative Toxicogenomics Database (CTD),D011692,6020
3478,53790218,Comparative Toxicogenomics Database (CTD),C489138,10109823
3479,53790219,Comparative Toxicogenomics Database (CTD),D008790,4171
3480,53790220,Comparative Toxicogenomics Database (CTD),D008775,6741
3481,53790221,Comparative Toxicogenomics Database (CTD),C459179,4521392
3482,53790222,Comparative Toxicogenomics Database (CTD),C054105,9921387
3483,53790223,Comparative Toxicogenomics Database (CTD),C013550,16162108
3484,53790224,Comparative Toxicogenomics Database (CTD),D013196,10635
3485,53790225,Comparative Toxicogenomics Database (CTD),C031150,760
3486,53790226,Comparative Toxicogenomics Database (CTD),D011339,4911
3487,53790227,Comparative Toxicogenomics Database (CTD),C487928,
3488,53790228,Comparative Toxicogenomics Database (CTD),C000188,2078
3489,53790229,Comparative Toxicogenomics Database (CTD),C012125,590836
3490,53790230,Comparative Toxicogenomics Database (CTD),C077420,16130960
3491,53790231,Comparative Toxicogenomics Database (CTD),D011285,15032
3492,53790232,Comparative Toxicogenomics Database (CTD),C060297,5281771
3493,53790233,Comparative Toxicogenomics Database (CTD),C474343,6604915
3494,53790234,Comparative Toxicogenomics Database (CTD),C041819,5289090
3495,53790235,Comparative Toxicogenomics Database (CTD),C041359,1549008
3496,53790236,Comparative Toxicogenomics Database (CTD),D013827,5430
3497,53790237,Comparative Toxicogenomics Database (CTD),C488796,5282106
3498,53790238,Comparative Toxicogenomics Database (CTD),C037073,7060
3499,53790239,Comparative Toxicogenomics Database (CTD),C060506,5283560
3500,53790240,Comparative Toxicogenomics Database (CTD),D001074,4944
3501,53790241,Comparative Toxicogenomics Database (CTD),C096856,3005532
3502,53790242,Comparative Toxicogenomics Database (CTD),D019258,441243
3503,53790243,Comparative Toxicogenomics Database (CTD),D008770,12699
3504,53790244,Comparative Toxicogenomics Database (CTD),C025984,5353283
3505,53790245,Comparative Toxicogenomics Database (CTD),D006710,778
3506,53790246,Comparative Toxicogenomics Database (CTD),D000585,7019
3507,53790247,Comparative Toxicogenomics Database (CTD),C036216,6325
3508,53790248,Comparative Toxicogenomics Database (CTD),C042125,74975
3509,53790249,Comparative Toxicogenomics Database (CTD),D000105,444493
3510,53790250,Comparative Toxicogenomics Database (CTD),C109238,16137348
3511,53790251,Comparative Toxicogenomics Database (CTD),D011810,7045
3512,53790252,Comparative Toxicogenomics Database (CTD),C053761,7705
3513,53790253,Comparative Toxicogenomics Database (CTD),C096092,25092289
3514,53790254,Comparative Toxicogenomics Database (CTD),C036596,2378
3515,53790255,Comparative Toxicogenomics Database (CTD),C096486,177865
3516,53790256,Comparative Toxicogenomics Database (CTD),C024829,135420630
3517,53790257,Comparative Toxicogenomics Database (CTD),C519562,72941969
3518,53790258,Comparative Toxicogenomics Database (CTD),C060768,135659049
3519,53790259,Comparative Toxicogenomics Database (CTD),C053629,5311325
3520,53790260,Comparative Toxicogenomics Database (CTD),C120129,38016
3521,53790261,Comparative Toxicogenomics Database (CTD),C451418,637758
3522,53790262,Comparative Toxicogenomics Database (CTD),C486184,5040063
3523,53790263,Comparative Toxicogenomics Database (CTD),D011411,4933
3524,53790264,Comparative Toxicogenomics Database (CTD),D018170,5358
3525,53790265,Comparative Toxicogenomics Database (CTD),D047188,
3526,53790266,Comparative Toxicogenomics Database (CTD),C041517,9119
3527,53790267,Comparative Toxicogenomics Database (CTD),D011192,24502
3528,53790268,Comparative Toxicogenomics Database (CTD),C078904,3037233
3529,53790269,Comparative Toxicogenomics Database (CTD),D002211,1548943
3530,53790270,Comparative Toxicogenomics Database (CTD),C083079,131211
3531,53790271,Comparative Toxicogenomics Database (CTD),C055542,68081
3532,53790272,Comparative Toxicogenomics Database (CTD),D037361,
3533,53790273,Comparative Toxicogenomics Database (CTD),C037573,114850
3534,53790274,Comparative Toxicogenomics Database (CTD),C025589,442530
3535,53790275,Comparative Toxicogenomics Database (CTD),C009618,21804
3536,53790276,Comparative Toxicogenomics Database (CTD),C008348,33524
3537,53790277,Comparative Toxicogenomics Database (CTD),C049331,107751
3538,53790278,Comparative Toxicogenomics Database (CTD),D019796,
3539,53790279,Comparative Toxicogenomics Database (CTD),D011809,
3540,53790280,Comparative Toxicogenomics Database (CTD),C001042,25948
3541,53790281,Comparative Toxicogenomics Database (CTD),D008724,4109
3542,53790282,Comparative Toxicogenomics Database (CTD),C470045,6918428
3543,53790283,Comparative Toxicogenomics Database (CTD),C405346,
3544,53790284,Comparative Toxicogenomics Database (CTD),C038044,64982
3545,53790285,Comparative Toxicogenomics Database (CTD),C492810,10220017
3546,53790286,Comparative Toxicogenomics Database (CTD),D011341,4912
3547,53790287,Comparative Toxicogenomics Database (CTD),C008261,9317
3548,53790288,Comparative Toxicogenomics Database (CTD),C065959,119356
3549,53790289,Comparative Toxicogenomics Database (CTD),D013752,54675776
3550,53790290,Comparative Toxicogenomics Database (CTD),D007189,
3551,53790291,Comparative Toxicogenomics Database (CTD),C078098,160512
3552,53790292,Comparative Toxicogenomics Database (CTD),D006221,3562
3553,53790293,Comparative Toxicogenomics Database (CTD),C083116,123724
3554,53790294,Comparative Toxicogenomics Database (CTD),C053956,69021
3555,53790295,Comparative Toxicogenomics Database (CTD),C054409,31677
3556,53790296,Comparative Toxicogenomics Database (CTD),C415840,9822972
3557,53790297,Comparative Toxicogenomics Database (CTD),C024366,6436043
3558,53790298,Comparative Toxicogenomics Database (CTD),C109757,12813
3559,53790299,Comparative Toxicogenomics Database (CTD),D047311,5280445
3560,53790300,Comparative Toxicogenomics Database (CTD),D014047,5510
3561,53790301,Comparative Toxicogenomics Database (CTD),C031721,931
