2022-06-14 22:54:49,821 INFO:Started save_new_articles. Mindate: 2018/06/23  Maxdate: 2022/06/14
2022-06-14 22:54:50,953 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,955 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,957 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,959 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,961 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,962 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,964 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,966 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,968 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,969 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,971 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,974 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,974 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,974 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,974 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,974 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:50,974 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,005 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,005 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,005 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,021 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,021 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,021 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,021 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,021 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,037 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,037 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,037 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,037 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,037 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,037 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,037 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,052 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,052 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,052 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,052 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,052 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,052 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,068 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,084 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,099 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,102 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,102 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,102 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,102 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,115 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,115 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,115 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,115 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,115 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,115 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,115 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,131 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,131 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,131 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,131 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,131 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,147 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,147 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,147 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,147 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,147 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,165 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,166 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,170 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,172 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,175 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,176 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,178 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,180 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,182 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,183 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,185 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,188 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,189 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,189 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,189 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,189 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,189 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,189 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,202 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,204 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,220 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,220 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,220 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,220 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,220 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,236 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,236 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,236 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,236 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,236 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,251 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,251 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,251 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,251 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,251 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,267 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,267 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,267 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,267 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,267 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,267 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,267 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,282 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,282 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,282 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,282 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,282 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,298 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,298 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,302 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,302 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,302 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,302 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,302 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,314 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,314 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,314 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,314 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,314 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,330 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,332 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,333 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,334 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,335 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,336 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,339 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,342 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,344 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,344 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,344 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,344 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,344 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,344 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,344 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,360 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,360 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,360 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,360 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,360 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,360 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,375 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,375 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,375 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,375 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,375 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,375 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,375 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,391 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,391 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,391 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,402 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,407 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,407 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,407 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,407 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,407 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,407 DEBUG:[#ED7B]  S: RECORD * 1
