GardID	Name	Synonym	Matched Term
GARD:0000005	abetalipoproteinemia	MTP deficiency	deficiency
GARD:0000016	ocular motor apraxia, cogan type	COMA	coma
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	thymine-uracilurea	thymine
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	DPD deficiency	deficiency
GARD:0000019	dihydropyrimidine dehydrogenase deficiency	DYPD deficiency	deficiency
GARD:0000023	blepharophimosis, ptosis, and epicanthus inversus syndrome	BPES, type 1	type
GARD:0000023	blepharophimosis, ptosis, and epicanthus inversus syndrome	BPES type 1	type
GARD:0000023	blepharophimosis, ptosis, and epicanthus inversus syndrome	BPES, type 2	type
GARD:0000029	charge syndrome	CHARGE association	charge
GARD:0000029	charge syndrome	CHARGE association	association
GARD:0000035	tetrasomy 18p	Isochromosome 18p	p
GARD:0000042	tetrasomy 9p	Isochromosome 9p	p
GARD:0000060	iridocorneal endothelial syndrome	ICE syndrome	ice
GARD:0000060	iridocorneal endothelial syndrome	ICE syndrome	syndrome
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia-adactylia	aglossia
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia-adactylia	adactylia
GARD:0000076	hypohidrotic ectodermal dysplasia	CST syndrome	syndrome
GARD:0000087	microphthalmia, lenz type	MAA (formerly)	formerly
GARD:0000106	oculocerebrocutaneous syndrome	OCC syndrome	syndrome
GARD:0000111	recurrent respiratory papillomatosis	AORRP (type)	type
GARD:0000111	recurrent respiratory papillomatosis	JORRP (type)	type
GARD:0000114	Charcot-Marie-Tooth disease X-linked recessive 5	CMT5X	x
GARD:0000121	focal facial dermal dysplasia type iii	FFDD type 2	type
GARD:0000122	Singleton-Merten dysplasia	SM syndrome	syndrome
GARD:0000132	primary cutaneous amyloidosis	amyloidosis IX	amyloidosis
GARD:0000134	spondyloepimetaphyseal dysplasia, strudwick type	SMED type 1	type
GARD:0000139	familial atrial myxoma	MYXOMA, intracardiac	myxoma
GARD:0000139	familial atrial myxoma	MYXOMA, intracardiac	intracardiac
GARD:0000156	muscle-eye-brain disease	MEB syndrome	syndrome
GARD:0000158	sarcosinemia	SARD deficiency	sard
GARD:0000158	sarcosinemia	SARD deficiency	deficiency
GARD:0000158	sarcosinemia	SARDH deficiency	deficiency
GARD:0000162	cleft palate-large ears-small head syndrome	SAY syndrome	say
GARD:0000162	cleft palate-large ears-small head syndrome	SAY syndrome	syndrome
GARD:0000182	vitelliform macular dystrophy 2	BEST1 retinopathy	best
GARD:0000193	Opitz G/BBB syndrome	BBB syndrome	syndrome
GARD:0000193	Opitz G/BBB syndrome	GBBB syndrome	syndrome
GARD:0000198	spinal muscular atrophy, type iii	SMA3	sma
GARD:0000198	spinal muscular atrophy, type iii	SMA-III	sma
GARD:0000198	spinal muscular atrophy, type iii	SMA type 3	sma
GARD:0000198	spinal muscular atrophy, type iii	SMA type 3	type
GARD:0000231	leukoencephalopathy with vanishing white matter	CACH syndrome	syndrome
GARD:0000234	d-glyceric aciduria	D-glycericacidemia	d
GARD:0000265	trichodental syndrome	TRICHODENTAL dysplasia	dysplasia
GARD:0000272	VACTERL with hydrocephalus	VACTERL hydrocephaly	hydrocephaly
GARD:0000272	VACTERL with hydrocephalus	VACTERL-H	h
GARD:0000306	camptodactyly-arthropathy-coxa vara-pericarditis syndrome	CACP syndrome	syndrome
GARD:0000306	camptodactyly-arthropathy-coxa vara-pericarditis syndrome	PAC syndrome	pac
GARD:0000306	camptodactyly-arthropathy-coxa vara-pericarditis syndrome	PAC syndrome	syndrome
GARD:0000307	Jacobsen syndrome	Del(11)(q23.3)	del
GARD:0000307	Jacobsen syndrome	Del(11)(q23.3)	q
GARD:0000344	holoprosencephaly-postaxial polydactyly syndrome	PSEUDOTRISOMY 13 syndrome	syndrome
GARD:0000350	skeletal dysplasia-epilepsy-short stature syndrome	GURRIERI syndrome	syndrome
GARD:0000368	laryngo-onycho-cutaneous syndrome	LARYNGOONYCHOCUTANEOUS syndrome	syndrome
GARD:0000368	laryngo-onycho-cutaneous syndrome	LOC syndrome	syndrome
GARD:0000387	combined immunodeficiency due to zap70 deficiency	ZAP-70 deficiency	deficiency
GARD:0000404	osteoporosis-oculocutaneous hypopigmentation syndrome	OOCH syndrome	syndrome
GARD:0000407	ermine phenotype	BADS syndrome	syndrome
GARD:0000411	hypoparathyroidism-retardation-dysmorphism syndrome	HRD syndrome	syndrome
GARD:0000418	pentosuria	L-Xylulosuria	l
GARD:0000420	mismatch repair cancer syndrome 1	BTP1 syndrome	syndrome
GARD:0000420	mismatch repair cancer syndrome 1	CMMR-D	d
GARD:0000420	mismatch repair cancer syndrome 1	MMR deficiency	deficiency
GARD:0000431	microtia	microtia-anotia	microtia
GARD:0000431	microtia	microtia-anotia	anotia
GARD:0000433	apparent mineralocorticoid excess	AME 1	ame
GARD:0000433	apparent mineralocorticoid excess	Ame1	ame
GARD:0000438	autosomal recessive limb-girdle muscular dystrophy type 2d	LGMD2D	d
GARD:0000438	autosomal recessive limb-girdle muscular dystrophy type 2d	Alpha-sarcoglycanopathy	alpha
GARD:0000457	triple-a syndrome	4A syndrome	a
GARD:0000457	triple-a syndrome	4A syndrome	syndrome
GARD:0000457	triple-a syndrome	2A syndrome	a
GARD:0000457	triple-a syndrome	2A syndrome	syndrome
GARD:0000457	triple-a syndrome	AAA syndrome	syndrome
GARD:0000457	triple-a syndrome	3A syndrome	a
GARD:0000457	triple-a syndrome	3A syndrome	syndrome
GARD:0000459	achondrogenesis type IA	ACG1A	a
GARD:0000460	achondrogenesis type IB	ACG1B	b
GARD:0000465	isovaleric acidemia	IVD deficiency	deficiency
GARD:0000467	propionic acidemia	PCC deficiency	deficiency
GARD:0000501	acromegaloid facial appearance syndrome	AFA syndrome	syndrome
GARD:0000524	acute megakaryoblastic leukemia	FAB M7	m
GARD:0000524	acute megakaryoblastic leukemia	AML M7	m
GARD:0000525	acute monocytic leukemia	AML M5	m
GARD:0000525	acute monocytic leukemia	AML-M5	m
GARD:0000526	acute myeloblastic leukemia without maturation	FAB M1	m
GARD:0000526	acute myeloblastic leukemia without maturation	AML M1	m
GARD:0000527	acute myeloblastic leukemia with maturation	AML M2	m
GARD:0000527	acute myeloblastic leukemia with maturation	FAB M2	m
GARD:0000527	acute myeloblastic leukemia with maturation	LAM M2	lam
GARD:0000527	acute myeloblastic leukemia with maturation	LAM M2	m
GARD:0000529	acute myelomonocytic leukemia M4	AML-M4	m
GARD:0000529	acute myelomonocytic leukemia M4	AML M4	m
GARD:0000538	acute promyelocytic leukemia	AML M3	m
GARD:0000538	acute promyelocytic leukemia	FAB M3	m
GARD:0000540	medium chain acyl-coa dehydrogenase deficiency	ACADM deficiency	deficiency
GARD:0000540	medium chain acyl-coa dehydrogenase deficiency	MCAD deficiency	deficiency
GARD:0000546	adenine phosphoribosyltransferase deficiency	2,8-dihydroxyadeninuria disease	disease
GARD:0000546	adenine phosphoribosyltransferase deficiency	APRT deficiency	deficiency
GARD:0000546	adenine phosphoribosyltransferase deficiency	urolithiasis, 2,8-dihydroxyadenine	urolithiasis
GARD:0000546	adenine phosphoribosyltransferase deficiency	2,8-dihydroxyadenine urolithiasis	urolithiasis
GARD:0000564	spinal muscular atrophy, type iv	SMA 4	sma
GARD:0000564	spinal muscular atrophy, type iv	SMA-IV	sma
GARD:0000564	spinal muscular atrophy, type iv	SMA4	sma
GARD:0000564	spinal muscular atrophy, type iv	SMA type 4	sma
GARD:0000564	spinal muscular atrophy, type iv	SMA type 4	type
GARD:0000594	oculocutaneous albinism type 1b	OCA1B	b
GARD:0000600	glycogen storage disease due to aldolase a deficiency	GSD type 12	type
GARD:0000612	alopecia - intellectual disability syndrome	AMR syndrome 1	syndrome
GARD:0000621	alpha thalassemia spectrum	alpha-thalassemia	alpha
GARD:0000621	alpha thalassemia spectrum	A-thalassemia	a
GARD:0000646	amelogenesis imperfecta type 1G	AI1G	ai
GARD:0000646	amelogenesis imperfecta type 1G	AI1G	g
GARD:0000668	X-linked sideroblastic anemia with ataxia	xlsa-a	a
GARD:0000722	microphthalmia with limb anomalies	anophthalmos-syndactyly	anophthalmos
GARD:0000722	microphthalmia with limb anomalies	anophthalmos-syndactyly	syndactyly
GARD:0000722	microphthalmia with limb anomalies	anophthalmia-syndactyly	anophthalmia
GARD:0000722	microphthalmia with limb anomalies	anophthalmia-syndactyly	syndactyly
GARD:0000732	antigen-peptide-transporter 2 deficiency	TAP 2 deficiency	tap
GARD:0000732	antigen-peptide-transporter 2 deficiency	TAP 2 deficiency	deficiency
GARD:0000735	antisynthetase syndrome	AS syndrome	as
GARD:0000735	antisynthetase syndrome	AS syndrome	syndrome
GARD:0000759	familial apolipoprotein c-ii deficiency	Apoc2 deficiency	deficiency
GARD:0000770	aromatic l-amino acid decarboxylase deficiency	DDC deficiency	deficiency
GARD:0000794	arthrogryposis-renal dysfunction-cholestasis syndrome	ARC syndrome	arc
GARD:0000794	arthrogryposis-renal dysfunction-cholestasis syndrome	ARC syndrome	syndrome
GARD:0000816	orofaciodigital syndrome iv	OFD syndrome 4	syndrome
GARD:0000872	beta-ketothiolase deficiency	2-methyl-3-hydroxybutyricacidemia	methyl
GARD:0000872	beta-ketothiolase deficiency	T2 deficiency	t
GARD:0000872	beta-ketothiolase deficiency	T2 deficiency	deficiency
GARD:0000872	beta-ketothiolase deficiency	3-Ktd deficiency	deficiency
GARD:0000872	beta-ketothiolase deficiency	3-oxothiolase deficiency	deficiency
GARD:0000872	beta-ketothiolase deficiency	alpha-methylacetoaceticaciduria	alpha
GARD:0000872	beta-ketothiolase deficiency	3-ketothiolase deficiency	deficiency
GARD:0000894	biotinidase deficiency	BTD deficiency	deficiency
GARD:0000897	hypertelorism, microtia, facial clefting syndrome	HMC syndrome	syndrome
GARD:0000932	Böök syndrome	PHC syndrome	syndrome
GARD:0000955	elsahy-waters syndrome	BSG syndrome	syndrome
GARD:0000963	brachydactyly type A3	brachydactyly-clinodactyly	brachydactyly
GARD:0000995	brachyolmia type 1, hobaek type	BCYM1A	a
GARD:0001033	Bruton-type agammaglobulinemia	BTK deficiency	deficiency
GARD:0001033	Bruton-type agammaglobulinemia	BTK-deficiency	deficiency
GARD:0001049	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	CADASIL type 1	type
GARD:0001049	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	CADASIL syndrome	syndrome
GARD:0001052	cataract-hypertrichosis-intellectual disability syndrome	CAHMR syndrome	syndrome
GARD:0001057	autosomal recessive limb-girdle muscular dystrophy type 2a	LGMD2A	a
GARD:0001077	chronic mucocutaneous candidiasis	familial CMC	familial
GARD:0001093	progressive familial heart block, type 1A	PFHB1A	a
GARD:0001100	Noonan syndrome with multiple lentigines	LEOPARD syndrome	leopard
GARD:0001100	Noonan syndrome with multiple lentigines	LEOPARD syndrome	syndrome
GARD:0001119	Carney complex	NAME syndrome	name
GARD:0001119	Carney complex	NAME syndrome	syndrome
GARD:0001120	carnitine palmitoyl transferase 1a deficiency	hepatic CPT1	hepatic
GARD:0001120	carnitine palmitoyl transferase 1a deficiency	CPT 1 deficiency	deficiency
GARD:0001167	acrocardiofacial syndrome	CCGE syndrome	syndrome
GARD:0001188	cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome	CAPOS syndrome	syndrome
GARD:0001199	autosomal recessive spinocerebellar ataxia 2	SCAR2	scar
GARD:0001217	retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations	RVCL-S	s
