GardID	Name	Synonym	Matched Term
GARD:0000031	serpiginous choroiditis	peripapillary choriopathy	peripapillary
GARD:0000031	serpiginous choroiditis	Choroiditis, Serpiginous	serpiginous
GARD:0000045	congenital varicella syndrome	Varicella embryopathy	varicella
GARD:0000093	monilethrix	nodose hair	nodose
GARD:0000093	monilethrix	nodose hair	hair
GARD:0000109	progressive osseous heteroplasia	osteoma cutis	cutis
GARD:0000143	hypertrichosis cubiti-short stature syndrome	hairy elbows	hairy
GARD:0000180	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	matins	matins
GARD:0000181	Stargardt disease	fundus flavimaculatus	fundus
GARD:0000183	bubonic plague	black death	black
GARD:0000198	spinal muscular atrophy, type iii	sma 3	sma
GARD:0000207	alveolar echinococcosis	multilocular hydatid	multilocular
GARD:0000207	alveolar echinococcosis	multilocular hydatid	hydatid
GARD:0000215	familial caudal dysgenesis	caudal regression	caudal
GARD:0000221	dilated cardiomyopathy	congestive cardiomyopathy	congestive
GARD:0000225	radial hemimelia	radial clubhand	radial
GARD:0000225	radial hemimelia	radial clubhand	clubhand
GARD:0000232	medullary sponge kidney	sponge kidney	sponge
GARD:0000296	short tarsus-absence of lower eyelashes syndrome	stale	stale
GARD:0000328	wandering spleen	floating spleen	floating
GARD:0000361	acalvaria	Acrania	acrania
GARD:0000363	acatalasia	catalase deficiency	catalase
GARD:0000364	arrhinia	isolated arrhinia	arrhinia
GARD:0000377	adactylia, unilateral	adactylia unilateral	unilateral
GARD:0000390	autosomal dominant osteosclerosis, worth type	hyperostosis, endosteal	endosteal
GARD:0000393	tungiasis	Tunga penetrans	tunga
GARD:0000393	tungiasis	Sarcopsylla penetrans	sarcopsylla
GARD:0000393	tungiasis	chigger flea	flea
GARD:0000396	tularemia	lemming fever	lemming
GARD:0000396	tularemia	rabbit fever	rabbit
GARD:0000396	tularemia	Yatobyo (Japan)	japan
GARD:0000429	amniotic band syndrome	amniotic bands	amniotic
GARD:0000429	amniotic band syndrome	amputation, congenital	amputation
GARD:0000429	amniotic band syndrome	Adam Complex	adam
GARD:0000429	amniotic band syndrome	Adam Complex	complex
GARD:0000431	microtia	microtia, congenital	microtia
GARD:0000454	accessory pancreas	pancreas accessorium	pancreas
GARD:0000467	propionic acidemia	prop	prop
GARD:0000502	hypertrichosis-acromegaloid facial appearance syndrome	haff	haff
GARD:0000594	oculocutaneous albinism type 1b	Yellow albinism	yellow
GARD:0000614	alopecia universalis congenita	atrichia, generalised	atrichia
GARD:0000701	tooth ankylosis	molar 1 reinclusion	reinclusion
GARD:0000705	annular pancreas	pancreas, annular	pancreas
GARD:0000705	annular pancreas	pancreas, annular	annular
GARD:0000774	arterial tortuosity syndrome	arterial tortuosity	arterial
GARD:0000774	arterial tortuosity syndrome	arterial tortuosity	tortuosity
GARD:0000809	balantidiasis	ciliary dysentery	ciliary
GARD:0000809	balantidiasis	ciliary dysentery	dysentery
GARD:0000842	diffuse idiopathic skeletal hyperostosis	dish	dish
GARD:0000863	IgA glomerulonephritis	iga nephropathy	nephropathy
GARD:0000867	chronic beryllium disease	beryllium poisoning	beryllium
GARD:0000869	beta-mannosidosis	mannosidosis, beta	beta
GARD:0000871	beta thalassemia	Thalassemias, beta-	beta
GARD:0000894	biotinidase deficiency	biotin deficiency	biotin
GARD:0000916	Blount disease	tibia vara	tibia
GARD:0000916	Blount disease	tibia vara	vara
GARD:0000942	diphyllobothriasis	fish tapeworm	fish
GARD:0000942	diphyllobothriasis	fish tapeworm	tapeworm
GARD:0000942	diphyllobothriasis	Diphyllobothrium infection	diphyllobothrium
GARD:0000967	brachydactyly-arterial hypertension syndrome	Bilginturan brachydactyly	brachydactyly
