GardID	Name	Synonym	Matched Term
GARD:0000011	alternating hemiplegia of childhood	alternating hemiplegia	alternating
GARD:0000011	alternating hemiplegia of childhood	alternating hemiplegia	hemiplegia
GARD:0000031	serpiginous choroiditis	peripapillary choriopathy	peripapillary
GARD:0000031	serpiginous choroiditis	Choroiditis, Serpiginous	choroiditis
GARD:0000031	serpiginous choroiditis	Choroiditis, Serpiginous	serpiginous
GARD:0000031	serpiginous choroiditis	geographic choroiditis	geographic
GARD:0000045	congenital varicella syndrome	Varicella embryopathy	varicella
GARD:0000054	duodenal atresia	duodenal stenosis	duodenal
GARD:0000054	duodenal atresia	duodenal stenosis	stenosis
GARD:0000065	Galloway-Mowat syndrome	Galloway syndrome	galloway
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia adactylia	aglossia
GARD:0000068	Hypoglossia-hypodactyly syndrome	aglossia adactylia	adactylia
GARD:0000093	monilethrix	nodose hair	nodose
GARD:0000093	monilethrix	nodose hair	hair
GARD:0000105	oculocerebral hypopigmentation syndrome, cross type	Cross syndrome	cross
GARD:0000109	progressive osseous heteroplasia	osteoma cutis	osteoma
GARD:0000109	progressive osseous heteroplasia	osteoma cutis	cutis
GARD:0000139	familial atrial myxoma	intracardiac myxoma	intracardiac
GARD:0000139	familial atrial myxoma	intracardiac myxoma	myxoma
GARD:0000140	atresia of small intestine	jejunal atresia	jejunal
GARD:0000143	hypertrichosis cubiti-short stature syndrome	hypertrichosis cubiti	hypertrichosis
GARD:0000143	hypertrichosis cubiti-short stature syndrome	hairy elbows	hairy
GARD:0000159	scalp-ear-nipple syndrome	Sen syndrome	sen
GARD:0000180	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	matins	matins
GARD:0000180	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	Sebastian syndrome	sebastian
GARD:0000181	Stargardt disease	fundus flavimaculatus	fundus
GARD:0000183	bubonic plague	black death	black
GARD:0000198	spinal muscular atrophy, type iii	sma 3	sma
GARD:0000207	alveolar echinococcosis	multilocular hydatid	multilocular
GARD:0000207	alveolar echinococcosis	multilocular hydatid	hydatid
GARD:0000213	axial mesodermal dysplasia spectrum	blastogenesis defect	blastogenesis
GARD:0000215	familial caudal dysgenesis	sacral agenesis	sacral
GARD:0000215	familial caudal dysgenesis	caudal regression	caudal
GARD:0000221	dilated cardiomyopathy	congestive cardiomyopathy	congestive
GARD:0000223	acoustic neuroma	neuroma, acoustic	neuroma
GARD:0000223	acoustic neuroma	acoustic neurinoma	neurinoma
GARD:0000223	acoustic neuroma	vestibular neurilemmoma	vestibular
GARD:0000225	radial hemimelia	radial clubhand	radial
GARD:0000225	radial hemimelia	radial clubhand	clubhand
GARD:0000232	medullary sponge kidney	sponge kidney	sponge
GARD:0000250	Schwartz-Jampel syndrome	burton syndrome	burton
GARD:0000250	Schwartz-Jampel syndrome	myotonic chondrodystrophy	myotonic
GARD:0000250	Schwartz-Jampel syndrome	myotonic chondrodystrophy	chondrodystrophy
GARD:0000296	short tarsus-absence of lower eyelashes syndrome	stale	stale
GARD:0000319	sacrococcygeal teratoma	presacral teratoma	presacral
GARD:0000328	wandering spleen	floating spleen	floating
GARD:0000328	wandering spleen	ptosis, splenic	ptosis
GARD:0000328	wandering spleen	splenoptosis	splenoptosis
GARD:0000329	Wells syndrome	eosinophilic cellulitis	cellulitis
GARD:0000351	dacryocystitis-osteopoikilosis syndrome	dacryocystitis osteopoikilosis	dacryocystitis
GARD:0000359	cranioectodermal dysplasia	Levin syndrome	levin
GARD:0000361	acalvaria	Acrania	acrania
GARD:0000363	acatalasia	catalase deficiency	catalase
GARD:0000364	arrhinia	Nose agenesia	nose
GARD:0000364	arrhinia	Nose agenesia	agenesia
GARD:0000364	arrhinia	isolated arrhinia	arrhinia
GARD:0000368	laryngo-onycho-cutaneous syndrome	logic syndrome	logic
GARD:0000373	Quinquaud's folliculitis decalvans	folliculitis decalvans	folliculitis
GARD:0000377	adactylia, unilateral	adactylia unilateral	adactylia
GARD:0000377	adactylia, unilateral	adactylia unilateral	unilateral
GARD:0000386	tetraamelia-multiple malformations syndrome	Zimmer phocomelia	phocomelia
GARD:0000390	autosomal dominant osteosclerosis, worth type	hyperostosis, endosteal	hyperostosis
GARD:0000390	autosomal dominant osteosclerosis, worth type	hyperostosis, endosteal	endosteal
GARD:0000391	osteomesopyknosis	axial osteosclerosis	axial
GARD:0000391	osteomesopyknosis	axial osteosclerosis	osteosclerosis
GARD:0000393	tungiasis	Tunga penetrans	tunga
GARD:0000393	tungiasis	Sarcopsylla penetrans	sarcopsylla
GARD:0000393	tungiasis	chigger flea	flea
GARD:0000396	tularemia	lemming fever	lemming
GARD:0000396	tularemia	rabbit fever	rabbit
GARD:0000396	tularemia	Yatobyo (Japan)	japan
GARD:0000418	pentosuria	essential pentosuria	pentosuria
GARD:0000425	tufted angioma	tufted hemangioma	tufted
GARD:0000427	ptosis-vocal cord paralysis syndrome	tucker syndrome	tucker
GARD:0000429	amniotic band syndrome	amniotic bands	amniotic
GARD:0000429	amniotic band syndrome	amputation, congenital	amputation
GARD:0000429	amniotic band syndrome	Adam Complex	adam
GARD:0000429	amniotic band syndrome	Adam Complex	complex
GARD:0000431	microtia	microtia, congenital	microtia
GARD:0000454	accessory pancreas	pancreas accessorium	pancreas
GARD:0000456	achalasia microcephaly syndrome	achalasia microcephaly	achalasia
GARD:0000465	isovaleric acidemia	isovaleric aciduria	isovaleric
GARD:0000467	propionic acidemia	propionic aciduria	propionic
GARD:0000467	propionic acidemia	prop	prop
GARD:0000491	Prata-Liberal-Goncalves syndrome	acrodysplasia scoliosis	scoliosis
GARD:0000502	hypertrichosis-acromegaloid facial appearance syndrome	haff	haff
GARD:0000508	Acroosteolysis dominant type	Cheney syndrome	cheney
GARD:0000522	acute lymphoblastic leukemia	lymphoblastic leukaemia	lymphoblastic
GARD:0000525	acute monocytic leukemia	monocytic leukaemia	monocytic
GARD:0000546	adenine phosphoribosyltransferase deficiency	urolithiasis, Dha	urolithiasis
GARD:0000594	oculocutaneous albinism type 1b	Yellow albinism	yellow
GARD:0000602	allergic bronchopulmonary aspergillosis	allergic aspergillosis	aspergillosis
GARD:0000614	alopecia universalis congenita	atrichia, generalised	atrichia
GARD:0000676	hereditary neurocutaneous angioma	hemangiomatosis, disseminated	hemangiomatosis
GARD:0000701	tooth ankylosis	molar 1 reinclusion	reinclusion
GARD:0000701	tooth ankylosis	dental ankylosis	dental
GARD:0000701	tooth ankylosis	dental ankylosis	ankylosis
GARD:0000705	annular pancreas	pancreas, annular	pancreas
GARD:0000705	annular pancreas	pancreas, annular	annular
GARD:0000713	matthew-wood syndrome	spear syndrome	spear
GARD:0000738	congenital aortopulmonary window	aortopulmonary fistula	fistula
GARD:0000774	arterial tortuosity syndrome	arterial tortuosity	arterial
GARD:0000774	arterial tortuosity syndrome	arterial tortuosity	tortuosity
GARD:0000777	arthrogryposis multiplex congenita	Otto syndrome	otto
GARD:0000809	balantidiasis	balantidiosis	balantidiosis
GARD:0000809	balantidiasis	Human balantidiasis	balantidiasis
GARD:0000809	balantidiasis	ciliary dysentery	ciliary
GARD:0000809	balantidiasis	ciliary dysentery	dysentery
GARD:0000842	diffuse idiopathic skeletal hyperostosis	dish	dish
GARD:0000844	myotonia congenita, autosomal recessive	Becker disease	becker
GARD:0000863	IgA glomerulonephritis	focal glomerulonephritis	focal
GARD:0000863	IgA glomerulonephritis	segmental glomerulonephritis	segmental
GARD:0000863	IgA glomerulonephritis	iga nephropathy	nephropathy
GARD:0000867	chronic beryllium disease	berylliosis	berylliosis
GARD:0000867	chronic beryllium disease	beryllium poisoning	beryllium
GARD:0000867	chronic beryllium disease	Subacute berylliosis	subacute
GARD:0000869	beta-mannosidosis	mannosidosis, beta	beta
GARD:0000871	beta thalassemia	erythroblastic anaemia	erythroblastic
GARD:0000871	beta thalassemia	Thalassemias, beta-	beta
GARD:0000894	biotinidase deficiency	biotin deficiency	biotin
GARD:0000916	Blount disease	tibia vara	tibia
GARD:0000916	Blount disease	tibia vara	vara
GARD:0000918	Brachymorphism-onychodysplasia-dysphalangism syndrome	Senior syndrome	senior
GARD:0000942	diphyllobothriasis	fish tapeworm	fish
GARD:0000942	diphyllobothriasis	fish tapeworm	tapeworm
GARD:0000942	diphyllobothriasis	Diphyllobothrium infection	diphyllobothrium
GARD:0000967	brachydactyly-arterial hypertension syndrome	Bilginturan brachydactyly	brachydactyly
GARD:0000972	brachydactyly-preaxial hallux varus syndrome	Christian brachydactyly	christian
GARD:0000972	brachydactyly-preaxial hallux varus syndrome	Christian brachydactyly	brachydactyly
GARD:0001019	brittle cornea syndrome	kyphoscoliosis type	kyphoscoliosis
GARD:0001058	X-linked calvarial hyperostosis	calvarial hyperostosis	hyperostosis
GARD:0001063	idiopathic camptocormia	bent spine	bent
GARD:0001063	idiopathic camptocormia	bent spine	spine
GARD:0001119	Carney complex	lamb	lamb
GARD:0001139	autosomal recessive palmoplantar keratoderma and congenital alopecia	cass	cass
GARD:0001160	cataract-glaucoma syndrome	cataract - glaucoma	glaucoma
GARD:0001164	caudal duplication	dipygus	dipygus
GARD:0001223	neuronal ceroid lipofuscinosis 5	Finnish Vlincl	finnish
GARD:0001237	char syndrome	char	char
GARD:0001292	chondrocalcinosis 2	calcium gout	calcium
GARD:0001292	chondrocalcinosis 2	calcium gout	gout
